De	B-TEMPO_TEMPO_CALEND_INTERVALO
enigma	O
do	O
livro	O
escrito	O
por	O
Ts'ui	O
Pen	O
.	O
Este	O
,	O
que	O
era	O
um	O
antepassado	O
do	O
próprio	O
personagem	O
principal	O
,	O
tinha	O
abandonado	O
sua	O
próspera	O
vida	O
(	O
era	O
governador	O
de	O
sua	O
província	O
,	O
doutor	O
em	O
astronomia	O
,	O
em	O
astrologia	O
,	O
enxadrista	O
,	O
calígrafo	O
e	O
famoso	O
poeta	O
)	O
para	O
compor	O
um	O
labirinto	O
e	O
um	O
livro.	O
No	O
entanto	O
,	O
o	O
enigma	O
revelado	O
por	O
Albert	O
é	O
justamente	O
que	O
o	O
livro	O
e	O
o	O
labirinto	O
são	O
o	O
mesmo	B-TEMPO_TEMPO_CALEND_DATA
objeto.	O
A	O
chave	O
para	O
a	O
descoberta	O
estava	O
num	O
fragmento	O
de	O
uma	O
carta	O
deixada	O
por	O
Ts'ui	O
Pen	O
,	O
no	O
qual	O
estava	O
escrito	O
:	O
``	O
Deixo	O
aos	O
vários	O
futuros	O
(	O
não	O
a	O
todos	O
)	O
meu	O
jardim	O
de	O
caminhos	O
que	O
se	O
bifurcam	O
''	O
(	O
BORGES	O
,	O
1995	B-TEMPO_TEMPO_CALEND_DATA
:	O
94	B-TEMPO_TEMPO_CALEND_DATA
94	I-TEMPO_TEMPO_CALEND_DATA
|	O
BORGES	O
,	O
1995	B-TEMPO_TEMPO_CALEND_DATA
:	O
94	B-TEMPO_TEMPO_CALEND_DATA
)	O
.	O
NOME	O
:	O
COLETIVOS	O
,	O
SENHA	O
:	O
COLABORAÇÃO	O
Ricardo	O
Rosas	O
A	O
recente	O
onda	O
dos	O
coletivos	O
artísticos	O
e	O
ativistas	O
(	O
ou	O
``	O
artivistas	O
''	O
)	O
no	O
Brasil	B-LOCAL_HUMANO_PAIS
tem	O
chamado	O
a	O
atenção	O
da	O
mídia	O
mainstream	O
para	O
um	O
fenômeno	O
de	O
proporções	O
bem	O
maiores	O
e	O
razões	O
mais	O
profundas	O
que	O
a	O
vã	O
filosofia	O
dos	O
cadernos	O
culturais	O
poderia	O
imaginar.	O
Pouco	O
compreendida	O
,	O
a	O
dinâmica	O
destas	O
articulações	O
chega	O
assim	O
maquiada	O
com	O
um	O
verniz	O
espetaculoso	O
e	O
superficial	O
que	O
,	O
ao	O
que	O
parece	O
,	O
tenta	O
esconder	O
o	O
pano	O
de	O
fundo	O
crítico	O
e	O
instrumental	O
desses	O
grupos.	O
Muitas	O
vezes	O
passageiros	O
como	O
um	O
casual	O
flashmob	O
,	O
outras	O
vezes	O
organizados	O
e	O
duradouros	O
como	O
uma	O
associação	O
,	O
tais	O
ajuntamentos	O
são	O
na	O
verdade	O
indícios	O
de	O
uma	O
mutação	O
maior	O
que	O
está	O
se	O
dando	O
tanto	O
na	O
esfera	O
tecnológica	O
quanto	O
na	O
social.	O
Coletivos	O
,	O
em	O
si	O
,	O
nada	O
têm	O
de	O
novo.	O
Já	O
são	O
uma	O
tradição	O
na	O
arte	O
,	O
na	O
literatura	O
,	O
que	O
percorreu	O
todo	O
o	O
século	B-TEMPO_TEMPO_CALEND_DATA
vinte	I-TEMPO_TEMPO_CALEND_DATA
,	O
aqui	O
como	O
lá	O
fora.	O
Segundo	O
o	O
historiador	O
de	O
coletivos	O
artísticos	O
Alan	O
Moore	O
(	O
1	O
)	O
,	O
seu	O
ponto	O
de	O
partida	O
foi	O
logo	O
após	O
a	O
Revolução	O
Francesa	O
,	O
com	O
os	O
estudantes	O
de	O
Jacques-Louis	O
David	O
,	O
os	O
barbados	O
,	O
ou	O
``	O
Barbu	O
``	O
,	O
que	O
formaram	O
uma	O
comunidade	O
criativa	O
que	O
viria	O
a	O
ser	O
chamada	O
de	O
Boêmia	O
,	O
espécie	O
de	O
nação	O
imaginária	O
espiritual	O
de	O
artistas	O
-cujo	O
nome	O
provinha	O
de	O
uma	O
nação	O
de	O
verdade	O
e	O
geraria	O
a	O
idealização	O
do	O
estilo	O
de	O
vida	O
``	O
boêmio	O
''	O
-	O
,	O
compondo	O
um	O
contraponto	O
à	O
academia	O
oficial.	O
Desde	O
então	O
,	O
o	O
fenômeno	O
tem	O
ocasionalmente	O
se	O
repetido	O
ao	O
longo	O
da	O
história	O
da	O
arte	O
,	O
como	O
o	O
Arts	O
and	O
Crafts	O
na	O
Inglaterra	B-LOCAL_HUMANO_PAIS
vitoriana	O
,	O
dadaístas	O
,	O
situacionistas	O
,	O
Fluxus	O
,	O
numa	O
lista	O
quase	O
infinita	O
de	O
grupos	O
dos	O
mais	O
diversos	O
tipos.	O
No	O
Brasil	B-LOCAL_HUMANO_PAIS
,	O
eles	O
remontam	O
ao	O
século	O
dezenove	O
,	O
com	O
o	O
grupo	O
dos	O
românticos	O
em	O
São	B-LOCAL_HUMANO_DIVISAO
Paulo	I-LOCAL_HUMANO_DIVISAO
,	O
os	O
grupelhos	O
de	O
poetas	O
simbolistas	O
,	O
os	O
modernistas	O
da	O
década	B-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
1920	O
,	O
o	O
grupo	O
antropofágico	O
,	O
os	O
concretistas	O
nos	B-TEMPO_TEMPO_CALEND_DATA
anos	I-TEMPO_TEMPO_CALEND_DATA
1950	O
,	O
o	O
coletivo	O
Rex	O
de	O
artistas	O
na	B-TEMPO_TEMPO_CALEND_DATA
década	I-TEMPO_TEMPO_CALEND_DATA
seguinte	I-TEMPO_TEMPO_CALEND_DATA
,	O
3Nós3	O
e	O
Manga	O
Rosa	O
na	B-TEMPO_TEMPO_CALEND_DATA
década	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
1970	I-TEMPO_TEMPO_CALEND_DATA
,	O
Tupi	O
Não	O
Dá	O
,	O
ou	O
os	O
mais	O
recentes	O
Neo-Tao	O
e	O
Mico	O
,	O
entre	O
inúmeros	O
outros.	O
O	O
que	O
diferencia	O
a	O
atual	O
voga	O
de	O
movimentações	O
coletivas	O
no	O
Brasil	B-LOCAL_HUMANO_PAIS
são	O
o	O
caráter	O
político	O
de	O
boa	O
parte	O
delas	O
,	O
assim	O
como	O
o	O
uso	O
que	O
muitas	O
fazem	O
da	O
internet	O
,	O
seja	O
via	O
listas	O
de	O
discussão	O
,	O
websites	O
,	O
fotologs	O
e	O
blogs	O
ou	O
simplesmente	O
comunicação	O
e	O
ações	O
planejadas	O
por	O
e-mail.	O
Na	O
Europa	B-LOCAL_HUMANO_DIVISAO
e	O
nos	O
EUA	B-LOCAL_HUMANO_PAIS
,	O
a	O
fusão	O
de	O
arte	O
e	O
política	O
já	O
estava	O
presente	O
nos	O
dadaístas	O
e	O
surrealistas	O
,	O
e	O
representou	O
o	O
ponto	O
fundamental	O
dos	O
situacionistas	O
no	O
pós-guerra	O
,	O
e	O
desde	B-TEMPO_TEMPO_CALEND_DATA
então	O
essa	O
mescla	O
tem	O
se	O
dado	O
em	O
vários	O
grupos	O
que	O
atuam	O
na	O
fronteira	O
ativismo/arte	O
,	O
como	O
o	O
Arte	O
&	O
amp	O
;	O
Linguagem	O
,	O
Art	O
Workers	O
Coalition	O
,	O
Black	O
Mask	O
,	O
neoístas	O
,	O
Gran	O
Fury	O
,	O
Group	O
Material	O
,	O
PAD/D	O
,	O
Guerrilla	O
Girls	O
,	O
ou	O
os	O
mais	O
recentes	O
Luther	O
Blissett	O
Project	O
,	O
RTmark	O
,	O
Etoy	O
,	O
Critical	O
Art	O
Ensemble	O
,	O
boa	O
parte	O
destes	O
últimos	B-TEMPO_TEMPO_CALEND_DATA
atuando	O
diretamente	O
com	O
alta	O
tecnologia	O
,	O
no	O
que	O
se	O
tem	O
atualmente	O
denominado	O
de	O
mídia	O
tática.	O
Se	O
essa	O
junção	O
sempre	O
esteve	O
presente	O
lá	O
fora	O
,	O
o	O
atual	O
beco	O
sem	O
saída	O
do	O
neoliberalismo	O
parece	O
haver	O
despertado	O
a	O
consciência	O
de	O
vários	O
grupos	O
no	O
Brasil	B-LOCAL_HUMANO_PAIS
,	O
que	O
passaram	O
a	O
criar	O
fora	O
das	O
instituições	O
estabelecidas	O
com	O
performances	O
,	O
intervenções	O
urbanas	O
,	O
festas	O
,	O
tortadas	O
,	O
filmagens	O
in	O
loco	O
de	O
protestos	O
e	O
manifestações	O
,	O
ocupações	O
,	O
trabalhos	O
com	O
movimentos	O
sociais	O
,	O
culture	O
jamming	O
e	O
ativismo	O
de	O
mídia.	O
À	O
diferença	O
dos	O
coletivos	O
high	O
tech	O
europeus	O
e	O
americanos	O
,	O
os	O
coletivos	O
brasileiros	O
atuam	O
nos	O
interstícios	O
das	O
práticas	O
tradicionais	O
da	O
cultura	O
instituída	O
,	O
em	O
ações	O
até	O
agora	O
de	O
um	O
víes	O
mais	O
low	O
tech.	O
Mesmo	O
assim	O
,	O
a	O
maioria	O
deles	O
surgem	O
ou	O
agem	O
graças	O
à	O
internet.	O
Alguns	O
,	O
como	O
o	O
Expressão	O
Sarcástica	O
,	O
Vitoriamario	O
,	O
Poro	O
,	O
TEMP	O
,	O
BaseV	O
,	O
ou	O
Cocadaboa	O
,	O
possuem	O
seus	O
próprios	O
sites.	O
Outros	O
,	O
como	O
o	O
CORO	O
,	O
um	O
grupo	O
que	O
pretende	O
mapear	O
todos	O
os	O
coletivos	O
em	O
ação	O
no	O
Brasil	B-LOCAL_HUMANO_PAIS
,	O
ou	O
a	O
Universidade	O
do	O
Fora	O
,	O
entre	O
outros	O
,	O
funcionam	O
com	O
lista	O
de	O
discussão.	O
Blogs	O
também	O
hospedam	O
grupos	O
com	O
identidade	O
virtual	O
à	O
Luther	O
Blissett	O
,	O
como	O
o	O
Ari	O
Almeida	O
ou	O
Timóteo	O
Pinto	O
,	O
enquanto	O
os	O
fotologs	O
tem	O
servido	O
como	O
meio	O
de	O
divulgação	O
de	O
coletivos	O
como	O
o	O
Radioatividade	O
,	O
ou	O
grupos	O
do	O
stencil	O
e	O
do	O
sticker	O
(	O
adesivo	O
)	O
como	O
Faca	O
,	O
Coletivo	O
Rua	B-LOCAL_HUMANO_RUA
,	O
SHN	O
,	O
entre	O
dezenas	O
de	O
outros.	O
Se	O
a	O
tecnologia	O
não	O
é	O
fundamento	O
básico	O
destes	O
grupos	O
para	O
ações	O
tipo	O
hacktivismo	O
,	O
net	O
arte	O
ou	O
similares	O
,	O
é	O
por	O
meio	O
dela	O
,	O
contudo	O
,	O
que	O
se	O
dá	O
a	O
dinâmica	O
de	O
ação	O
e	O
propagação	O
das	O
atividades	O
destes	O
grupos	O
na	O
vida	O
real.	O
Pois	O
uma	O
palavra-chave	O
de	O
todos	O
estes	O
coletivos	O
é	O
a	O
colaboração.	O
Espécie	O
de	O
buzzword	O
atualmente	O
,	O
a	O
colaboração	O
,	O
bem	O
como	O
termos	O
irmãos	O
como	O
livre	O
cooperação	O
,	O
comunidade	O
,	O
interação	O
e	O
rede	O
são	O
senhas	O
para	O
uma	O
transformação	O
que	O
está	O
se	O
dando	O
em	O
escala	O
global.	O
Foi	O
a	O
colaboração	O
que	O
permitiu	O
o	O
surgimento	O
de	O
movimentos	O
massivos	O
como	O
os	O
protestos	O
``	O
anti-globalização	O
''	O
,	O
bem	O
como	O
a	O
organização	O
de	O
festas-protesto	O
como	O
as	O
do	O
Reclaim	O
the	O
Streets	B-OBRA_REPRODUZIDA_OUTRO
,	O
ou	O
ainda	O
a	O
publicação	O
aberta	O
da	O
rede	O
Indymedia	O
.	O
A	O
divisão	O
de	O
tarefas	O
,	O
o	O
compartilhamento	O
de	O
valores	O
e	O
a	O
liderança	O
coletiva	O
caracterizam	O
em	O
grande	O
parte	O
essas	O
organizações	O
cuja	O
tradução	O
mais	O
exata	O
é	O
a	O
filosofia	O
do	O
open	O
source.	O
Inicialmente	O
restrita	O
ao	O
círculo	O
de	O
programadores	O
e	O
geeks	O
,	O
a	O
idéia	O
da	O
criação	O
coletiva	O
e	O
distribuída	O
que	O
caracteriza	O
as	O
comunidades	O
Linux	O
e	O
software	O
livre	O
tem	O
virado	O
fonte	O
de	O
inspiração	O
para	O
grupos	O
os	O
mais	O
diversos	O
que	O
estão	O
se	O
voltando	O
para	O
este	B-TEMPO_TEMPO_CALEND_DATA
modo	O
de	O
trabalho	O
como	O
um	O
modelo	O
viável	O
e	O
menos	O
restritivo	O
,	O
não-hierárquico.	O
Tive	O
recentemente	O
a	O
oportunidade	O
de	O
participar	O
de	O
uma	O
conferência	O
sobre	O
o	O
tema	O
na	O
universidade	O
de	O
Buffalo	O
,	O
NY	O
.	O
Chamada	O
``	O
Redes	O
,	O
arte	O
e	O
colaboração	O
``	O
(	O
``	O
Networks	O
,	O
art	O
and	O
collaboration	O
``	O
)	O
,	O
e	O
organizada	O
pelo	O
artista	O
e	O
professor	O
de	O
novas	O
mídias	O
Trebor	O
Scholz	O
e	O
por	O
Geert	O
Lovink	O
,	O
net	O
crítico	O
e	O
teórico	O
de	O
mídia	O
tática	O
,	O
a	O
conferência	O
teve	O
o	O
mérito	O
de	O
reunir	O
diversos	O
ativistas	O
,	O
teóricos	O
e	O
artistas	O
que	O
trabalham	O
colaborativamente	O
,	O
e	O
pautou	O
por	O
abordar	O
diversas	O
facetas	O
da	O
questão	O
,	O
como	O
o	O
conflito	O
com	O
os	O
interesses	O
financeiros	O
das	O
grandes	O
instituições	O
do	O
capitalismo	O
,	O
os	O
conflitos	O
internos	O
dentro	O
da	O
dinâmica	O
coletiva	O
,	O
ou	O
as	O
diversas	O
iniciativas	O
em	O
áreas	O
que	O
vão	O
das	O
artes	O
à	O
educação	O
,	O
da	O
criação	O
em	O
rede	O
à	O
distribuição	O
livre	O
de	O
conhecimento.	O
O	O
tema	O
é	O
quente	O
o	O
bastante	O
para	O
gerar	O
semanas	O
de	O
debates	O
acalorados	O
,	O
mas	O
aqui	O
se	O
limitou	O
a	O
um	O
final	O
de	O
semana	B-TEMPO_TEMPO_CALEND_DATA
onde	O
se	O
sucederam	O
mesas	O
abertas	O
,	O
performances	O
e	O
apresentações	O
de	O
projetos.	O
Teóricos	O
e	O
historiadores	O
de	O
arte	O
ativista	O
em	O
coletivos	O
como	O
Gregory	O
Sholette	O
,	O
Alan	O
Moore	O
e	O
Brian	O
Holmes	O
,	O
grupos	O
como	O
Critical	O
Art	O
Ensemble	O
e	O
Guerrilla	O
Girls	O
,	O
net	O
críticos	O
como	O
McKenzie	O
Wark	O
,	O
ou	O
o	O
teórico	O
maior	O
da	O
colaboração	O
online	O
,	O
o	O
alemão	O
Cristoph	O
Spehr	O
,	O
estiveram	O
presentes.	O
Spehr	O
,	O
autor	O
do	O
cultuado	O
livro	O
Die	O
Aliens	O
sind	O
unter	O
uns	O
!	O
(	O
``	O
``	O
Os	O
alienígenas	O
estão	O
entre	O
nós	O
!	O
``	O
)	O
,	O
tem	O
servido	O
como	O
o	O
melhor	O
tradutor	O
da	O
mecânica	O
funcional	O
do	O
código	O
aberto	O
(	O
open	O
source	O
)	O
para	O
o	O
campo	O
da	O
política	O
,	O
da	O
organização	O
social	O
,	O
e	O
da	O
economia.	O
Entre	O
alguns	O
pontos	O
fundamentais	O
,	O
Spehr	O
defende	O
a	O
noção	O
de	O
que	O
as	O
relações	O
devem	O
se	O
basear	O
na	O
liberdade	O
e	O
igualdade	O
de	O
uns	O
para	O
com	O
os	O
outros	O
e	O
com	O
a	O
cooperação	O
;	O
que	O
regras	O
devem	O
ser	O
estabelecidas	O
,	O
negociadas	O
(	O
e	O
cumpridas	O
)	O
para	O
que	O
a	O
cooperação	O
funcione	O
;	O
que	O
conflitos	O
que	O
surjam	O
ao	O
longo	O
dessas	O
negociações	O
podem	O
construir	O
o	O
respeito	O
mútuo	O
,	O
a	O
independência	O
na	O
cooperação	O
e	O
nos	O
tornar	O
mais	O
fortes	O
;	O
e	O
que	O
organização	O
,	O
lealdade	O
para	O
com	O
as	O
pessoas	O
,	O
não	O
com	O
as	O
instituições	O
,	O
e	O
auto-confiança	O
,	O
são	O
elementos	O
essenciais.	O
Em	O
seu	O
livro	O
,	O
num	O
estilo	O
que	O
remixa	O
ensaio	O
e	O
ficção	O
científica	O
,	O
grupos	O
colaborativos	O
independentes	O
e	O
autônomos	O
seriam	O
os	O
grandes	O
monstros	O
que	O
ameaçam	O
o	O
atual	O
estágio	O
do	O
neo-liberalismo	O
corporativo.	O
Espécie	O
de	O
alienígenas	O
no	O
meio	O
da	O
lógica	O
capitalista	O
da	O
competitividade	O
e	O
das	O
redes	O
de	O
``	O
cooperação	O
forçada	O
''	O
,	O
os	O
coletivos	O
colaborativos	O
autônomos	O
atuam	O
numa	O
esfera	O
que	O
transcende	O
a	O
mercantilização	O
e	O
podem	O
efetuar	O
uma	O
troca	O
auto-sustentável	O
que	O
,	O
se	O
aplicada	O
em	O
larga	O
escala	O
-	O
o	O
que	O
para	O
muitos	O
é	O
pura	O
utopia	O
-	O
,	O
correria	O
o	O
risco	O
de	O
transformar	O
totalmente	O
a	O
paisagem	O
social	O
,	O
econômica	O
e	O
política	O
do	O
planeta.	O
Comunismo	O
open	O
source	O
?	O
Talvez	O
,	O
pelo	O
menos	O
é	O
o	O
que	O
Spehr	O
acredita	O
,	O
com	O
um	O
otimismo	O
desafiante	O
,	O
o	O
mesmo	O
que	O
o	O
faz	O
organizar	O
a	O
conferência	O
anual	O
``	O
Out	O
of	O
This	O
World	O
em	O
Bremen	O
,	O
onde	O
junta	O
programadores	O
,	O
ativistas	O
,	O
escritores	O
de	O
ficção	O
científica	O
,	O
filósofos	O
e	O
teóricos	O
para	O
debater	O
a	O
aplicação	O
do	O
código	O
aberto	O
à	O
transformação	O
social	O
visando	O
o	O
futuro.	O
Por	O
outro	O
lado	O
,	O
o	O
capitalismo	O
há	O
muito	O
já	O
aprendeu	O
a	O
trabalhar	O
em	O
rede.	O
O	O
fenômeno	O
dos	O
coletivos	O
de	O
livre	O
cooperação	O
na	O
esfera	O
artístico-ativista	O
encontra	O
seu	O
paralelo	O
nos	O
grupos	O
criativos	O
de	O
trabalho	O
descentralizado	O
e	O
flexível	O
produzindo	O
para	O
o	O
mercado.	O
Como	O
diz	O
o	O
teórico	O
Brian	O
Holmes	O
num	O
ensaio	O
sobre	O
a	O
questão	O
(	O
2	O
)	O
,	O
esse	O
tipo	O
de	O
organização	O
característica	O
da	O
produção	O
imaterial	O
no	O
atual	O
estágio	O
capitalista	O
do	O
pós-fordismo	O
,	O
seria	O
o	O
da	O
``	O
personalidade	O
flexível	O
''	O
,	O
adaptativa	O
e	O
versátil	O
em	O
sua	O
atuação	O
profissional	O
,	O
a	O
qual	O
,	O
obviamente	O
não	O
excluiria	O
sob	O
hipótese	O
alguma	O
a	O
competição	O
ou	O
o	O
controle	O
pela	O
vigilância	O
,	O
ainda	O
que	O
à	O
distância.	O
Para	O
combatê-la	O
,	O
só	O
um	O
ativismo	O
``	O
flexível	O
''	O
que	O
,	O
mesmo	B-TEMPO_TEMPO_CALEND_DATA
por	O
sua	O
característica	O
cooperativa	O
e	O
autônoma	O
,	O
se	O
adaptasse	O
à	O
configuração	O
de	O
um	O
mundo	O
cada	O
vez	O
mais	O
baseado	O
em	O
redes	O
,	O
distribuído	O
em	O
setores	O
terceirizados	O
,	O
``	O
aparentemente	O
''	O
independentes.	O
Em	O
se	O
tratando	O
da	O
internet	O
,	O
o	O
crescente	O
uso	O
das	O
redes	O
de	O
compartilhamento	O
peer-to-peer	O
,	O
weblogs	O
,	O
software	O
livre	O
,	O
listas	O
de	O
discussão	O
,	O
publicações	O
abertas	O
tipo	O
slashdot	O
,	O
wiki	O
ou	O
Indymedia	O
,	O
as	O
bibliotecas	O
online	O
de	O
livre	O
acesso	O
,	O
foruns	O
e	O
todas	O
as	O
outras	O
formas	O
operacionais	O
das	O
comunidades	O
na	O
rede	O
estariam	O
abrindo	O
o	O
caminho	O
para	O
essa	O
transformação	O
pelo	O
trabalho	O
colaborativo	O
que	O
os	O
ativistas	O
e	O
coletivos	O
de	B-TEMPO_TEMPO_CALEND_DATA
hoje	B-TEMPO_TEMPO_CALEND_DATA
usam	O
como	O
tática	O
de	O
resistência	O
e	O
cuja	O
disseminação	O
compartilhada	O
podem	O
ter	O
consequências	O
ainda	O
imprevisíveis.	O
Como	O
diz	O
Geert	O
Lovink	O
em	O
seu	O
último	O
livro	O
,	O
My	O
First	O
Recession	O
,	O
a	O
cultura	O
da	O
internet	O
``	O
é	O
um	O
meio	O
global	O
no	O
qual	O
redes	O
sociais	O
são	O
moldadas	O
por	O
uma	O
mistura	O
de	O
regras	O
implícitas	O
,	O
redes	O
informais	O
,	O
conhecimento	O
,	O
convenções	O
e	O
rituais	O
coletivos	O
''	O
(	O
3	O
)	O
.	O
Procurar	O
entender	O
o	O
atual	O
fenômeno	O
dos	O
coletivos	O
ignorando	O
essa	O
dinâmica	O
de	O
código	O
e	O
cultura	O
,	O
ou	O
seja	O
,	O
modus	O
operandi	O
,	O
instrumentos	O
,	O
ativismos	O
e	O
lutas	O
democráticas	O
face	O
a	O
uma	O
crescente	O
repressão	O
na	O
guerra	O
global	O
do	O
capital	O
,	O
equivaleria	O
a	O
esquecer	O
por	O
completo	O
a	O
senha	O
na	B-TEMPO_TEMPO_CALEND_DATA
hora	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
logar.	O
Esqueceu	O
sua	O
senha	O
?	O
Nuno	O
Álvares	O
Pereira	B-LOCAL_HUMANO_DIVISAO
Biografia	O
Nuno	O
Álvares	O
Pereira	O
nasceu	O
na	O
vila	O
de	O
Cernache	O
do	O
Bonjardim	O
,	O
concelho	O
da	O
Sertã	O
.	O
Era	O
filho	O
de	O
Álvaro	O
Gonçalves	O
Pereira	B-LOCAL_HUMANO_DIVISAO
e	O
de	O
Iria	O
Gonçalves	O
do	O
Carvalhal	O
.	O
Casou	O
com	O
Leonor	O
de	O
Alvim	O
,	O
em	O
1377	O
em	O
Vila	O
Nova	B-LOCAL_HUMANO_REGIAO
da	O
Rainha	O
,	O
freguesia	O
do	O
concelho	O
de	O
Azambuja	O
.	O
Quando	O
o	O
rei	O
Fernando	O
de	O
Portugal	O
morreu	O
em	O
1383	O
,	O
sem	O
herdeiros	O
a	O
não	O
ser	O
a	O
princesa	O
Beatriz	O
casada	O
com	O
o	O
rei	O
João	O
I	O
de	O
Castela	B-LOCAL_HUMANO_DIVISAO
,	O
Nuno	O
foi	O
um	O
dos	O
primeiros	O
nobres	O
a	O
apoiar	O
as	O
pretensões	O
de	O
João	B-LOCAL_HUMANO_CONSTRUCAO
,	O
o	O
Mestre	O
de	O
Avis	O
à	O
coroa.	O
Apesar	O
de	O
ser	O
filho	O
ilegítimo	O
de	O
Pedro	O
I	B-LOCAL_HUMANO_RUA
de	I-LOCAL_HUMANO_RUA
Portugal	B-LOCAL_HUMANO_PAIS
,	O
João	O
afigurava-se	O
como	O
uma	O
hipótese	O
preferível	O
à	O
perda	O
de	O
independência	O
para	O
os	O
castelhanos.	O
Depois	O
da	O
primeira	O
vitória	O
de	O
Álvares	O
Pereira	B-LOCAL_HUMANO_DIVISAO
frente	O
aos	O
castelhanos	O
na	O
batalha	O
dos	O
Atoleiros	O
em	O
Abril	B-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
1384	O
,	O
João	O
de	O
Avis	O
nomeia-o	O
Condestável	O
de	O
Portugal	B-LOCAL_HUMANO_PAIS
e	O
Conde	O
de	O
Ourém	O
.	O
O	O
génio	O
militar	O
de	O
Nuno	O
Álvares	O
Pereira	O
foi	O
decisivo	O
na	O
Batalha	O
de	O
Aljubarrota	O
.	O
O	O
génio	O
militar	O
de	O
Nuno	O
Álvares	O
Pereira	O
foi	O
decisivo	O
na	O
Batalha	O
de	O
Aljubarrota	O
.	O
A	O
6	B-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
Abril	I-TEMPO_TEMPO_CALEND_DATA
de	I-TEMPO_TEMPO_CALEND_DATA
1385	O
,	O
João	O
é	O
reconhecido	O
pelas	B-TEMPO_TEMPO_CALEND_HORA
cortes	O
reunidas	O
em	O
Coimbra	B-LOCAL_HUMANO_DIVISAO
como	O
Rei	O
de	O
Portugal	B-LOCAL_HUMANO_PAIS
.	O
Esta	O
posição	O
de	O
força	O
portuguesa	O
desencadeia	O
uma	O
resposta	O
à	O
altura	O
em	O
Castela	B-LOCAL_HUMANO_DIVISAO
.	O
João	O
de	O
Castela	B-LOCAL_HUMANO_DIVISAO
invade	O
Portugal	B-LOCAL_HUMANO_PAIS
com	O
vista	O
a	O
proteger	O
os	O
interesses	O
de	O
sua	O
mulher	O
Beatriz	O
.	O
Álvares	O
Pereira	O
toma	O
o	O
controlo	O
da	O
situação	O
no	O
terreno	O
e	O
inicia	O
uma	O
série	O
de	O
cercos	O
a	O
cidades	O
leais	O
a	O
Castela	B-LOCAL_HUMANO_DIVISAO
,	O
localizadas	O
principalmente	O
no	O
Norte	B-LOCAL_HUMANO_REGIAO
do	O
país.	O
A	O
14	O
de	O
Agosto	O
,	O
Álvares	O
Pereira	O
mostra	O
o	O
seu	O
génio	O
militar	O
ao	O
vencer	O
a	O
batalha	O
de	O
Aljubarrota	O
à	O
frente	O
de	O
um	O
pequeno	O
exército	O
de	O
6,000	O
portugueses	O
e	O
aliados	O
ingleses	O
,	O
contra	O
as	O
30,000	O
tropas	O
castelhanas.	O
A	O
batalha	O
viria	O
a	O
ser	O
decisiva	O
no	O
fim	O
da	O
instabilidade	O
política	O
de	O
1383-1385	O
e	O
na	O
consolidação	O
da	O
independência	O
portuguesa.	O
Finda	O
a	O
ameaça	O
castelhana	O
,	O
Nuno	O
Álvares	O
Pereira	O
permaneceu	O
como	O
condestável	O
do	O
reino	O
e	O
tornou-se	O
Conde	O
de	O
Arraiolos	O
e	O
Barcelos	O
.	O
Entre	O
1385	O
e	O
1390	O
,	O
ano	O
da	O
morte	O
de	O
João	O
de	O
Castela	B-LOCAL_HUMANO_DIVISAO
,	O
dedicou-se	O
a	O
realizar	O
raides	O
contra	O
a	O
fronteira	O
de	O
Castela	B-LOCAL_HUMANO_DIVISAO
,	O
com	O
o	O
objectivo	O
de	O
manter	O
a	O
pressão	O
e	O
dissuadir	O
o	O
país	O
vizinho	O
de	O
novos	O
ataques.	O
Do	O
seu	O
casamento	O
com	O
Leonor	O
de	O
Alvim	O
,	O
o	O
Condestável	O
teve	O
apenas	O
uma	O
filha	O
,	O
Beatriz	O
Pereira	O
de	O
Alvim	O
,	O
que	O
se	O
tornou	O
mulher	O
de	O
Afonso	O
,	O
o	O
primeiro	O
Duque	O
de	O
Bragança	O
,	O
sendo	O
assim	O
um	O
dos	O
antepassados	O
da	O
actual	O
casa	O
real	O
portuguesa.	O
Lembrado	O
como	O
um	O
dos	O
melhores	O
generais	O
portugueses	O
,	O
abraça	O
,	O
nos	B-TEMPO_TEMPO_CALEND_DATA
últimos	I-TEMPO_TEMPO_CALEND_DATA
anos	I-TEMPO_TEMPO_CALEND_DATA
,	O
a	O
vida	O
religiosa	O
carmelita.	O
ARQUITETURA	O
E	O
HISTÓRIA	O
A	O
partir	O
do	B-TEMPO_TEMPO_CALEND_DATA
Forte	O
de	O
Santiago	O
,	O
na	O
Ponta	B-LOCAL_HUMANO_DIVISAO
do	I-LOCAL_HUMANO_DIVISAO
Calabouço	O
,	O
a	O
evolução	O
do	O
conjunto	O
arquitetônico	O
do	O
Museu	B-LOCAL_HUMANO_CONSTRUCAO
acompanhou	O
a	O
trajetória	O
urbana	O
da	O
cidade	O
do	O
Rio	B-LOCAL_HUMANO_DIVISAO
de	I-LOCAL_HUMANO_DIVISAO
