Mosteiro	B-OBRA
nos	O
protestos	O
mas	O
que	O
vestiu	O
a	O
camisola	O
com	O
a	O
referência	O
à	O
realização	O
de	O
um	O
referendo	O
,	O
que	O
faz	O
parte	O
da	O
vida	O
democrática	O
.	O
Consultar	O
http	O
:	O
//www.eu2007.pt/UE/vPT/Noticias_Documentos/20071212DiscursoPM.htm	O
Discurso	O
de	O
José	B-PESSOA
Sócrates	I-PESSOA
na	O
cerimónia	O
de	O
Proclamação	B-ACONTECIMENTO
da	I-ACONTECIMENTO
Carta	I-ACONTECIMENTO
dos	I-ACONTECIMENTO
Direitos	I-ACONTECIMENTO
Fundamentais	I-ACONTECIMENTO
Autor	O
Mensagem	O
joseep	O
Site	B-LOCAL
Admin	I-LOCAL
Registo	O
:	O
12	B-TEMPO
Apr	I-TEMPO
2005	I-TEMPO
Mensagens	O
:	O
4	B-VALOR
Local/Origem	O
:	O
Lisboa	B-LOCAL
(	O
Portugal	B-LOCAL
)	O
Colocada	O
:	O
Quarta-feira	B-TEMPO
Maio	I-TEMPO
04	I-TEMPO
,	I-TEMPO
2005	I-TEMPO
23:36	B-TEMPO
Assunto	O
:	O
Como	O
efectuar	O
um	O
Registo	O
(	O
tem	O
vantagens	O
)	O
Gostaria	O
muito	O
,	O
que	O
os	O
Acólitos	B-PESSOA
,	O
se	O
registassem	O
no	O
forum	O
,	O
de	O
modo	O
a	O
ser	O
algo	O
organizado	O
,	O
principalmente	O
os	O
da	O
AAPSE	B-ORGANIZACAO
e	O
é	O
muito	O
simples	O
,	O
querem	O
ver	O
.	O
1º-Vão	O
ao	O
cabeçalho	O
,	O
onde	O
estão	O
várias	O
teclas	O
,	O
uma	O
delas	O
REGISTAR-SE	O
,	O
e	O
seleccionam	O
.	O
2º-	O
Aceitam	O
o	O
contrato	O
,	O
3º	O
Preenchem	O
o	O
que	O
acharem	O
necessário	O
e	O
SUBMETEM	O
(	O
NAO	O
ESQUECER	O
USERNAME	O
,	O
PASS	O
e	O
vosso	O
e-mail	O
)	O
.	O
4º	O
Vão	O
ao	O
vosso	O
e-mail	O
,	O
que	O
colocaram	O
no	O
registo	O
,	O
e	O
vão	O
ver	O
que	O
receberam	O
um	O
novo	O
mail	O
,	O
abrem	O
e	O
carregam	O
no	O
link	O
para	O
concluir	O
o	O
registo	O
(	O
PASSO	O
MUITO	O
IMPORTANTE	O
,	O
dúvidas	O
contactem-me	O
)	O
5º	O
-	O
Quando	O
acederem	O
ao	O
forum	O
da	O
próxima	O
vez	O
vão	O
a	O
ENTRAR	O
(	O
em	O
cima	O
)	O
e	O
digitam	O
o	O
vosso	O
USERNAME	O
e	O
PASS	O
.	O
Qualquer	O
dúvida	O
contactem	O
!	O
_________________	O
Um	O
abraço	O
,	O
José	B-PESSOA
Eduardo	I-PESSOA
Pires	I-PESSOA
Ass	B-ORGANIZACAO
.	I-ORGANIZACAO
de	I-ORGANIZACAO
Acólitos	I-ORGANIZACAO
da	O
Paróquia	B-ORGANIZACAO
de	I-ORGANIZACAO
Santo	I-ORGANIZACAO
Eugénio	I-ORGANIZACAO
Por	O
que	O
não	O
lançar	O
foguetões	O
de	O
água	O
e	O
aprender	O
a	O
fazer	O
relógios	B-COISA
de	I-COISA
Sol	I-COISA
?	O
:	O
:	O
2007-12-13	B-TEMPO
Telescópios	O
,	O
brinquedos	O
,	O
livros	O
,	O
um	O
simulador	O
de	O
voo	O
,	O
sessões	O
de	O
observação	O
do	O
sol	O
e	O
do	O
céu	O
nocturno	O
e	O
foguetões	O
de	O
água	O
vão	O
estar	O
,	O
entre	B-TEMPO
sexta-feira	I-TEMPO
e	I-TEMPO
domingo	I-TEMPO
,	O
em	O
Cascais	B-LOCAL
,	O
à	O
disposição	O
dos	O
visitantes	O
da	O
FASCINIO	B-ACONTECIMENTO
-	I-ACONTECIMENTO
Feira	I-ACONTECIMENTO
de	I-ACONTECIMENTO
Astronomia	I-ACONTECIMENTO
e	I-ACONTECIMENTO
Ciência	I-ACONTECIMENTO
.	O
Organizada	O
pelo	O
Núcleo	B-ORGANIZACAO
Interactivo	I-ORGANIZACAO
de	I-ORGANIZACAO
Astronomia	I-ORGANIZACAO
(	O
NUCLIO	B-ORGANIZACAO
)	O
no	O
Centro	B-LOCAL
de	I-LOCAL
Interpretação	I-LOCAL
Ambiental	I-LOCAL
da	O
Ponta	B-LOCAL
do	I-LOCAL
Sal	I-LOCAL
,	O
em	O
São	B-LOCAL
Pedro	I-LOCAL
do	I-LOCAL
Estoril	I-LOCAL
,	O
a	O
quarta	O
edição	O
da	O
iniciativa	O
inclui	O
sessões	O
de	O
observação	O
do	O
sol	O
e	O
do	O
céu	O
nocturno	O
,	O
oficinas	O
de	O
astronomia	O
,	O
lançamentos	O
de	O
foguetões	O
de	O
água	O
,	O
palestras	O
e	O
uma	O
''	O
procura	O
de	O
asteróides	O
''	O
,	O
actividade	O
que	O
a	O
instituição	O
promove	O
regularmente	B-TEMPO
nas	O
escolas	O
do	O
concelho	O
.	O
''	O
A	O
feira	O
destina-se	O
ao	O
público	O
em	O
geral	O
,	O
embora	O
o	O
programa	O
de	B-TEMPO
sexta-feira	I-TEMPO
esteja	O
muito	O
pensado	O
para	O
as	O
escolas	O
,	O
com	O
actividades	O
para	O
os	O
primeiros	O
ciclos	O
,	O
e	O
sábado	B-TEMPO
tenha	O
actividades	O
para	O
os	O
professores	O
,	O
com	O
uma	O
pequena	O
mostra	O
das	O
actividades	O
do	O
NUCLIO	B-ORGANIZACAO
''	O
,	O
disse	O
à	O
Agência	B-PESSOA
Lusa	I-PESSOA
a	O
astrónoma	O
Rosa	B-PESSOA
Doran	I-PESSOA
.	O
''	O
Sexta-feira	B-TEMPO
estão	O
previstas	O
actividades	O
para	O
as	O
escolas	O
,	O
a	O
que	O
chamámos	O
'sexta-feira	O
divertida	O
'	O
,	O
dedicadas	O
ao	O
conhecimento	O
das	O
estrelas	O
e	O
constelações	O
e	O
ainda	O
observação	O
do	O
Sol	B-COISA
com	O
Telescópios	B-COISA
e	O
construir	O
enfeites	O
de	B-TEMPO
Natal	I-TEMPO
com	O
motivos	O
de	O
astronomia	O
''	O
,	O
acrescentou	O
.	O
No	B-TEMPO
sábado	I-TEMPO
o	O
programa	O
prevê	O
observação	O
de	O
supernovas	O
e	O
do	O
Sol	B-COISA
e	O
apresentação	O
a	O
professores	O
do	O
projecto	O
'	O
Hands-On	B-OBRA
Universe	I-OBRA
'	O
,	O
que	O
pretende	O
uma	O
nova	O
abordagem	O
no	O
ensino	O
e	O
aprendizagem	O
da	O
astronomia	O
,	O
recorrendo	O
a	O
ferramentas	O
interactivas	O
que	O
podem	O
,	O
por	O
exemplo	O
,	O
passar	O
pela	O
utilização	O
de	O
tempo	O
de	O
observação	O
em	O
telescópios	O
profissionais	O
nas	O
salas	O
de	O
aulas	O
e	O
tratamento	O
de	O
imagens	O
num	O
software	O
especialmente	O
desenvolvido	O
para	O
o	O
efeito	O
.	O
Sol	O
para	O
Todos	O
Haverá	O
observação	O
nocturna	O
do	O
céu	O
com	O
telescópios	O
e	O
será	O
ainda	O
apresentado	O
o	O
programa	O
do	O
Observatório	B-ORGANIZACAO
Astronómico	I-ORGANIZACAO
da	O
Universidade	B-ORGANIZACAO
de	O
Coimbra	B-LOCAL
''	O
Sol	B-OBRA
para	I-OBRA
Todos	I-OBRA
''	O
.	O
''	O
O	O
Observatório	B-ORGANIZACAO
de	O
Coimbra	B-LOCAL
tem	O
um	O
grande	O
acervo	O
de	O
imagens	O
do	O
Sol	B-COISA
,	O
que	O
registam	O
diariamente	B-TEMPO
desde	B-TEMPO
os	I-TEMPO
anos	I-TEMPO
vinte	I-TEMPO
do	I-TEMPO
século	I-TEMPO
passado	I-TEMPO
,	O
e	O
estão	O
a	O
digitalizar	O
essas	O
imagens	O
para	O
que	O
possam	O
estar	O
à	O
disposição	O
das	O
escolas	O
''	O
,	O
explica	O
Rosa	B-PESSOA
Doran	I-PESSOA
,	O
realçando	O
que	O
desta	O
forma	O
''	O
os	O
meninos	O
podem	O
fazer	O
ciência	O
na	O
própria	O
sala	O
de	O
aula	O
,	O
podem	O
ver	O
a	O
evolução	O
das	O
manchas	O
do	O
sol	O
nas	B-TEMPO
últimas	I-TEMPO
décadas	I-TEMPO
e	O
comparar	O
essa	O
evolução	O
,	O
por	O
exemplo	O
,	O
com	O
as	O
mudanças	O
do	O
clima	O
''	O
.	O
Segundo	O
a	O
responsável	O
,	O
um	O
dos	O
principais	O
objectivos	O
da	O
FASCINIO	B-ACONTECIMENTO
é	O
dar	O
também	O
a	O
conhecer	O
a	O
oferta	O
existente	O
na	O
área	O
e	O
valorizar	O
o	O
trabalho	O
dos	O
profissionais	O
portugueses	O
,	O
''	O
muito	O
ligados	O
''	O
à	O
investigação	O
de	O
vanguarda	O
e	O
pouco	O
reconhecidos	O
pelo	O
grande	O
público	O
.	O
[	O
...	O
]	O
A	O
Nossa	O
Galáxia	O
O	O
NUCLIO	B-ORGANIZACAO
vai	O
por	O
isso	O
assinar	O
sábado	B-TEMPO
um	O
protocolo	O
com	O
a	O
Câmara	B-ORGANIZACAO
Municipal	I-ORGANIZACAO
de	O
Cascais	B-LOCAL
para	O
que	O
o	O
Centro	B-LOCAL
de	I-LOCAL
Interpretação	I-LOCAL
Ambiental	I-LOCAL
seja	O
disponibilizado	O
para	O
as	O
suas	O
actividades	O
junto	O
da	O
comunidade	O
escolar	O
.	O
De	O
acordo	O
com	O
o	O
documento	O
,	O
a	O
autarquia	O
irá	O
ainda	O
apoiar	O
a	O
formação	O
agendada	O
para	B-TEMPO
o	I-TEMPO
presente	I-TEMPO
ano	I-TEMPO
lectivo	I-TEMPO
com	O
vinte	O
mil	O
euros	O
.	O
Durante	O
a	O
feira	O
será	O
também	O
apresentado	O
o	O
livro	O
de	O
divulgação	O
científica	O
''	O
Passeio	B-OBRA
Aleatório	I-OBRA
pela	I-OBRA
ciência	I-OBRA
do	I-OBRA
dia-a-dia	I-OBRA
''	O
,	O
com	O
a	O
presença	O
do	O
autor	O
Nuno	B-PESSOA
Crespo	I-PESSOA
.	O
Ainda	O
no	B-TEMPO
sábado	I-TEMPO
,	O
a	O
investigadora	O
do	O
Centro	B-ORGANIZACAO
de	I-ORGANIZACAO
Astronomia	I-ORGANIZACAO
da	O
Universidade	B-ORGANIZACAO
do	O
Porto	B-LOCAL
Catarina	B-PESSOA
Lobo	I-PESSOA
,	O
que	O
estuda	O
enxames	O
de	O
galáxias	O
,	O
vai	O
explicar	O
ao	O
público	O
em	O
geral	O
que	O
tipo	O
de	O
galáxia	O
é	O
a	O
nossa	O
,	O
como	O
se	O
formam	O
e	O
como	O
evoluem	O
na	O
palestra	O
''	O
A	B-ACONTECIMENTO
nossa	I-ACONTECIMENTO
Galáxia	I-ACONTECIMENTO
e	I-ACONTECIMENTO
as	I-ACONTECIMENTO
outras	I-ACONTECIMENTO
:	I-ACONTECIMENTO
Ilhas	I-ACONTECIMENTO
no	I-ACONTECIMENTO
Universo	I-ACONTECIMENTO
''	O
.	O
No	B-TEMPO
domingo	I-TEMPO
está	O
previsto	O
que	O
o	O
público	O
em	O
geral	O
possa	O
participar	O
no	O
lançamento	O
de	O
foguetões	O
de	O
água	O
e	O
em	O
Oficinas	B-ACONTECIMENTO
de	I-ACONTECIMENTO
Astronomia	I-ACONTECIMENTO
,	O
com	O
a	O
construção	O
de	O
Relógios	B-COISA
de	I-COISA
Sol	I-COISA
,	O
Espectroscópios	B-COISA
,	O
Astrolábios	B-COISA
,	O
Planisférios	B-COISA
e	O
outros	O
materiais	O
de	O
observação	O
.	O
A	O
iniciativa	O
termina	O
com	O
uma	O
palestra	O
por	O
João	B-PESSOA
Fernandes	I-PESSOA
,	O
o	O
coordenador	O
nacional	O
do	B-TEMPO
ano	I-TEMPO
internacional	I-TEMPO
da	O
astronomia	O
,	O
que	O
se	O
assinala	O
em	B-TEMPO
2009	I-TEMPO
.	O
Lisboa-Dakar'2008	B-ACONTECIMENTO
começa	O
a	B-TEMPO
5	I-TEMPO
de	I-TEMPO
Janeiro	I-TEMPO
PROVA	O
TERÁ	O
PERTO	B-VALOR
DE	I-VALOR
6.000	I-VALOR
QUILÓMETROS	I-VALOR
A	O
30.ª	B-VALOR
edição	O
do	O
Dakar	B-ACONTECIMENTO
vai	O
partir	O
de	O
Lisboa	B-LOCAL
no	B-TEMPO
dia	I-TEMPO
5	I-TEMPO
de	I-TEMPO
Janeiro	I-TEMPO
com	O
a	O
chegada	O
ao	O
Senegal	B-LOCAL
marcada	O
para	B-TEMPO
20	I-TEMPO
,	O
numa	O
competição	O
que	O
terá	O
no	B-TEMPO
próximo	I-TEMPO
ano	I-TEMPO
perto	B-VALOR
de	I-VALOR
6.000	I-VALOR
quilómetros	I-VALOR
de	O
provas	O
especiais	O
.	O
''	O
Os	O
itinerários	O
provisórios	O
indiciam	O
uma	O
quilometragem	O
de	O
especiais	O
significante	O
mais	O
importante	O
que	O
nos	B-TEMPO
anos	I-TEMPO
anteriores	I-TEMPO
.	O
Em	B-TEMPO
2006	I-TEMPO
e	O
2007	B-TEMPO
ficámos	O
nos	O
4.000	B-VALOR
,	I-VALOR
5.000	I-VALOR
quilómetros	I-VALOR
.	O
Em	B-TEMPO
2008	I-TEMPO
,	O
queremos	O
mais	O
especiais	O
e	O
menos	O
ligações	O
''	O
,	O
afirmou	O
o	O
director	O
do	O
Lisboa-Dakar	B-ACONTECIMENTO
,	O
Etienne	B-PESSOA
Lavigne	I-PESSOA
,	O
durante	O
a	O
apresentação	O
da	O
prova	O
.	O
A	O
partida	O
da	O
edição	O
de	B-TEMPO
2008	I-TEMPO
está	O
marcada	O
para	O
a	O
Praça	B-LOCAL
do	I-LOCAL
Império	I-LOCAL
,	O
em	O
Lisboa	B-LOCAL
.	O
O	O
Centro	B-LOCAL
Cultural	I-LOCAL
de	O
Belém	B-LOCAL
será	O
o	O
quartel-general	O
para	O
os	O
carros	O
,	O
motos	O
e	O
camiões	O
.	O
De	O
fora	O
do	O
percurso	O
ficou	O
o	O
Mali	B-LOCAL
,	O
depois	O
dos	O
problemas	O
de	O
segurança	O
ocorridos	O
na	O
prova	O
deste	B-TEMPO
ano	I-TEMPO
,	O
o	O
que	O
levou	O
ao	O
cancelamento	O
de	O
uma	O
etapa	O
.	O
''	O
Existe	O
muita	O
instabilidade	O
neste	B-TEMPO
momento	I-TEMPO
em	O
alguns	O
países	O
africanos	O
.	O
São	O
zonas	O
de	O
risco	O
onde	O
não	O
poderíamos	O
a	O
100	O
por	O
cento	O
garantir	O
a	O
segurança	O
,	O
não	O
só	O
dos	O
pilotos	O
,	O
mas	O
de	O
todo	O
o	O
staff	O
que	O
está	O
envolvido	O
na	O
prova	O
''	O
,	O
justificou	O
Etienne	B-PESSOA
Lavigne	I-PESSOA
,	O
revelando	O
que	O
o	O
Plano	B-OBRA
de	I-OBRA
Segurança	I-OBRA
Rodoviária	I-OBRA
que	O
tinha	O
sido	O
criado	O
para	O
a	O
última	O
edição	O
foi	O
reformulado	O
.	O
Lisboa	B-LOCAL
e	O
Portimão	B-LOCAL
deverão	O
receber	O
as	O
primeiras	O
especiais	O
,	O
estando	O
ainda	O
em	O
estudo	O
os	O
percursos	O
exactos	O
para	O
as	O
duas	O
etapas	O
iniciais	O
.	O
''	O
Estamos	O
muito	O
perto	O
dos	O
desenhos	O
finais	O
dos	O
percursos	O
.	O
Não	O
podemos	O
tornar	O
público	O
,	O
mas	O
temos	O
trabalhado	O
intensamente	O
nesse	O
sentido	O
.	O
Não	O
há	O
muito	O
para	O
mud	O
ar	O
.	O
Os	O
padrões	O
estão	O
de	O
tal	O
maneira	O
elevados	O
que	O
é	O
difícil	O
fazer	O
melhor	O
''	O
,	O
afirmou	O
João	B-PESSOA
Lagos	I-PESSOA
,	O
empresário	O
responsável	O
pela	O
parte	O
portuguesa	O
do	O
Lisboa-Dakar	B-ACONTECIMENTO
.	O
De	O
acordo	O
com	O
os	O
números	O
revelados	O
hoje	B-TEMPO
pela	O
organização	O
,	O
na	O
edição	O
2007	B-TEMPO
do	O
rali	O
mais	O
de	O
um	O
milhão	O
de	O
pessoas	O
assistiram	O
à	O
passagem	O
por	O
Portugal	B-LOCAL
.	O
''	O
Nestes	B-TEMPO
últimos	I-TEMPO
dois	I-TEMPO
anos	I-TEMPO
,	O
Portugal	B-LOCAL
,	O
Lisboa	B-LOCAL
e	O
Portimão	B-LOCAL
deixaram	O
uma	O
marca	O
muito	O
forte	O
no	O
Dakar	B-ACONTECIMENTO
.	O
Foram	O
anos	B-TEMPO
fantásticos	O
,	O
com	O
uma	O
adesão	O
fantástica	O
e	O
um	O
ambiente	O
extraordinário	O
''	O
,	O
sublinhou	O
João	B-PESSOA
Lagos	I-PESSOA
.	O
Bibliografia	O
de	O
Censurados	B-PESSOA
Os	O
Censurados	B-PESSOA
nasceram	O
em	O
Lisboa	B-LOCAL
''	O
no	B-TEMPO
ano	I-TEMPO
de	I-TEMPO
1988	I-TEMPO
,	O
pelo	O
antigo	O
vocalista	O
da	O
banda	O
Ku	B-PESSOA
de	I-PESSOA
Judas	I-PESSOA
,	O
João	B-PESSOA
Ribas	I-PESSOA
,	O
juntando-se-lhe	O
Orlando	B-PESSOA
Cohen	I-PESSOA
,	O
o	O
ex-membro	O
dos	O
Peste	B-PESSOA
&	I-PESSOA
amp	I-PESSOA
;	I-PESSOA
Sida	I-PESSOA
,	O
Samuel	B-PESSOA
Palitos	I-PESSOA
e	O
ainda	O
Fred	B-PESSOA
Valsassina	I-PESSOA
.	O
Os	O
Censurados	B-PESSOA
começaram	O
por	O
tocar	O
ao	O
vivo	O
.	O
Muito	O
.	O
As	O
letras	O
,	O
em	O
português	O
,	O
eram	O
simples	O
e	O
directas	O
,	O
refrões	O
fortes	O
que	O
traduziam	O
o	O
sentimento	O
da	O
juventude	O
da	B-TEMPO
era	I-TEMPO
Cavaquista	I-TEMPO
.	O
O	O
primeiro	O
registo	O
em	O
vinil	O
,	O
na	O
compilação	O
''	O
Feedback	B-OBRA
''	O
incluiu	O
os	O
temas	O
''	O
Senhores	B-OBRA
Politicos	I-OBRA
''	O
,	O
Não	B-OBRA
Vales	I-OBRA
Nada	I-OBRA
''	O
e	O
''	O
Está	B-OBRA
a	I-OBRA
andar	I-OBRA
de	I-OBRA
Mota	I-OBRA
''	O
(	O
um	O
instrumental	O
)	O
.	O
''	O
Tu	B-OBRA
ò	I-OBRA
Bófia	I-OBRA
''	O
,	O
''	O
Não	B-OBRA
Vales	I-OBRA
Nada	I-OBRA
''	O
,	O
''	O
Angústia	B-OBRA
''	O
,	O
''	O
Senhores	B-OBRA
Politicos	I-OBRA
''	O
eram	O
temas	O
fortíssimos	O
que	O
foram	O
passando	O
de	O
cassete	O
em	O
cassete	O
e	O
eram	O
entoados	O
em	O
coro	O
nos	O
concertos	O
muito	O
antes	O
do	O
lançamento	O
do	O
álbum	O
''	O
Censurados	B-OBRA
''	O
1990	B-TEMPO
.	O
Este	O
disco	O
é	O
um	O
album	O
histórico	O
que	O
foi	O
aclamado	O
pela	O
mais	O
importante	O
fanzine	O
dedicada	O
ao	O
Punk	B-ABSTRACCAO
e	O
Hardore	B-ABSTRACCAO
''	O
na	O
altura	O
,	O
a	O
Maximum	B-COISA
Rockn'Roll	I-COISA
(	O
EUA	B-LOCAL
)	O
apesar	O
das	O
letras	O
em	O
português	O
,	O
o	O
que	O
mostra	O
a	O
qualidade	O
das	O
composições	O
e	O
sobretudo	O
das	O
prestações	O
dos	O
músicos	O
.	O
Em	B-TEMPO
1991	I-TEMPO
editam	O
o	O
2º	B-VALOR
album	O
''	O
Confusão	B-OBRA
''	O
e	O
passam	O
os	B-TEMPO
anos	I-TEMPO
seguintes	I-TEMPO
na	O
estrada	O
.	O
Em	B-TEMPO
1993	I-TEMPO
sai	O
o	O
''	O
Sopa	B-OBRA
''	O
com	O
o	O
single	O
de	O
mesmo	O
nome	O
e	O
uma	O
participação	O
de	O
Jorge	B-PESSOA
Palma	I-PESSOA
na	O
música	O
''	O
Estou	B-OBRA
agarrado	I-OBRA
a	I-OBRA
ti	I-OBRA
''	O
.	O
O	B-TEMPO
ano	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
é	O
o	B-TEMPO
ano	I-TEMPO
da	O
despedida	O
,	O
mas	O
antes	B-TEMPO
participam	O
no	O
tributo	O
a	O
Zeca	B-PESSOA
Afonso	I-PESSOA
,	O
''	O
Filhos	B-OBRA
da	I-OBRA
Madrugada	I-OBRA
''	O
com	O
a	O
reedição	O
do	O
tema	O
''	O
O	B-OBRA
que	I-OBRA
faz	I-OBRA
falta	I-OBRA
''	O
.	O
Em	B-TEMPO
1998	I-TEMPO
a	O
editora	O
''	O
El	B-ORGANIZACAO
Tatu	I-ORGANIZACAO
''	O
de	O
Tim	B-PESSOA
reedita	O
os	O
albuns	O
''	O
Censurados	B-OBRA
''	O
e	O
''	O
Sopa	B-OBRA
''	O
.	O
Em	B-TEMPO
1999	I-TEMPO
os	O
Censurados	B-PESSOA
reaparecem	O
,	O
para	O
rejubilo	O
dos	O
fãns	O
,	O
participando	O
no	O
tributo	O
de	O
Xutos	B-PESSOA
&	I-PESSOA
amp	I-PESSOA
;	I-PESSOA
Pontapés	I-PESSOA
,	O
''	O
XX	B-OBRA
Anos	I-OBRA
XX	I-OBRA
Bandas	I-OBRA
''	O
.	O
Participaram	O
na	O
tourné	O
de	O
promoção	O
desse	O
disco	O
com	O
os	O
Xutos	B-PESSOA
,	O
mas	O
ao	O
contrário	O
do	O
que	O
se	O
esperava	O
os	O
Censurados	B-PESSOA
ficaram	O
por	O
aí	O
,	O
não	O
voltando	O
nunca	O
mais	O
.	O
Em	B-TEMPO
2006	I-TEMPO
é	O
lançado	O
a	O
biografia	O
da	O
banda	O
,	O
''	O
Censurados	B-OBRA
Até	I-OBRA
Morrer	I-OBRA
''	O
,	O
escrita	O
por	O
Augusto	B-PESSOA
Figueira	I-PESSOA
e	O
Renato	B-PESSOA
Conteiro	I-PESSOA
.	O
