Mosteiro	B-OBRA_ARTE
Viaja	O
com	O
o	O
padrasto	O
,	O
a	O
mãe	O
e	O
os	O
irmãos	O
à	O
Ilha	B-LOCAL_FISICO
Terceira	I-LOCAL_FISICO
,	O
nos	O
Açores	B-LOCAL_FISICO
,	O
onde	O
vive	O
a	O
família	O
materna	O
.	O
Também	O
partem	O
para	O
Tavira	B-LOCAL_HUMANO
onde	O
para	O
visitar	O
os	O
parentes	O
paternos	O
.	O
Nessa	B-TEMPO_TEMPO_CALEND
época	I-TEMPO_TEMPO_CALEND
escreve	O
a	O
poesia	O
Quando	O
ela	O
passa	O
.	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
permanece	O
em	O
Lisboa	B-LOCAL_HUMANO
enquanto	O
todos	O
regressam	O
para	O
Durban	B-LOCAL_HUMANO
:	O
a	O
mãe	O
,	O
o	O
padrasto	O
,	O
os	O
irmãos	O
e	O
a	O
criada	O
Paciência	B-PESSOA_INDIVIDUAL
que	O
viera	O
com	O
eles	O
.	O
Volta	O
sozinho	O
para	O
a	O
África	B-LOCAL_HUMANO
no	O
vapor	O
Herzog	B-COISA_OBJECTO
.	O
Na	B-TEMPO_TEMPO_CALEND
mesma	I-TEMPO_TEMPO_CALEND
época	I-TEMPO_TEMPO_CALEND
,	O
tenta	O
escrever	O
romances	O
em	O
inglês	O
e	O
matricula	O
-	O
se	O
na	O
Commercial	B-ORGANIZACAO_INSTITUICAO
School	I-ORGANIZACAO_INSTITUICAO
.	O
Lá	O
estuda	O
à	B-TEMPO_GENERICO
noite	I-TEMPO_GENERICO
enquanto	O
de	B-TEMPO_GENERICO
dia	I-TEMPO_GENERICO
se	O
ocupa	O
com	O
disciplinas	O
humanísticas	O
.	O
Em	B-TEMPO_TEMPO_CALEND
1903	I-TEMPO_TEMPO_CALEND
,	O
candidata	O
-	O
se	O
à	O
Universidade	O
do	O
Cabo	O
da	O
Boa	O
Esperança	O
.	O
Na	O
prova	O
de	O
exame	O
para	O
a	O
admissão	O
,	O
não	O
obtém	O
uma	O
boa	O
classificação	O
,	O
mas	O
tira	O
a	O
melhor	O
nota	O
entre	O
os	O
899	B-VALOR_QUANTIDADE
candidatos	O
no	O
ensaio	O
de	O
estilo	O
inglês	O
.	O
Recebe	O
por	O
isso	O
o	O
Queen	O
Victoria	O
Memorial	O
Prize	O
(	O
«	O
Prémio	O
Rainha	O
Vitória	O
»	O
)	O
.	O
Um	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
depois	I-TEMPO_TEMPO_CALEND
novamente	O
ingressa	O
na	O
Durban	B-ORGANIZACAO_INSTITUICAO
High	I-ORGANIZACAO_INSTITUICAO
School	I-ORGANIZACAO_INSTITUICAO
onde	O
frequenta	O
o	O
equivalente	O
a	O
um	O
primeiro	O
ano	O
universitário	O
,	O
Aprofunda	O
a	O
sua	O
cultura	O
,	O
lendo	O
clássicos	O
ingleses	O
e	O
latinos	O
;	O
escreve	O
poesia	O
e	O
prosa	O
em	O
inglês	O
e	O
surgem	O
os	O
heterónimos	O
Charles	B-ABSTRACCAO_NOME
Robert	I-ABSTRACCAO_NOME
Anon	I-ABSTRACCAO_NOME
e	O
H.	B-ABSTRACCAO_NOME
M.	I-ABSTRACCAO_NOME
F.	I-ABSTRACCAO_NOME
Lecher	I-ABSTRACCAO_NOME
;	O
nasce	O
z	O
sua	O
irmã	O
Maria	B-PESSOA_INDIVIDUAL
Clara	I-PESSOA_INDIVIDUAL
e	O
publica	O
o	O
jornal	O
do	O
liceu	O
um	O
ensaio	O
crítico	O
intitulado	O
Macaulay	B-ABSTRACCAO_NOME
.	O
Por	O
fim	O
,	O
encerra	O
os	O
seus	O
bem	O
sucedidos	O
estudos	O
na	O
África	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
após	O
realizar	O
na	O
Universidade	B-ORGANIZACAO_INSTITUICAO
o	O
«	O
Intermediate	B-ABSTRACCAO_DISCIPLINA
Examination	I-ABSTRACCAO_DISCIPLINA
in	I-ABSTRACCAO_DISCIPLINA
Arts	I-ABSTRACCAO_DISCIPLINA
»	O
,	O
adquirindo	O
bons	O
resultados	O
.	O
Volta	O
definitiva	O
a	O
Portugal	B-LOCAL_HUMANO
e	O
início	O
de	O
carreira	O
Deixando	O
a	O
família	O
em	O
Durban	B-LOCAL_HUMANO
,	O
regressou	O
definitivamente	O
à	O
capital	O
portuguesa	O
,	O
sozinho	O
,	O
em	B-TEMPO_TEMPO_CALEND
1905	I-TEMPO_TEMPO_CALEND
.	O
Passa	O
a	O
viver	O
com	O
a	O
avó	B-PESSOA_INDIVIDUAL
Dionísia	I-PESSOA_INDIVIDUAL
e	O
as	O
duas	O
tias	O
na	O
Rua	B-LOCAL_HUMANO
da	I-LOCAL_HUMANO
Bela	I-LOCAL_HUMANO
Vista	I-LOCAL_HUMANO
,	O
17	O
.	O
A	O
mãe	O
e	O
o	O
padrasto	O
também	O
retornam	O
a	O
Lisboa	B-LOCAL_HUMANO
,	O
durante	B-TEMPO_DURACAO
um	I-TEMPO_DURACAO
período	I-TEMPO_DURACAO
de	O
férias	O
de	B-TEMPO_DURACAO
um	I-TEMPO_DURACAO
ano	I-TEMPO_DURACAO
em	O
que	O
Pessoa	B-PESSOA_INDIVIDUAL
volta	O
a	O
morar	O
com	O
eles	O
.	O
Continua	O
a	O
produção	O
de	O
poemas	O
em	O
inglês	O
e	O
em	B-TEMPO_TEMPO_CALEND
1906	I-TEMPO_TEMPO_CALEND
matricula	O
-	O
se	O
no	O
Curso	B-ORGANIZACAO_INSTITUICAO
Superior	I-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Letras	I-ORGANIZACAO_INSTITUICAO
(	O
actual	O
Faculdade	B-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Letras	I-ORGANIZACAO_INSTITUICAO
da	O
Universidade	B-ORGANIZACAO_INSTITUICAO
de	O
Lisboa	B-LOCAL_HUMANO
)	O
,	O
que	O
abandona	O
sem	O
sequer	O
completar	O
o	B-TEMPO_GENERICO
primeiro	I-TEMPO_GENERICO
ano	I-TEMPO_GENERICO
.	O
É	O
nesta	B-TEMPO_TEMPO_CALEND
época	I-TEMPO_TEMPO_CALEND
que	O
entra	O
em	O
contacto	O
com	O
importantes	O
escritores	O
de	O
literatura	O
da	O
língua	O
portuguesa	O
.	O
Interessa	O
-	O
se	O
pela	O
obra	O
de	O
Cesário	B-PESSOA_INDIVIDUAL
Verde	I-PESSOA_INDIVIDUAL
e	O
pelos	O
sermões	O
do	O
Padre	B-PESSOA_INDIVIDUAL
Antônio	I-PESSOA_INDIVIDUAL
Vieira	I-PESSOA_INDIVIDUAL
.	O
Em	B-TEMPO_TEMPO_CALEND
Agosto	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1907	I-TEMPO_TEMPO_CALEND
,	O
morre	O
a	O
sua	O
avó	B-PESSOA_INDIVIDUAL
Dionísia	I-PESSOA_INDIVIDUAL
,	O
deixando	O
-	O
lhe	O
uma	O
pequena	O
herança	O
.	O
Com	O
esse	O
dinheiro	O
,	O
monta	O
uma	O
pequena	O
tipografia	O
,	O
que	O
rapidamente	O
faliu	O
,	O
na	O
Rua	B-LOCAL_HUMANO
da	I-LOCAL_HUMANO
Conceição	I-LOCAL_HUMANO
da	I-LOCAL_HUMANO
Glória	I-LOCAL_HUMANO
,	O
38	O
-	O
4.º	O
,	O
sob	O
o	O
nome	O
de	O
«	O
Empresa	B-ABSTRACCAO_NOME
Íbis	I-ABSTRACCAO_NOME
---	I-ABSTRACCAO_NOME
Tipografia	I-ABSTRACCAO_NOME
Editora	I-ABSTRACCAO_NOME
---	I-ABSTRACCAO_NOME
Oficinas	I-ABSTRACCAO_NOME
a	I-ABSTRACCAO_NOME
Vapor	I-ABSTRACCAO_NOME
»	O
.	O
A	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1908	I-TEMPO_TEMPO_CALEND
,	O
dedica	O
-	O
se	O
à	O
tradução	O
de	O
correspondência	O
comercial	O
,	O
um	O
trabalho	O
que	O
poderíamos	O
chamar	O
de	O
"	O
correspondente	O
estrangeiro	O
"	O
.	O
Nessa	O
profissão	O
trabalha	O
a	O
vida	O
toda	O
,	O
tendo	O
uma	O
modesta	O
vida	O
pública	O
.	O
Inicia	O
a	O
sua	O
actividade	O
de	O
ensaista	O
e	O
crítico	O
literário	O
com	O
a	O
publicação	O
,	O
em	B-TEMPO_TEMPO_CALEND
1912	I-TEMPO_TEMPO_CALEND
,	O
na	O
revista	O
«	O
Águia	B-LOCAL_VIRTUAL
»	O
,	O
do	O
artigo	O
«	O
A	B-OBRA_REPRODUZIDA
nova	I-OBRA_REPRODUZIDA
poesia	I-OBRA_REPRODUZIDA
portuguesa	I-OBRA_REPRODUZIDA
sociologicamente	I-OBRA_REPRODUZIDA
considerada	I-OBRA_REPRODUZIDA
»	O
,	O
a	O
que	O
se	O
seguiriam	O
outros	O
.	O
Pessoa	B-PESSOA_INDIVIDUAL
é	O
internado	O
no	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
29	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Novembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1935	I-TEMPO_TEMPO_CALEND
,	O
no	O
Hospital	B-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
São	I-ORGANIZACAO_INSTITUICAO
Luís	I-ORGANIZACAO_INSTITUICAO
dos	I-ORGANIZACAO_INSTITUICAO
Franceses	I-ORGANIZACAO_INSTITUICAO
,	O
com	O
diagnóstico	O
de	O
"	O
cólica	O
hepática	O
"	O
(	O
provavelmente	O
uma	O
colangite	O
aguda	O
causada	O
por	O
cálculo	O
biliar	O
)	O
,	O
falecendo	O
de	O
suas	O
complicações	O
,	O
possivelmente	O
associada	O
a	O
uma	O
cirrose	O
hepática	O
provocada	O
pelo	O
óbvio	O
excesso	O
de	O
álcool	O
ao	O
longo	O
da	O
sua	O
vida	O
(	O
a	O
título	O
de	O
curiosidade	O
acredita	O
-	O
se	O
que	O
era	O
muito	O
fiel	O
à	O
aguardente	O
"	O
Águia	B-COISA_CLASSE
Real	I-COISA_CLASSE
")	O
.	O
No	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
30	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Novembro	I-TEMPO_TEMPO_CALEND
morre	O
aos	O
47	B-VALOR_QUANTIDADE
anos	I-VALOR_QUANTIDADE
.	O
Nos	B-TEMPO_TEMPO_CALEND
últimos	I-TEMPO_TEMPO_CALEND
momentos	I-TEMPO_TEMPO_CALEND
da	O
sua	O
vida	O
pede	O
os	O
óculos	O
e	O
clama	O
pelos	O
seus	O
heterónimos	O
.	O
A	O
sua	O
última	O
frase	O
é	O
escrita	O
no	O
idioma	O
no	O
qual	O
foi	O
educado	O
,	O
o	O
inglês	O
:	O
I	O
know	O
not	O
what	O
tomorrow	O
will	O
bring	O
(	O
"	O
Eu	O
não	O
sei	O
o	O
que	O
o	O
amanhã	O
trará	O
"	O
)	O
.	O
Legado	O
[	O
...	O
]	O
Analogamente	O
a	O
Pompeu	B-PESSOA_INDIVIDUAL
que	O
disse	O
que	O
"	O
navegar	O
é	O
preciso	O
;	O
viver	O
não	O
é	O
preciso	O
"	O
,	O
Pessoa	B-PESSOA_INDIVIDUAL
diz	O
,	O
no	O
poema	O
Navegar	O
é	O
Preciso	O
,	O
que	O
"	O
viver	O
não	O
é	O
necessário	O
;	O
o	O
que	O
é	O
necessário	O
é	O
criar	O
"	O
.	O
Outra	O
interpretação	O
comum	O
deste	O
poema	O
diz	O
respeito	O
ao	O
fato	O
de	O
que	O
a	O
navegação	O
foi	O
resultado	O
de	O
uma	O
atitude	O
racionalista	O
do	O
mundo	O
ocidental	O
(	O
a	O
navegação	O
exigiria	O
precisão	O
)	O
enquanto	O
a	O
vida	O
poderia	O
dispensar	O
tal	O
precisão	O
.	O
Sobre	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
,	O
o	O
poeta	O
mexicano	O
ganhador	O
do	O
Nobel	O
de	O
Literatura	O
Octavio	B-PESSOA_INDIVIDUAL
Paz	I-PESSOA_INDIVIDUAL
diz	O
que	O
"	O
os	O
poetas	O
não	O
têm	O
biografia	O
.	O
Sua	O
obra	O
é	O
sua	O
biografia	O
"	O
e	O
que	O
,	O
no	O
caso	O
do	O
poeta	O
português	O
,	O
"	O
nada	O
em	O
sua	O
vida	O
é	O
surpreendente	O
---	O
nada	O
,	O
exceto	O
seus	O
poemas	O
"	O
.	O
O	O
crítico	O
literário	O
estadunidense	O
Harold	B-PESSOA_INDIVIDUAL
Bloom	I-PESSOA_INDIVIDUAL
considerou	O
-	O
o	O
,	O
no	O
seu	O
livro	O
The	B-OBRA_REPRODUZIDA
Western	I-OBRA_REPRODUZIDA
Canon	I-OBRA_REPRODUZIDA
(	O
"	O
O	B-OBRA_REPRODUZIDA
Cânone	I-OBRA_REPRODUZIDA
Ocidental	I-OBRA_REPRODUZIDA
")	O
,	O
o	O
mais	O
representativo	O
poeta	O
do	B-TEMPO_TEMPO_CALEND
século	I-TEMPO_TEMPO_CALEND
XX	I-TEMPO_TEMPO_CALEND
,	O
ao	O
lado	O
do	O
chileno	O
Pablo	B-PESSOA_INDIVIDUAL
Neruda	I-PESSOA_INDIVIDUAL
.	O
[	O
3	O
]	O
Na	O
comemoração	O
do	O
centenário	O
do	O
seu	O
nascimento	O
em	B-TEMPO_TEMPO_CALEND
1988	I-TEMPO_TEMPO_CALEND
,	O
seu	O
corpo	O
foi	O
transladado	O
para	O
o	O
Mosteiro	B-LOCAL_HUMANO
dos	I-LOCAL_HUMANO
Jerónimos	I-LOCAL_HUMANO
,	O
confirmando	O
o	O
reconhecimento	O
que	O
não	O
teve	O
em	O
vida	O
.	O
[	O
editar	O
]	O
Pessoa	B-PESSOA_INDIVIDUAL
e	O
o	O
ocultismo	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
possuía	O
ligações	O
com	O
o	O
ocultismo	O
e	O
o	O
misticismo	O
,	O
salientando	O
-	O
se	O
a	O
Maçonaria	B-ABSTRACCAO_DISCIPLINA
e	O
a	O
Rosa	B-ABSTRACCAO_DISCIPLINA
-	I-ABSTRACCAO_DISCIPLINA
Cruz	I-ABSTRACCAO_DISCIPLINA
(	O
embora	O
não	O
se	O
conheça	O
qualquer	O
filiação	O
concreta	O
em	O
Loja	B-ORGANIZACAO_INSTITUICAO
ou	O
Fraternidade	B-ORGANIZACAO_INSTITUICAO
destas	O
escolas	O
de	O
pensamento	O
)	O
,	O
havendo	O
inclusive	O
defendido	O
publicamente	O
as	O
organizações	O
iniciáticas	O
,	O
no	O
Diário	B-LOCAL_VIRTUAL
de	I-LOCAL_VIRTUAL
Lisboa	I-LOCAL_VIRTUAL
,	O
de	B-TEMPO_TEMPO_CALEND
4	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
fevereiro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1935	I-TEMPO_TEMPO_CALEND
,	O
contra	O
ataques	O
por	O
parte	O
da	O
ditadura	O
do	O
Estado	B-ORGANIZACAO_ADMINISTRACAO
Novo	I-ORGANIZACAO_ADMINISTRACAO
.	O
O	O
seu	O
poema	O
hermético	O
mais	O
conhecido	O
e	O
apreciado	O
entre	O
os	O
estudantes	O
de	O
esoterismo	O
intitula	O
-	O
se	O
"	O
No	B-ABSTRACCAO_NOME
Túmulo	I-ABSTRACCAO_NOME
de	I-ABSTRACCAO_NOME
Christian	I-ABSTRACCAO_NOME
Rosenkreutz	I-ABSTRACCAO_NOME
"	O
.	O
Tinha	O
o	O
hábito	O
de	O
fazer	O
consultas	O
astrológicas	O
para	O
si	O
mesmo	O
(	O
de	O
acordo	O
com	O
a	O
sua	O
certidão	O
de	O
nascimento	O
,	O
nasceu	O
às	B-TEMPO_TEMPO_CALEND
15h20	I-TEMPO_TEMPO_CALEND
;	O
tinha	O
ascendente	O
Escorpião	O
e	O
o	O
Sol	O
em	O
Gémeos	O
)	O
.	O
Realizou	O
mais	O
de	O
mil	O
horóscopos	O
.	O
Certa	O
vez	O
,	O
lendo	O
uma	O
publicação	O
inglesa	O
do	O
famoso	O
ocultista	O
Aleister	B-PESSOA_INDIVIDUAL
Crowley	I-PESSOA_INDIVIDUAL
,	O
Fernando	B-PESSOA_INDIVIDUAL
encontrou	O
erros	O
no	O
horóscopo	O
e	O
escreveu	O
ao	O
inglês	O
para	O
corrigi	O
-	O
lo	O
,	O
já	O
que	O
era	O
um	O
conhecedor	O
e	O
praticante	O
da	O
astrologia	O
,	O
conhecimentos	O
estes	O
que	O
impressionaram	O
Crowley	B-PESSOA_INDIVIDUAL
e	O
,	O
como	O
gostava	O
de	O
viagens	O
,	O
o	O
fizeram	O
ir	O
até	O
Portugal	B-LOCAL_HUMANO
para	O
conhecer	O
o	O
poeta	O
.	O
Junto	O
com	O
ele	O
veio	O
a	O
maga	O
alemã	O
Miss	B-PESSOA_INDIVIDUAL
Jaeger	I-PESSOA_INDIVIDUAL
,	O
que	O
passou	O
a	O
escrever	O
cartas	O
a	O
Fernando	B-PESSOA_INDIVIDUAL
assinando	O
com	O
um	O
pseudônimo	O
ocultista	O
.	O
O	O
encontro	O
não	O
foi	O
muito	O
amigável	O
,	O
dados	O
os	O
graves	O
desequilíbrios	O
psíquico	O
e	O
espiritual	O
que	O
Crowley	B-PESSOA_INDIVIDUAL
sofria	O
e	O
---	O
apesar	O
disso	O
---	O
ensinava	O
.	O
Escola	O
lança	O
quadrinhos	O
em	O
prol	O
do	O
meio	O
ambiente	O
Fonte	O
:	O
Press	O
Release	O
(	O
28/10/2003	B-TEMPO_TEMPO_CALEND
)	O
A	O
Expotec	B-ACONTECIMENTO_ORGANIZADO
2003	I-ACONTECIMENTO_ORGANIZADO
,	O
Feira	B-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Ciências	I-ACONTECIMENTO_ORGANIZADO
e	I-ACONTECIMENTO_ORGANIZADO
Cultura	I-ACONTECIMENTO_ORGANIZADO
da	O
Escola	B-ORGANIZACAO_INSTITUICAO
Fortec	I-ORGANIZACAO_INSTITUICAO
,	O
reuniu	O
mais	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
2000	I-VALOR_QUANTIDADE
pessoas	O
na	O
unidade	O
4	O
,	O
em	O
São	B-LOCAL_HUMANO
Vicente	I-LOCAL_HUMANO
-	O
Feira	O
de	O
Ciências	O
e	O
Cultura	O
da	O
Escola	O
Fortec	O
.	O
Um	O
dos	O
destaques	O
do	O
evento	O
foi	O
a	O
apresentação	O
do	O
resultado	O
do	O
trabalho	O
desenvolvido	O
em	O
sala	O
de	O
aula	O
pela	O
oficina	O
Noções	B-ABSTRACCAO_DISCIPLINA
básicas	I-ABSTRACCAO_DISCIPLINA
de	I-ABSTRACCAO_DISCIPLINA
Histórias	I-ABSTRACCAO_DISCIPLINA
em	I-ABSTRACCAO_DISCIPLINA
Quadrinhos	I-ABSTRACCAO_DISCIPLINA
,	O
da	O
Associação	B-ORGANIZACAO_INSTITUICAO
dos	I-ORGANIZACAO_INSTITUICAO
Artistas	I-ORGANIZACAO_INSTITUICAO
-	I-ORGANIZACAO_INSTITUICAO
Música	I-ORGANIZACAO_INSTITUICAO
e	I-ORGANIZACAO_INSTITUICAO
Arte	I-ORGANIZACAO_INSTITUICAO
.	O
O	O
evento	O
contou	O
com	O
o	O
lançamento	O
do	O
Zine	B-OBRA_REPRODUZIDA
Expotec	I-OBRA_REPRODUZIDA
2003	I-OBRA_REPRODUZIDA
-	I-OBRA_REPRODUZIDA
Meio	I-OBRA_REPRODUZIDA
Ambiente	I-OBRA_REPRODUZIDA
,	O
ilustrações	O
e	O
mascotes	O
criados	O
pelos	O
alunos	O
.	O
Além	O
da	O
exposição	O
,	O
cada	O
aluno	O
criou	O
sua	O
mascote	O
que	O
virou	O
camiseta	O
.	O
A	O
oficina	O
foi	O
coordenada	O
por	O
Fábio	B-PESSOA_INDIVIDUAL
Tatsubô	I-PESSOA_INDIVIDUAL
com	O
a	O
monitoria	O
de	O
André	B-PESSOA_INDIVIDUAL
Prata	I-PESSOA_INDIVIDUAL
.	O
Links	O
Relacionados	O
:	O
HQ	B-LOCAL_VIRTUAL
Nacional	I-LOCAL_VIRTUAL
Editora	B-ORGANIZACAO_EMPRESA
Rocco	I-ORGANIZACAO_EMPRESA
lança	O
Mulheres	B-OBRA_REPRODUZIDA
Alteradas	I-OBRA_REPRODUZIDA
5	I-OBRA_REPRODUZIDA
(	O
09/06/05	B-TEMPO_TEMPO_CALEND
)	O
Lançamento	O
do	O
mangá	O
Fruits	B-OBRA_REPRODUZIDA
Basket	I-OBRA_REPRODUZIDA
no	O
Anima	B-ACONTECIMENTO_ORGANIZADO
Weekend	I-ACONTECIMENTO_ORGANIZADO
(	O
07/04/05	B-TEMPO_TEMPO_CALEND
)	O
Turma	B-PESSOA_GRUPOMEMBRO
da	I-PESSOA_GRUPOMEMBRO
Mônica	I-PESSOA_GRUPOMEMBRO
será	O
estrela	O
de	O
campanha	O
internacional	O
de	O
vacinação	O
(	O
30/03/05	B-TEMPO_TEMPO_CALEND
)	O
HQs	B-COISA_CLASSE
de	O
Velta	B-PESSOA_INDIVIDUAL
disponíveis	O
em	O
CD	O
-	O
Rom	O
(	O
22/03/05	B-TEMPO_TEMPO_CALEND
)	O
Folclore	O
brasileiro	O
em	O
estilo	O
mangá	O
(	O
03/03/05	B-TEMPO_TEMPO_CALEND
)	O
Antônio	B-PESSOA_INDIVIDUAL
Houaiss	I-PESSOA_INDIVIDUAL
:	O
influências	O
e	O
afinidades	O
no	O
seu	O
labor	O
lingüístico	O
-	O
filológico	O
(	O
Evanildo	B-PESSOA_INDIVIDUAL
Bechara	I-PESSOA_INDIVIDUAL
UERJ	B-ORGANIZACAO_INSTITUICAO
/	O
UFF	B-ORGANIZACAO_INSTITUICAO
)	O
Vem	O
-	O
se	O
,	O
a	O
pouco	O
e	O
pouco	O
,	O
compondo	O
o	O
quadro	O
da	O
história	O
das	O
idéias	O
e	O
das	O
atividades	O
dos	O
lingüistas	O
,	O
filólogos	O
e	O
gramáticos	O
brasileiros	O
.	O
A	O
partir	O
de	O
um	O
primeiro	O
e	O
fragmentário	O
levantamento	O
,	O
por	O
falta	O
de	O
informações	O
,	O
de	O
José	B-PESSOA_INDIVIDUAL
Leite	I-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Vasconcelos	I-PESSOA_INDIVIDUAL
,	O
e	O
do	O
bem	O
mais	O
circunstanciado	O
Breve	O
retrospecto	O
sobre	O
o	O
ensino	O
da	O
Língua	O
Portuguesa	O
,	O
redigido	O
por	O
Maximino	B-PESSOA_INDIVIDUAL
Maciel	I-PESSOA_INDIVIDUAL
em	B-TEMPO_TEMPO_CALEND
novembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1910	I-TEMPO_TEMPO_CALEND
e	O
que	O
vem	O
como	O
apêndice	O
à	O
sua	O
Gramática	B-OBRA_REPRODUZIDA
Descritiva	I-OBRA_REPRODUZIDA
,	O
vem	O
-	O
se	O
avolumando	O
,	O
em	O
vários	O
centros	O
universitários	O
brasileiros	O
,	O
a	O
pesquisa	O
de	O
informações	O
sobre	O
o	O
tema	O
,	O
de	O
modo	O
que	O
,	O
dentro	O
de	O
pouco	O
,	O
já	O
se	O
pode	O
elaborar	O
um	O
manual	O
bastante	O
rico	O
e	O
informativo	O
sobre	O
essas	O
idéias	O
e	O
atividades	O
.	O
Circunscrevendo	O
-	O
se	O
,	O
pela	O
facilidade	O
de	O
informações	O
diretas	O
,	O
ao	O
que	O
se	O
vem	O
fazendo	O
no	O
Rio	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
Janeiro	I-LOCAL_HUMANO
,	O
cabe	O
menção	O
a	O
um	O
ou	O
dois	O
capítulos	O
da	O
1.ª	O
série	O
dos	O
Estudos	B-OBRA_REPRODUZIDA
Filológicos	I-OBRA_REPRODUZIDA
de	O
Antenor	B-PESSOA_INDIVIDUAL
Nascentes	I-PESSOA_INDIVIDUAL
,	O
saídos	O
em	B-TEMPO_TEMPO_CALEND
1939	I-TEMPO_TEMPO_CALEND
,	O
e	O
,	O
mais	O
recentemente	O
,	O
os	O
levantamentos	O
de	O
Sílvio	B-PESSOA_INDIVIDUAL
Elia	I-PESSOA_INDIVIDUAL
,	O
nos	O
Ensaios	B-OBRA_REPRODUZIDA
de	I-OBRA_REPRODUZIDA
Filologia	I-OBRA_REPRODUZIDA
e	I-OBRA_REPRODUZIDA
Lingüística	I-OBRA_REPRODUZIDA
.	O
Depois	O
de	O
um	O
primeiro	O
momento	O
de	O
visão	O
panorâmica	O
,	O
surgem	O
os	O
estudos	O
especiais	O
de	O
autor	O
:	O
M.	B-OBRA_REPRODUZIDA
Said	I-OBRA_REPRODUZIDA
Ali	I-OBRA_REPRODUZIDA
(	O
de	O
Evanildo	B-PESSOA_INDIVIDUAL
Bechara	I-PESSOA_INDIVIDUAL
)	O
,	O
J.	B-OBRA_REPRODUZIDA
Mattoso	I-OBRA_REPRODUZIDA
Câmara	I-OBRA_REPRODUZIDA
Jr	I-OBRA_REPRODUZIDA
.	I-OBRA_REPRODUZIDA
(	O
de	O
Carlos	B-PESSOA_INDIVIDUAL
Eduardo	I-PESSOA_INDIVIDUAL
Falcão	I-PESSOA_INDIVIDUAL
Uchôa	I-PESSOA_INDIVIDUAL
)	O
,	O
Clóvis	B-OBRA_REPRODUZIDA
Monteiro	I-OBRA_REPRODUZIDA
(	O
de	O
Jayr	B-PESSOA_INDIVIDUAL
Calhau	I-PESSOA_INDIVIDUAL
)	O
,	O
Olmar	B-OBRA_REPRODUZIDA
Guterres	I-OBRA_REPRODUZIDA
da	I-OBRA_REPRODUZIDA
Silveira	I-OBRA_REPRODUZIDA
(	O
de	O
Horácio	B-PESSOA_INDIVIDUAL
Rolim	I-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Freitas	I-PESSOA_INDIVIDUAL
)	O
,	O
o	O
exaustivo	O
estudo	O
sobre	O
Sousa	B-PESSOA_INDIVIDUAL
da	I-PESSOA_INDIVIDUAL
Silveira	I-PESSOA_INDIVIDUAL
(	O
de	O
Maximiano	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Carvalho	I-PESSOA_INDIVIDUAL
e	I-PESSOA_INDIVIDUAL
Silva	I-PESSOA_INDIVIDUAL
)	O
,	O
sem	O
contar	O
as	O
análises	O
percucientes	O
de	O
Joaquim	B-PESSOA_INDIVIDUAL
Mattoso	I-PESSOA_INDIVIDUAL
Câmara	I-PESSOA_INDIVIDUAL
Jr	I-PESSOA_INDIVIDUAL
.	I-PESSOA_INDIVIDUAL
acerca	O
da	O
obra	O
de	O
M.	B-PESSOA_INDIVIDUAL
Said	I-PESSOA_INDIVIDUAL
Ali	I-PESSOA_INDIVIDUAL
e	O
João	B-PESSOA_INDIVIDUAL
Ribeiro	I-PESSOA_INDIVIDUAL
,	O
reunidos	O
nos	O
Dispersos	B-OBRA_REPRODUZIDA
.	O
Só	O
para	O
a	O
referência	O
de	O
uma	O
importante	O
contribuição	O
de	O
São	B-LOCAL_HUMANO
