Juventude	B-OBRA_PLANO
salientando-se	O
a	B-TEMPO_TEMPO_CALEND
Maçonaria	O
e	O
a	B-TEMPO_TEMPO_CALEND
Rosa-Cruz	O
(	O
embora	O
não	O
se	O
conheça	O
qualquer	O
filiação	O
concreta	O
em	B-TEMPO_TEMPO_CALEND
Loja	O
ou	O
Fraternidade	O
destas	O
escolas	O
de	O
pensamento	O
)	O
,	O
havendo	O
inclusive	O
defendido	O
publicamente	O
as	O
organizações	O
iniciáticas	O
,	O
no	O
Diário	B-PESSOA_GRUPOMEMBRO
de	I-PESSOA_GRUPOMEMBRO
Lisboa	B-OBRA_PLANO
,	O
de	B-TEMPO_TEMPO_CALEND
4	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
fevereiro	O
de	O
1935	B-TEMPO_TEMPO_CALEND
,	O
contra	O
ataques	O
por	O
parte	O
da	O
ditadura	O
do	O
Estado	B-PESSOA_CARGO
Novo	B-OBRA_PLANO
.	O
O	O
seu	O
poema	O
hermético	O
mais	B-VALOR_QUANTIDADE
conhecido	O
e	O
apreciado	O
entre	O
os	O
estudantes	O
de	O
esoterismo	O
intitula-se	O
``	O
No	B-TEMPO_FREQUENCIA
Túmulo	B-OBRA_ARTE
de	I-OBRA_ARTE
Christian	B-PESSOA_INDIVIDUAL
Rosenkreutz	O
``	O
.	O
Tinha	O
o	O
hábito	O
de	O
fazer	O
consultas	O
astrológicas	O
para	O
si	O
mesmo	B-TEMPO_TEMPO_CALEND
(	O
de	O
acordo	O
com	O
a	O
sua	O
certidão	O
de	O
nascimento	O
,	O
nasceu	O
às	O
15h20	O
;	O
tinha	O
ascendente	O
Escorpião	O
e	O
o	O
Sol	O
em	B-TEMPO_TEMPO_CALEND
Gémeos	O
)	O
.	O
Realizou	O
mais	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
mil	I-VALOR_QUANTIDADE
horóscopos.	O
Certa	O
vez	O
,	O
lendo	O
uma	O
publicação	O
inglesa	O
do	O
famoso	O
ocultista	O
Aleister	O
Crowley	O
,	O
Fernando	B-PESSOA_INDIVIDUAL
encontrou	O
erros	O
no	O
horóscopo	O
e	O
escreveu	O
ao	B-TEMPO_DURACAO
inglês	O
para	O
corrigi-lo	O
,	O
já	O
que	O
era	O
um	O
conhecedor	O
e	O
praticante	O
da	O
astrologia	O
,	O
conhecimentos	O
estes	O
que	O
impressionaram	O
Crowley	O
e	O
,	O
como	O
gostava	O
de	O
viagens	O
,	O
o	O
fizeram	O
ir	O
até	O
Portugal	B-ORGANIZACAO_ADMINISTRACAO
para	O
conhecer	O
o	O
poeta.	O
Junto	O
com	O
ele	O
veio	O
a	B-TEMPO_TEMPO_CALEND
maga	O
alemã	O
Miss	O
Jaeger	O
,	O
que	O
passou	O
a	B-TEMPO_TEMPO_CALEND
escrever	O
cartas	O
a	B-TEMPO_TEMPO_CALEND
Fernando	B-PESSOA_INDIVIDUAL
assinando	O
com	O
um	O
pseudônimo	O
ocultista.	O
O	O
encontro	O
não	O
foi	O
muito	B-TEMPO_TEMPO_CALEND
amigável	O
,	O
dados	O
os	O
graves	O
desequilíbrios	O
psíquico	O
e	O
espiritual	O
que	O
Crowley	O
sofria	O
e	O
--	O
-	O
apesar	O
disso	O
--	O
-	O
ensinava.	O
Por	O
que	O
não	O
lançar	O
foguetões	O
de	O
água	O
e	O
aprender	O
a	O
fazer	O
relógios	O
de	O
Sol	O
?	O
:	B-OBRA_REPRODUZIDA
:	I-OBRA_REPRODUZIDA
2007-12-13	O
Telescópios	O
,	O
brinquedos	O
,	O
livros	O
,	O
um	O
simulador	O
de	O
voo	O
,	O
sessões	O
de	O
observação	O
do	O
sol	O
e	O
do	O
céu	O
nocturno	O
e	O
foguetões	O
de	O
água	O
vão	O
estar	O
,	O
entre	O
sexta-feira	B-TEMPO_TEMPO_CALEND
e	O
domingo	B-TEMPO_TEMPO_CALEND
,	I-TEMPO_TEMPO_CALEND
em	B-TEMPO_TEMPO_CALEND
Cascais	O
,	O
à	O
disposição	O
dos	O
visitantes	O
da	O
FASCINIO	O
-	O
Feira	O
de	O
Astronomia	O
e	O
Ciência	B-LOCAL_VIRTUAL
.	O
Organizada	O
pelo	O
Núcleo	O
Interactivo	O
de	O
Astronomia	O
(	O
NUCLIO	O
)	O
no	O
Centro	B-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Interpretação	O
Ambiental	O
da	O
Ponta	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sal	O
,	O
em	O
São	B-LOCAL_HUMANO
Pedro	B-ORGANIZACAO_INSTITUICAO
do	O
Estoril	B-LOCAL_HUMANO
,	O
a	O
quarta	O
edição	O
da	O
iniciativa	O
inclui	O
sessões	O
de	O
observação	O
do	O
sol	O
e	O
do	O
céu	O
nocturno	O
,	O
oficinas	O
de	O
astronomia	O
,	O
lançamentos	O
de	O
foguetões	O
de	O
água	O
,	O
palestras	O
e	O
uma	O
``	O
procura	O
de	O
asteróides	O
''	B-PESSOA_INDIVIDUAL
,	O
actividade	O
que	O
a	O
instituição	O
promove	O
regularmente	O
nas	O
escolas	O
do	O
concelho.	O
''	B-PESSOA_INDIVIDUAL
A	O
feira	O
destina-se	O
ao	O
público	O
em	O
geral	O
,	O
embora	O
o	O
programa	O
de	O
sexta-feira	B-TEMPO_TEMPO_CALEND
esteja	O
muito	O
pensado	O
para	O
as	O
escolas	O
,	O
com	O
actividades	O
para	O
os	O
primeiros	O
ciclos	O
,	O
e	O
sábado	B-TEMPO_TEMPO_CALEND
tenha	O
actividades	O
para	O
os	O
professores	O
,	O
com	O
uma	O
pequena	O
mostra	O
das	O
actividades	O
do	O
NUCLIO	O
``	O
,	O
disse	O
à	O
Agência	B-ORGANIZACAO_INSTITUICAO
Lusa	B-PESSOA_GRUPOMEMBRO
a	B-TEMPO_TEMPO_CALEND
astrónoma	O
Rosa	B-PESSOA_GRUPOMEMBRO
Doran	O
.	O
``	O
Sexta-feira	O
estão	O
previstas	O
actividades	O
para	O
as	O
escolas	O
,	O
a	O
que	O
chamámos	O
'sexta-feira	O
divertida	O
'	O
,	O
dedicadas	O
ao	O
conhecimento	O
das	O
estrelas	O
e	O
constelações	O
e	O
ainda	O
observação	O
do	O
Sol	O
com	O
Telescópios	O
e	O
construir	O
enfeites	O
de	O
Natal	B-TEMPO_GENERICO
com	O
motivos	O
de	O
astronomia	O
''	B-PESSOA_INDIVIDUAL
,	O
acrescentou.	O
No	B-TEMPO_FREQUENCIA
sábado	B-TEMPO_TEMPO_CALEND
o	O
programa	O
prevê	O
observação	O
de	O
supernovas	O
e	O
do	O
Sol	O
e	O
apresentação	O
a	B-TEMPO_TEMPO_CALEND
professores	O
do	O
projecto	O
'	O
Hands-On	O
Universe	O
'	O
,	O
que	O
pretende	O
uma	O
nova	O
abordagem	O
no	O
ensino	O
e	O
aprendizagem	O
da	O
astronomia	O
,	O
recorrendo	O
a	O
ferramentas	O
interactivas	O
que	O
podem	O
,	O
por	O
exemplo	O
,	O
passar	O
pela	O
utilização	O
de	O
tempo	O
de	O
observação	O
em	B-TEMPO_TEMPO_CALEND
telescópios	O
profissionais	O
nas	O
salas	O
de	O
aulas	O
e	O
tratamento	O
de	O
imagens	O
num	O
software	O
especialmente	O
desenvolvido	O
para	O
o	O
efeito.	O
Sol	O
para	O
Todos	O
Haverá	O
observação	O
nocturna	O
do	O
céu	O
com	O
telescópios	O
e	O
será	O
ainda	O
apresentado	O
o	O
programa	O
do	O
Observatório	O
Astronómico	O
da	O
Universidade	B-ORGANIZACAO_INSTITUICAO
de	O
Coimbra	B-LOCAL_HUMANO
``	O
Sol	O
para	O
Todos	O
``	O
.	O
''	O
O	O
Observatório	O
de	O
Coimbra	B-LOCAL_HUMANO
tem	O
um	O
grande	O
acervo	O
de	O
imagens	O
do	O
Sol	O
,	O
que	O
registam	O
diariamente	O
desde	B-TEMPO_TEMPO_CALEND
os	I-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
vinte	I-TEMPO_TEMPO_CALEND
do	O
século	B-TEMPO_TEMPO_CALEND
passado	O
,	O
e	O
estão	O
a	B-TEMPO_TEMPO_CALEND
digitalizar	O
essas	O
imagens	O
para	O
que	O
possam	O
estar	O
à	O
disposição	O
das	O
escolas	O
''	B-PESSOA_INDIVIDUAL
,	O
explica	O
Rosa	B-PESSOA_GRUPOMEMBRO
Doran	O
,	O
realçando	O
que	O
desta	O
forma	O
``	O
os	O
meninos	O
podem	O
fazer	O
ciência	O
na	O
própria	O
sala	O
de	O
aula	O
,	O
podem	O
ver	O
a	O
evolução	O
das	O
manchas	O
do	O
sol	O
nas	O
últimas	O
décadas	O
e	O
comparar	O
essa	O
evolução	O
,	O
por	O
exemplo	O
,	O
com	O
as	O
mudanças	O
do	O
clima	O
''	B-PESSOA_INDIVIDUAL
.	O
Segundo	O
a	B-TEMPO_TEMPO_CALEND
responsável	O
,	O
um	O
dos	O
principais	O
objectivos	O
da	O
FASCINIO	O
é	O
dar	O
também	O
a	O
conhecer	O
a	O
oferta	O
existente	O
na	O
área	O
e	O
valorizar	O
o	O
trabalho	O
dos	O
profissionais	O
portugueses	O
,	O
``	O
muito	O
ligados	O
''	B-PESSOA_INDIVIDUAL
à	O
investigação	O
de	O
vanguarda	O
e	O
pouco	O
reconhecidos	O
pelo	O
grande	O
público.	O
[	O
...	O
]	O
A	O
Nossa	B-LOCAL_HUMANO
Galáxia	O
O	O
NUCLIO	O
vai	O
por	O
isso	O
assinar	O
sábado	B-TEMPO_TEMPO_CALEND
um	O
protocolo	O
com	O
a	O
Câmara	B-ORGANIZACAO_ADMINISTRACAO
Municipal	B-LOCAL_HUMANO
de	B-ORGANIZACAO_INSTITUICAO
Cascais	O
para	O
que	O
o	O
Centro	B-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Interpretação	O
Ambiental	O
seja	O
disponibilizado	O
para	O
as	O
suas	O
actividades	O
junto	O
da	O
comunidade	O
escolar.	O
De	O
acordo	O
com	O
o	O
documento	O
,	O
a	B-TEMPO_TEMPO_CALEND
autarquia	O
irá	O
ainda	O
apoiar	O
a	O
formação	O
agendada	O
para	O
o	O
presente	O
ano	O
lectivo	O
com	O
vinte	O
mil	B-VALOR_QUANTIDADE
euros	B-VALOR_MOEDA
.	O
Durante	O
a	B-TEMPO_TEMPO_CALEND
feira	O
será	O
também	O
apresentado	O
o	O
livro	O
de	O
divulgação	O
científica	O
``	O
Passeio	B-LOCAL_HUMANO
Aleatório	O
pela	O
ciência	O
do	O
dia-a-dia	O
``	O
,	O
com	O
a	O
presença	O
do	O
autor	O
Nuno	B-PESSOA_INDIVIDUAL
Crespo	O
.	O
Ainda	O
no	O
sábado	B-TEMPO_TEMPO_CALEND
,	I-TEMPO_TEMPO_CALEND
a	B-TEMPO_TEMPO_CALEND
investigadora	O
do	O
Centro	B-LOCAL_HUMANO
de	B-ORGANIZACAO_INSTITUICAO
Astronomia	O
da	O
Universidade	B-ORGANIZACAO_INSTITUICAO
do	B-ABSTRACCAO_DISCIPLINA
Porto	B-LOCAL_HUMANO
Catarina	B-PESSOA_INDIVIDUAL
Lobo	O
,	O
que	O
estuda	O
enxames	O
de	O
galáxias	O
,	O
vai	O
explicar	O
ao	O
público	O
em	O
geral	O
que	O
tipo	O
de	O
galáxia	O
é	O
a	O
nossa	O
,	O
como	O
se	O
formam	O
e	O
como	O
evoluem	O
na	O
palestra	O
``	O
A	O
nossa	O
Galáxia	O
e	O
as	O
outras	O
:	B-OBRA_REPRODUZIDA
Ilhas	B-LOCAL_FISICO
no	O
Universo	O
``	O
.	O
No	B-TEMPO_FREQUENCIA
domingo	B-TEMPO_TEMPO_CALEND
está	O
previsto	O
que	O
o	O
público	O
em	O
geral	O
possa	O
participar	O
no	O
lançamento	O
de	O
foguetões	O
de	O
água	O
e	O
em	B-TEMPO_TEMPO_CALEND
Oficinas	O
de	O
Astronomia	O
,	O
com	O
a	O
construção	O
de	O
Relógios	O
de	O
Sol	O
,	O
Espectroscópios	O
,	O
Astrolábios	O
,	O
Planisférios	O
e	O
outros	O
materiais	O
de	O
observação.	O
A	O
iniciativa	O
termina	O
com	O
uma	O
palestra	O
por	O
João	B-PESSOA_INDIVIDUAL
Fernandes	O
,	O
o	O
coordenador	O
nacional	O
do	O
ano	O
internacional	O
da	O
astronomia	O
,	O
que	O
se	O
assinala	O
em	B-TEMPO_TEMPO_CALEND
2009	I-TEMPO_TEMPO_CALEND
.	O
Cavalo-marinho	O
Boi	O
PIntado	O
,	O
o	B-TEMPO_GENERICO
dia	I-TEMPO_GENERICO
de	I-TEMPO_GENERICO
Reis	B-PESSOA_GRUPOCARGO
e	O
a	O
Lei	B-OBRA_PLANO
Rouanet	O
,	O
Recife	O
,	O
PE	B-ORGANIZACAO_ADMINISTRACAO
·	O
05/1	O
Rosa	B-PESSOA_GRUPOMEMBRO
Campello	O
·	O
Recife	O
(	O
PE	B-ORGANIZACAO_ADMINISTRACAO
)	O
·	O
31/12/2007	O
11:18	O
·	O
137	O
votos	O
Celebração	O
ao	O
Dia	B-TEMPO_GENERICO
de	I-TEMPO_GENERICO
Reis	B-PESSOA_GRUPOCARGO
,	O
evento	O
que	O
acontece	O
sempre	O
dia	B-TEMPO_FREQUENCIA
06	O
de	O
janeiro	O
,	O
estaremos	O
antecipando-o	O
um	O
pouco	O
,	O
para	O
o	B-TEMPO_GENERICO
dia	I-TEMPO_GENERICO
05	O
de	O
janeiro	O
de	O
2008	B-TEMPO_TEMPO_CALEND
,	O
e	O
com	O
motivos	O
de	O
sobra	O
para	O
comemorá-lo	O
:	B-OBRA_REPRODUZIDA
Mestre	B-PESSOA_INDIVIDUAL
Grimário	O
acaba	O
de	O
receber	O
incentivo	O
para	O
finalizar	O
seu	O
CD	B-COISA_CLASSE
CAVALO-MARINHO	O
BOI	O
PINTADO	O
,	O
o	O
qual	O
tem	O
a	O
participação	O
especial	O
das	O
crianças	O
do	O
Ponto	O
de	O
Cultura	B-ABSTRACCAO_NOME
do	O
MOVIMENTO	O
PRÓ-CRIANÇA	O
através	O
da	O
Lei	B-OBRA_PLANO
Rouanet	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
!	O
A	O
Empresa	O
socialmente	O
responsável	O
,	O
é	O
a	B-TEMPO_TEMPO_CALEND
STN	O
-	O
SISTEMA	O
DE	O
TRANSMISSÃO	O
DO	O
NORDESTE	O
.	O
``	O
CAVALO-MARINHO	O
,	O
Uma	O
Dança	O
Dramática	O
Brasileira	O
:	B-OBRA_REPRODUZIDA
Cavalo-marinho	O
,	O
uma	O
tradição	O
folclórica	O
do	O
ciclo	O
de	O
Natal	B-TEMPO_GENERICO
,	O
é	O
a	O
versão	O
pernambucana	O
do	O
Bumba-meu-Boi	O
.	O
Encontrado	O
em	B-TEMPO_TEMPO_CALEND
toda	O
parte	O
do	O
Brasil	B-LOCAL_HUMANO
,	O
o	O
Bumba-meu-boi	O
é	O
uma	O
dança	O
dramática	O
que	O
tem	O
como	O
elemento	O
principal	O
a	O
morte	O
e	O
ressurreição	O
do	O
boi	O
mágico.	O
Uma	O
apresentação	O
de	O
cavalo-marinho	O
abrange	O
música	O
vocal	O
,	O
dança	O
,	O
cenas	O
dramáticas	O
,	O
ação	O
,	O
poesia	O
improvisada	O
,	O
música	O
instrumental	O
,	O
máscaras	O
e	O
fantasias.	O
No	B-TEMPO_FREQUENCIA
interior	O
,	O
para	O
o	O
norte	O
do	O
Recife	O
,	O
apresenta-se	O
durante	O
a	B-TEMPO_TEMPO_CALEND
safra	O
da	O
cana-de-açúcar	O
(	O
agosto	B-TEMPO_TEMPO_CALEND
a	B-TEMPO_TEMPO_CALEND
janeiro	O
)	O
.	O
O	O
enredo	O
do	O
Cavalo-marinho	O
concentra-se	O
em	O
torno	O
do	O
Capitão	B-OBRA_REPRODUZIDA
,	O
um	O
proprietário	O
rural	O
que	O
tinha	O
deixado	O
suas	O
terras	O
sob	O
o	O
controle	O
de	O
Mateus	B-PESSOA_INDIVIDUAL
e	O
Sebastião	B-PESSOA_INDIVIDUAL
,	O
dois	O
vaqueiros.	O
O	O
Capitão	B-OBRA_REPRODUZIDA
deseja	O
celebrar	O
a	O
volta	O
dele	O
às	O
suas	O
terras	O
,	O
mas	O
,	O
os	O
vaqueiros	O
não	O
deixam.	O
O	O
Capitão	B-OBRA_REPRODUZIDA
manda	O
um	O
Soldado	O
tirar	O
a	B-TEMPO_TEMPO_CALEND
licença	O
à	O
força	O
,	O
e	O
ele	O
consegue	O
,	O
após	O
muita	O
confusão	O
cômica	O
e	O
pancadas	O
altas	O
,	O
mas	O
,	O
sem	O
dor	O
,	O
das	O
bexigas	O
de	O
boi	O
que	O
o	O
Mateus	B-PESSOA_INDIVIDUAL
e	O
o	O
Sebastião	B-PESSOA_INDIVIDUAL
usam	O
como	O
armas	O
e	O
instrumentos	O
musicais.	O
Agora	O
é	O
a	O
vez	O
do	O
Mestre	B-PESSOA_INDIVIDUAL
Ambrósio	O
,	O
que	O
imita	O
todas	O
as	O
personagens	O
do	O
folguedo	O
,	O
que	O
continua	O
com	O
uma	O
longa	O
seqüência	O
de	O
danças	O
pelo	O
Capitão	B-OBRA_REPRODUZIDA
e	O
seus	O
Galantes	O
,	O
uma	O
guarda	O
de	O
honra.	O
Entre	B-TEMPO_TEMPO_CALEND
elas	O
,	O
são	O
danças	O
em	O
homenagem	O
aos	O
Reis	B-PESSOA_GRUPOCARGO
Magos	O
,	O
que	O
compartilha	O
temas	O
musicais	O
com	O
as	O
devoções	O
de	O
Reis	B-PESSOA_GRUPOCARGO
no	O
Portugal	B-ORGANIZACAO_ADMINISTRACAO
,	O
e	O
uma	O
para	O
São	B-LOCAL_HUMANO
Gonçalo	O
de	O
Amarante	O
.	O
Entram	O
,	O
em	B-TEMPO_TEMPO_CALEND
seguida	O
,	O
dezenas	O
de	O
personagens	O
,	O
cada	O
uma	O
das	O
quais	O
faz	O
parte	O
do	O
mundo	O
do	O
engenho-de-açúcar.	O
Entre	B-TEMPO_TEMPO_CALEND
elas	O
,	O
há	O
personagens	O
realísticas	O
,	O
como	O
o	O
Valentão	O
,	O
o	O
Cangaceiro	O
e	O
o	O
Vaqueiro	O
-	O
que	O
fala	O
na	O
poesia	O
do	O
Sertão	O
,	O
e	O
imaginárias-	O
como	O
o	O
Caboclo	O
de	O
Urubá	O
.	O
A	O
apresentação	O
termina	O
com	O
a	O
entrada	O
,	O
dança	O
,	O
morte	O
e	O
ressurreição	O
do	O
Boi	O
.	O
O	O
acompanhamento	O
musical	O
fica	O
por	O
conta	O
do	O
banco	O
,	O
um	O
grupo	O
de	O
músicos	O
que	O
tocam	O
Rabeca	O
,	O
Pandeiro	O
,	O
Bage	O
(	O
Reco-reco	O
)	O
e	O
Mineiro	O
(	O
Ganzá	O
)	O
.	O
Os	O
Percussionistas	O
e	O
,	O
às	B-TEMPO_FREQUENCIA
vezes	I-TEMPO_FREQUENCIA
,	O
o	O
Rabequeiro	O
também	O
cantam.	O
Entre	B-TEMPO_TEMPO_CALEND
seqüências	O
,	O
se	O
ouve	O
toadas	O
do	O
vasto	O
repertório	O
,	O
versos	O
improvisados	O
e	O
música	O
instrumental	O
para	O
dança.	O
Durante	B-TEMPO_TEMPO_CALEND
os	I-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
90	I-TEMPO_TEMPO_CALEND
,	O
o	O
interesse	O
no	O
Cavalo-marinho	O
por	O
parte	O
do	O
público	O
da	O
região	O
metropolitana	O
do	O
Recife	O
tem	O
crescido	O
muito	O
,	O
como	O
parte	O
de	O
um	O
ressurgimento	O
de	O
interesse	O
na	O
cultura	O
popular	O
em	B-TEMPO_TEMPO_CALEND
geral.	O
Jovens	B-PESSOA_GRUPOMEMBRO
visitam	O
o	O
interior	O
para	O
assistir	O
a	B-TEMPO_TEMPO_CALEND
apresentações	O
e	O
para	O
entrar	O
no	O
Mergulhão	O
-	O
a	B-TEMPO_TEMPO_CALEND
dança	O
de	O
abertura	O
do	O
Cavalo-marinho	O
,	O
e	O
existem	O
diversos	O
projetos	O
de	O
pesquisa	O
e	O
documentação	O
''	B-PESSOA_INDIVIDUAL
.	O
Texto	O
:	B-OBRA_REPRODUZIDA
John	B-PESSOA_INDIVIDUAL
Murphy	O
,	O
Ph.D.	O
,	O
Etnomusicólogo	O
e	O
professor	O
de	O
música	O
na	O
Western	O
Illinois	O
University	O
(	O
até	O
2001	B-TEMPO_TEMPO_CALEND
)	O
e	O
a	B-TEMPO_TEMPO_CALEND
University	O
of	B-PESSOA_INDIVIDUAL
North	O
Texas	B-PESSOA_CARGO
(	O
à	O
partir	O
de	B-TEMPO_TEMPO_CALEND
Agosto	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2001	I-TEMPO_TEMPO_CALEND
)	O
.	O
Aristides	B-PESSOA_INDIVIDUAL
de	O
Sousa	B-PESSOA_INDIVIDUAL
Mendes	I-PESSOA_INDIVIDUAL
A	O
Segunda	O
Guerra	B-ACONTECIMENTO_EFEMERIDE
Mundial	B-OBRA_PLANO
Aristides	B-PESSOA_INDIVIDUAL
de	O
Sousa	B-PESSOA_INDIVIDUAL
Mendes	B-OBRA_PLANO
permanece	O
ainda	O
cônsul	O
de	O
Bordéus	O
quando	O
tem	O
início	O
a	B-TEMPO_TEMPO_CALEND
Segunda	O
Guerra	B-ACONTECIMENTO_EFEMERIDE
Mundial	O
,	O
e	O
as	O
tropas	O
de	O
Adolf	O
Hitler	B-PESSOA_INDIVIDUAL
avançam	O
rapidamente	O
sobre	O
a	B-TEMPO_TEMPO_CALEND
França	B-LOCAL_HUMANO
.	O
Salazar	B-PESSOA_INDIVIDUAL
manteve	O
a	B-TEMPO_TEMPO_CALEND
neutralidade	O
de	O
Portugal	B-LOCAL_HUMANO
.	O
Pela	O
Circular	O
14	B-VALOR_QUANTIDADE
,	O
Salazar	B-PESSOA_INDIVIDUAL
ordena	O
aos	O
cônsules	O
portugueses	O
espalhados	O
pelo	O
mundo	O
que	O
recusem	O
conferir	O
vistos	O
às	O
seguintes	O
categorias	O
de	O
pessoas	O
:	B-OBRA_REPRODUZIDA
``	O
estrangeiros	O
de	O
nacionalidade	O
indefinida	O
,	O
contestada	O
ou	O
em	B-TEMPO_TEMPO_CALEND
litígio	O
;	O
os	O
apátridas	O
;	O
os	O
judeus	O
,	O
quer	O
tenham	O
sido	O
expulsos	O
do	O
seu	O
país	O
de	O
origem	O
ou	O
do	O
país	O
de	O
onde	O
são	O
cidadãos	O
''	O
.	O
Entretanto	O
,	O
em	B-TEMPO_TEMPO_CALEND
1940	I-TEMPO_TEMPO_CALEND
,	O
o	O
governo	O
francês	O
refugiou-se	O
temporariamente	O
na	O
cidade	O
,	O
fugindo	O
de	O
Paris	B-LOCAL_HUMANO
antes	B-TEMPO_TEMPO_CALEND
da	O
chegada	O
das	O
tropas	O
alemãs.	O
Dezenas	O
de	O
milhar	O
de	O
refugiados	O
que	O
fogem	O
do	O
avanço	O
Nazi	O
dirigiram-se	O
a	B-TEMPO_TEMPO_CALEND
Bordéus	O
.	O
Muitos	O
deles	O
afluem	O
ao	O
consulado	O
português	O
desejando	O
obter	O
um	O
visto	O
de	O
entrada	O
para	O
Portugal	B-LOCAL_HUMANO
ou	O
para	O
os	O
Estados	B-PESSOA_POVO
Unidos	B-PESSOA_CARGO
,	O
onde	O
Sousa	B-PESSOA_INDIVIDUAL
Mendes	I-PESSOA_INDIVIDUAL
,	O
o	O
cônsul	O
,	O
caso	O
seguisse	O
as	O
instruções	O
do	O
seu	O
governo	O
distribuiria	O
vistos	O
com	O
parcimónia.	O
Já	O
no	O
final	B-TEMPO_TEMPO_CALEND
de	B-TEMPO_DURACAO
1939	B-TEMPO_TEMPO_CALEND
,	O
Sousa	B-PESSOA_INDIVIDUAL
Mendes	B-OBRA_PLANO
tinha	O
desobedecido	O
às	O
instruções	O
do	O
seu	O
governo	O
e	O
emitido	O
alguns	O
vistos.	O
Entre	O
as	O
pessoas	O
que	O
ele	O
tinha	O
então	O
decidido	O
ajudar	O
encontra-se	O
o	O
Rabino	O
de	O
Antuérpia	O
Jacob	O
Kruger	O
,	O
que	O
lhe	O
faz	O
compreender	O
que	O
há	O
que	O
salvar	O
os	O
refugiados	O
judeus.	O
A	B-TEMPO_TEMPO_CALEND
16	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Junho	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1940	I-TEMPO_TEMPO_CALEND
,	O
Aristides	B-PESSOA_INDIVIDUAL
decide	O
entregar	O
um	O
visto	O
a	O
todos	O
os	O
refugiados	O
que	O
o	O
pedirem	O
:	B-OBRA_REPRODUZIDA
``	O
A	O
partir	O
de	B-TEMPO_TEMPO_CALEND
agora	O
,	O
darei	O
vistos	O
a	O
toda	O
a	O
gente	O
,	O
já	O
não	O
há	O
nacionalidades	O
,	O
raça	O
ou	O
religião	O
''	B-PESSOA_INDIVIDUAL
.	O
Com	O
a	O
ajuda	O
dos	O
seus	O
filhos	O
e	O
sobrinhos	O
e	O
do	O
rabino	O
Kruger	O
,	O
ele	O
carimba	O
passaportes	O
,	O
assina	O
vistos	O
,	O
usando	O
todas	O
as	O
folhas	O
de	O
papel	O
disponíveis.	O
Confrontado	O
com	O
os	O
primeiros	O
avisos	O
de	O
Lisboa	B-LOCAL_HUMANO
,	O
ele	O
terá	O
dito	O
:	B-OBRA_REPRODUZIDA
``	O
Se	O
há	O
que	O
desobedecer	O
,	O
prefiro	O
que	O
seja	O
a	O
uma	O
ordem	O
dos	O
homens	O
do	O
que	O
a	O
uma	O
ordem	O
de	O
Deus	B-PESSOA_INDIVIDUAL
``	O
.	O
Uma	O
vez	O
que	O
Salazar	B-PESSOA_INDIVIDUAL
tomara	O
medidas	O
contra	O
o	O
cônsul	O
,	O
Aristides	B-PESSOA_INDIVIDUAL
continuou	O
a	O
sua	O
actividade	O
de	O
20	B-VALOR_QUANTIDADE
a	B-TEMPO_TEMPO_CALEND
23	O
de	B-TEMPO_TEMPO_CALEND
Junho	I-TEMPO_TEMPO_CALEND
em	B-TEMPO_TEMPO_CALEND
Baiona	O
(	O
França	B-LOCAL_HUMANO
)	O
,	O
no	O
escritório	O
de	O
um	O
vice-cônsul	O
estupefacto	O
,	O
e	O
mesmo	B-TEMPO_TEMPO_CALEND
na	O
presença	O
de	O
dois	O
outros	O
funcionários	O
de	O
Salazar	B-PESSOA_INDIVIDUAL
.	O
A	O
22	O
de	O
Junho	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1940	I-TEMPO_TEMPO_CALEND
,	O
a	B-TEMPO_TEMPO_CALEND
França	B-LOCAL_HUMANO
pediu	O
um	O
armistício	O
à	O
Alemanha	B-LOCAL_HUMANO
Nazi	O
.	O
Mesmo	O
a	B-TEMPO_TEMPO_CALEND
caminho	O
de	O
Hendaye	O
,	O
Aristides	B-PESSOA_INDIVIDUAL
continua	O
a	B-TEMPO_TEMPO_CALEND
emitir	O
vistos	O
para	O
os	O
refugiados	O
que	O
cruzam	O
com	O
ele	O
a	B-TEMPO_TEMPO_CALEND
caminho	O
da	O
fronteira	O
,	O
uma	O
vez	O
que	O
a	B-TEMPO_TEMPO_CALEND
23	O
de	B-TEMPO_TEMPO_CALEND
Junho	I-TEMPO_TEMPO_CALEND
,	O
Salazar	B-PESSOA_INDIVIDUAL
demitira-o	O
de	O
suas	O
funções	O
de	O
cônsul.	O
Apesar	O
