Coletivo	B-ABSTRACCAO_DISCIPLINA
que	O
posteriormente	O
sai	O
pelo	O
PA	O
e	O
se	O
distribui	O
sobre	O
a	B-TEMPO_TEMPO_CALEND
pista	O
de	O
dança.	O
Detroit	O
mesma	O
é	O
uma	O
picape	O
satélite	O
,	O
coletando	O
e	O
amplificando	O
o	O
futuro-potencial	O
,	O
transmitindo-o	O
perpassando	O
carros	O
enferrujados	O
nas	O
ruas	O
da	O
cidade	O
...	O
Mills	O
:	B-OBRA_REPRODUZIDA
``	O
Para	O
mim	O
,	O
[	O
minha	O
música	O
é	O
]	O
sobre	O
fazer	O
as	O
pesoas	O
sentirem	O
que	O
elas	O
estão	O
num	O
tempo	O
à	O
frente	O
deste	O
tempo	O
presente.	O
Como	O
se	O
você	O
estivesse	O
ouvindo	O
alguém	O
falar	O
numa	O
língua	O
que	O
você	O
não	O
entende	O
,	O
ou	O
se	O
encontrasse	O
numa	O
vizinhança	O
desconhecida.	O
Isso	O
quer	O
dizer	O
tirar	O
você	O
da	O
sua	O
base	O
,	O
deixando	O
o	O
ouvinte	O
desarmado	O
.	O
''	O
Ao	B-COISA_CLASSE
contrário	O
de	O
alguns	O
outros	O
produtores	O
,	O
o	O
futuro	O
criado	O
por	O
Mills	O
não	O
é	O
um	O
sonho	O
em	B-TEMPO_TEMPO_CALEND
ficção	O
científica	O
de	O
puro	O
cromo.	O
É	O
um	O
``	O
verfremdungseffekt	O
''	B-PESSOA_INDIVIDUAL
,	O
a	B-TEMPO_TEMPO_CALEND
desorientação	O
do	O
potencial	O
puro.	O
O	O
ataque	O
das	O
batidas	O
de	O
Detroit	O
é	O
apenas	O
um	O
assalto	O
pra	O
tirar	O
as	O
defesas	O
,	O
forçando	O
os	O
ouvintes	O
a	O
se	O
abrirem	O
para	O
a	B-TEMPO_TEMPO_CALEND
mensagem.	O
Amazonas	O
-	O
Índios	B-PESSOA_GRUPOMEMBRO
querem	O
sobrenomes	O
característicos	O
da	O
etnia	O
HOME	O
PAGE	O
RONDONIA	O
AO	O
VIVO	O
,	O
24.12.2007	O
Índios	B-PESSOA_GRUPOMEMBRO
do	O
Amazonas	O
reivindicam	O
o	O
direito	O
de	O
registrar	O
os	O
filhos	O
de	O
forma	O
organizada	O
,	O
respeitosa	O
e	O
com	O
os	O
sobrenomes	O
que	O
caracterizam	O
suas	O
etnias.	O
Os	O
pontos	O
foram	O
apontados	O
pelos	O
indígenas	O
na	O
reunião	O
de	O
encerramento	O
da	O
primeira	O
fase	O
do	O
Projeto	B-OBRA_REPRODUZIDA
Registro	O
Civil	B-ACONTECIMENTO_EFEMERIDE
dos	O
Povos	O
Indígenas	O
do	O
Amazonas	O
,	O
que	O
aconteceu	O
na	O
última	O
semana	B-TEMPO_TEMPO_CALEND
em	B-TEMPO_TEMPO_CALEND
Manaus	O
.	O
De	O
acordo	O
com	O
o	O
projeto	O
,	O
iniciado	O
em	B-TEMPO_TEMPO_CALEND
setembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2007	I-TEMPO_TEMPO_CALEND
,	O
17	B-VALOR_QUANTIDADE
líderes	O
indígenas	O
estiveram	O
em	B-TEMPO_TEMPO_CALEND
44	O
comunidades	O
no	O
Alto	B-PESSOA_CARGO
Rio	B-LOCAL_HUMANO
Negro	B-ACONTECIMENTO_EVENTO
,	O
Alto	B-PESSOA_CARGO
e	O
Médio	B-OBRA_REPRODUZIDA
Solimões	O
,	O
Vale	O
do	O
Javari	O
,	O
Purus	O
,	O
Juruá	O
e	O
Manaus	O
para	O
aplicar	O
os	O
questionários	O
de	O
avaliação	O
sobre	O
a	O
atual	O
situação	O
dos	O
registros	O
civis	O
da	O
população	O
e	O
coletar	O
dados	O
para	O
a	O
elaboração	O
de	O
um	O
relatório.	O
O	O
documento	O
,	O
será	O
apresentado	O
em	B-TEMPO_TEMPO_CALEND
março	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2008	I-TEMPO_TEMPO_CALEND
e	O
incluirá	O
o	O
resultado	O
geral	B-OBRA_PLANO
das	O
avaliações	O
e	O
as	O
sugestões	O
dos	O
povos	O
indígenas.	O
Ao	B-COISA_CLASSE
todo	B-TEMPO_GENERICO
,	O
foram	O
mais	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
1,4	I-VALOR_QUANTIDADE
mil	I-VALOR_QUANTIDADE
questionários	O
aplicados	O
em	B-TEMPO_TEMPO_CALEND
325	O
comunidades	O
,	O
o	O
equivalente	O
a	B-TEMPO_TEMPO_CALEND
43	B-VALOR_QUANTIDADE
etnias	O
visitadas.	O
Fonte	B-OBRA_REPRODUZIDA
:	O
Clipping	O
da	O
6ªCCR	O
do	O
MPF	O
.	O
O	O
jardim	O
de	O
caminhos	O
que	O
se	O
encontram	O
(	O
algumas	O
palavras	O
sobre	O
o	O
conto	O
de	O
Borges	O
e	O
o	O
filme	O
de	O
Tom	O
Tykwer	O
)	O
Roberto	O
Azoubel	O
(	O
Este	O
texto	O
é	O
dedicado	O
ao	O
professor	O
e	O
poeta	O
Jorge	B-PESSOA_INDIVIDUAL
Wanderley	O
(	O
em	O
memória	O
)	O
que	O
me	O
``	O
incomodava	O
''	B-PESSOA_INDIVIDUAL
com	O
Borges	O
e	O
com	O
a	O
literatura	O
.	O
)	O
Uma	O
das	O
tarefas	O
mais	B-VALOR_QUANTIDADE
importantes	O
da	O
arte	O
foi	O
sempre	O
a	O
de	O
gerar	O
uma	O
demanda	O
cujo	O
atendimento	O
integral	O
só	O
poderia	O
produzir-se	O
mais	B-VALOR_QUANTIDADE
tarde	B-TEMPO_TEMPO_CALEND
.	O
''	O
Walter	B-PESSOA_INDIVIDUAL
Benjamim	O
I1.	O
Com	O
o	O
desenvolvimento	O
da	O
imprensa	O
no	B-TEMPO_TEMPO_CALEND
começo	I-TEMPO_TEMPO_CALEND
do	I-TEMPO_TEMPO_CALEND
século	I-TEMPO_TEMPO_CALEND
XX	I-TEMPO_TEMPO_CALEND
,	O
o	O
romance	O
-	O
forma	O
literária	O
intrinsecamente	O
ligada	O
ao	O
objeto	O
livro	O
-	O
emerge	O
em	B-TEMPO_TEMPO_CALEND
sintonia	O
com	O
toda	O
a	O
evolução	O
das	O
forças	O
produtivas	O
da	O
sociedade	O
,	O
tornando-se	O
um	O
gênero	O
de	O
grande	O
difusão	O
no	O
mundo.	O
Tal	O
difusão	O
levou	O
o	O
filósofo	O
alemão	O
Walter	B-PESSOA_INDIVIDUAL
Benjamim	O
a	O
se	O
preocupar	O
com	O
a	O
morte	O
do	O
narrador	O
-	O
aquele	O
do	O
discurso	O
vivo	O
-	O
como	O
podemos	O
observar	O
no	O
texto	O
O	O
Narrador	O
,	O
escrito	O
em	B-TEMPO_TEMPO_CALEND
1936	I-TEMPO_TEMPO_CALEND
.	O
O	O
texto	O
de	O
Benjamim	O
nos	O
remete	O
a	O
uma	O
recente	O
discussão	O
que	O
seria	O
a	B-TEMPO_TEMPO_CALEND
factível	O
morte	O
da	O
literatura	O
diante	O
do	O
crescimento	O
da	O
produção	O
cinematográfica	O
que	O
se	O
espalha	O
pelo	O
planeta.	O
Proponho-me	O
neste	O
texto	O
analisar	O
justamente	O
esta	O
contenda	O
,	O
assumindo	O
posições	O
que	O
ficarão	O
nítidas	O
no	O
decorrer	O
do	O
seu	O
corpo.	O
Para	O
tal	O
empreitada	O
,	O
tomo	O
como	O
referências	O
o	O
conto	O
O	O
Jardim	B-ABSTRACCAO_NOME
dos	O
Caminhos	B-ACONTECIMENTO_ORGANIZADO
que	O
se	O
Bifurcam	O
,	O
escrito	O
em	B-TEMPO_TEMPO_CALEND
1941	O
pelo	O
argentino	O
Jorge	B-PESSOA_INDIVIDUAL
Luis	O
Borges	O
,	O
e	O
o	O
fresquíssimo	O
Corra	O
Lola	O
,	O
Corra	O
(	O
Lola	O
Rennt	O
)	O
,	O
filme	O
alemão	O
realizado	O
pelo	O
diretor	O
e	O
roteirista	O
Tom	O
Tykwer	O
.	O
II	B-ACONTECIMENTO_ORGANIZADO
Para	O
chegarmos	O
ao	O
conto	O
de	O
Borges	O
,	O
passemos	O
antes	B-TEMPO_TEMPO_CALEND
por	O
Italo	B-PESSOA_INDIVIDUAL
Calvino	I-PESSOA_INDIVIDUAL
.	O
No	B-TEMPO_FREQUENCIA
capítulo	O
chamado	O
``	O
Multiplicidade	O
``	O
do	O
seu	O
livro	O
Seis	O
Propostas	O
para	O
o	O
Próximo	O
Milênio	O
,	O
Calvino	B-PESSOA_INDIVIDUAL
destaca	O
como	O
uma	O
das	O
(	O
boas	O
)	O
características	O
da	O
literatura	O
contemporânea	O
essa	O
capacidade	O
de	O
estabelecer	O
redes	O
de	O
conexões	O
entre	O
os	O
acontecimentos	O
,	O
entre	O
as	O
pessoas	O
,	O
entre	O
as	O
coisas	O
do	O
mundo	O
,	O
em	B-TEMPO_TEMPO_CALEND
outras	O
palavras	O
,	O
essa	O
capacidade	O
atual	O
de	O
a	B-TEMPO_TEMPO_CALEND
escritura	O
poder	O
ser	O
múltipla.	O
No	B-TEMPO_FREQUENCIA
decorrer	O
do	O
capítulo	O
,	O
o	O
autor	O
italiano	O
mostra	O
várias	O
formas	O
de	O
multiplicidades	O
que	O
ocorrem	O
na	O
literatura.	O
No	O
entanto	O
,	O
para	O
não	O
sairmos	O
do	O
foco	O
da	O
discussão	O
do	O
texto	O
,	O
fiquemos	O
inicialmente	O
com	O
o	O
exemplo	O
do	O
romancista	O
italiano	O
Carlo	O
Emilio	O
Gadda	O
,	O
de	O
quem	O
,	O
entre	O
outros	O
autores	O
,	O
Calvino	B-PESSOA_INDIVIDUAL
se	O
serve	O
como	O
ilustração.	O
Segundo	O
Calvino	B-PESSOA_INDIVIDUAL
(	O
1990	B-TEMPO_TEMPO_CALEND
:	B-OBRA_REPRODUZIDA
121	O
)	O
,	O
``	O
Gadda	O
durante	O
toda	O
a	O
sua	O
vida	O
buscou	O
representar	O
o	O
mundo	O
como	O
um	O
rolo	O
,	O
uma	O
embrulhada	O
,	O
um	O
aranzel	O
,	O
sem	O
jamais	O
atenuar-lhe	O
a	B-TEMPO_TEMPO_CALEND
complexidade	O
inextricável	O
-	O
ou	O
,	O
melhor	O
dizendo	O
,	O
a	O
presença	O
simultânea	O
dos	O
elementos	O
mais	B-VALOR_QUANTIDADE
heterogêneos	O
que	O
concorrem	O
para	O
a	B-TEMPO_TEMPO_CALEND
determinação	O
de	O
cada	O
evento	O
''	B-PESSOA_INDIVIDUAL
.	O
E	O
mais	O
adiante	O
,	O
apoiado	O
no	O
ensaio	O
La	B-OBRA_REPRODUZIDA
disarmonia	O
prestabilita	O
do	O
crítico	O
Gian	O
Carlo	O
Roscioni	O
,	O
Calvino	B-PESSOA_INDIVIDUAL
ainda	O
coloca	O
que	O
``	O
esse	O
conhecimento	O
das	O
coisas	O
enquanto	O
'relações	O
infinitas	O
,	O
passadas	O
e	O
futuras	O
,	O
reais	O
e	O
possíveis	O
,	O
que	O
para	O
elas	O
convergem	O
?	O
,	O
exige	O
que	O
tudo	O
seja	O
exatamente	O
denominado	O
,	O
descrito	O
e	O
localizado	O
no	O
espaço	O
e	O
no	B-TEMPO_TEMPO_CALEND
tempo	I-TEMPO_TEMPO_CALEND
''	B-PESSOA_INDIVIDUAL
(	O
CALVINO	O
,	O
1990	B-TEMPO_TEMPO_CALEND
:123	O
)	O
.	O
Outros	O
romancistas	O
como	O
Proust	O
e	O
George	B-PESSOA_INDIVIDUAL
Perec	I-PESSOA_INDIVIDUAL
,	O
com	O
o	O
seu	O
A	B-OBRA_REPRODUZIDA
Vida	I-OBRA_REPRODUZIDA
Modos	O
de	O
Usar	B-OBRA_REPRODUZIDA
,	O
são	O
citados	O
no	O
capítulo	O
como	O
exemplos	O
de	O
uma	O
escritura	O
que	O
conduz	O
à	O
multiplicidade	O
(	O
de	O
caminhos	O
,	O
de	B-TEMPO_TEMPO_CALEND
níveis	O
,	O
de	B-TEMPO_TEMPO_CALEND
pensamentos	O
,	O
de	B-TEMPO_TEMPO_CALEND
vozes	O
etc	O
.	O
)	O
.	O
Mas	O
,	O
de	O
acordo	O
com	O
Calvino	B-PESSOA_INDIVIDUAL
,	O
esse	O
modelo	O
de	O
redes	O
possíveis	O
pode	O
ser	O
construído	O
tanto	O
em	B-TEMPO_TEMPO_CALEND
romances	O
extensos	O
,	O
como	O
pode	O
ser	O
concentrado	O
nas	O
poucas	O
páginas	O
de	O
um	O
conto	O
de	O
Borges	O
.	O
Chegamos	O
assim	O
a	B-TEMPO_TEMPO_CALEND
'	O
O	O
Jardim	B-ABSTRACCAO_NOME
dos	O
Caminhos	B-ACONTECIMENTO_ORGANIZADO
que	O
se	O
Bifurcam	O
.	O
O	O
conto	O
,	O
classificado	O
pelo	O
autor	O
como	O
policial	O
,	O
narra	O
o	O
percurso	O
do	O
personagem	O
principal	O
da	O
cama	O
até	O
o	O
jardim	O
em	O
que	O
comete	O
um	O
assassinato	O
como	O
estratégia	O
de	O
sua	O
missão	O
de	O
espionagem.	O
No	O
entanto	O
,	O
no	O
seu	O
enredo	O
(	O
e	O
aqui	O
também	O
me	O
apoio	O
na	O
leitura	O
que	O
Calvino	B-PESSOA_INDIVIDUAL
faz	O
dele	O
)	O
Borges	O
desenvolve	O
várias	O
noções	O
acerca	O
do	O
tempo.	O
No	B-TEMPO_TEMPO_CALEND
início	I-TEMPO_TEMPO_CALEND
,	O
enquanto	O
o	O
protagonista	O
está	O
no	B-TEMPO_TEMPO_CALEND
seu	O
quarto	O
se	O
preparando	O
para	O
realizar	O
sua	O
incumbência	O
,	O
o	O
autor	O
expõe	O
um	O
tempo	O
preciso	O
e	O
no	O
presente	O
:	B-OBRA_REPRODUZIDA
``	O
refleti	O
que	O
tudo	O
aquilo	O
que	O
acontece	O
com	O
alguém	O
,	O
acontece	O
agora	O
,	O
precisamente	O
agora.	O
Séculos	O
de	O
séculos	B-TEMPO_TEMPO_CALEND
e	O
apenas	O
no	O
presente	O
ocorrem	O
fatos	O
;	O
inumeráveis	O
homens	O
no	O
ar	O
,	O
na	O
terra	O
e	O
no	O
mar	O
e	O
tudo	O
o	O
que	O
realmente	O
sucede	O
,	O
sucede	O
a	B-TEMPO_TEMPO_CALEND
mim	O
...	O
''	B-PESSOA_INDIVIDUAL
(	O
BORGES,1995	O
:	B-OBRA_REPRODUZIDA
94	O
)	O
.	O
Em	O
seguida	O
,	O
Calvino	B-PESSOA_INDIVIDUAL
,	O
ainda	O
no	O
seu	O
Seis	O
Propostas	O
...	O
,	O
relata	O
que	O
Borges	O
mostra	O
``	O
uma	O
idéia	O
de	O
tempo	O
determinado	O
pela	O
vontade	O
,	O
no	O
qual	O
o	O
futuro	O
se	O
apresenta	O
tão	O
irrevogável	O
quanto	O
o	O
passado	O
''	B-PESSOA_INDIVIDUAL
(	O
CALVINO	O
,	O
1990	B-TEMPO_TEMPO_CALEND
:	B-OBRA_REPRODUZIDA
N	O
)	O
.	O
Por	O
último	B-TEMPO_FREQUENCIA
,	O
a	O
idéia	O
de	O
um	O
tempo	O
múltiplo	O
,	O
que	O
é	O
a	O
idéia	O
central	O
do	O
conto	O
e	O
,	O
afinal	O
,	O
o	O
que	O
nos	O
interessa	O
aqui.	O
Veremos	O
abaixo	O
como	O
essa	O
idéia	O
de	O
um	O
tempo	O
múltiplo	O
se	O
apresenta	O
no	O
conto.	O
Ao	B-COISA_CLASSE
chegar	O
numa	O
casa	O
de	O
portão	O
alto	O
,	O
o	O
protagonista	O
é	O
recebido	O
por	O
sua	O
futura	O
vítima	O
,	O
Stephen	O
Albert	O
,	O
sujeito	O
que	O
fora	O
encarregado	O
de	O
decifrar	O
um	O
enigma	O
do	O
livro	O
escrito	O
por	O
Ts'ui	O
Pen	O
.	O
Este	O
,	O
que	O
era	O
um	O
antepassado	O
do	O
próprio	O
personagem	O
principal	O
,	O
tinha	O
abandonado	O
sua	O
próspera	O
vida	O
(	O
era	O
governador	O
de	O
sua	O
província	O
,	O
doutor	O
em	B-TEMPO_TEMPO_CALEND
astronomia	O
,	O
em	B-TEMPO_TEMPO_CALEND
astrologia	O
,	O
enxadrista	O
,	O
calígrafo	O
e	O
famoso	O
poeta	O
)	O
para	O
compor	O
um	O
labirinto	O
e	O
um	O
livro.	O
No	O
entanto	O
,	O
o	O
enigma	O
revelado	O
por	O
Albert	O
é	O
justamente	O
que	O
o	O
livro	O
e	O
o	O
labirinto	O
são	O
o	O
mesmo	B-TEMPO_TEMPO_CALEND
objeto.	O
A	O
chave	O
para	O
a	B-TEMPO_TEMPO_CALEND
descoberta	O
estava	O
num	O
fragmento	O
de	O
uma	O
carta	O
deixada	O
por	O
Ts'ui	O
Pen	O
,	O
no	O
qual	O
estava	O
escrito	O
:	B-OBRA_REPRODUZIDA
``	O
Deixo	O
aos	O
vários	O
futuros	O
(	O
não	O
a	O
todos	O
)	O
meu	O
jardim	O
de	O
caminhos	O
que	O
se	O
bifurcam	O
''	B-PESSOA_INDIVIDUAL
(	O
BORGES	O
,	O
1995	B-TEMPO_TEMPO_CALEND
:	B-OBRA_REPRODUZIDA
94	O
94	O
|	O
BORGES	O
,	O
1995	B-TEMPO_TEMPO_CALEND
:	B-OBRA_REPRODUZIDA
94	O
)	O
.	O
Como	O
se	O
chama	O
o	O
vocalista	O
do	O
grupo	O
U2	O
?	O
Com	O
que	O
idade	O
morreu	O
Elvis	O
Presley	O
?	O
Onde	O
está	O
a	B-TEMPO_TEMPO_CALEND
Estátua	O
da	O
Liberdade	B-LOCAL_HUMANO
?	O
Em	O
que	O
cidade	O
italiana	O
fica	O
o	O
Coliseu	O
?	O
Em	O
que	O
cidade	O
fica	O
a	B-TEMPO_TEMPO_CALEND
Praça	B-LOCAL_HUMANO
Navona	O
?	O
Onde	O
é	O
que	O
foi	O
construída	O
em	B-TEMPO_TEMPO_CALEND
Itália	O
a	B-TEMPO_TEMPO_CALEND
Villa	O
Medici	O
?	O
Que	O
companhia	O
britânica	O
foi	O
absorvida	O
pela	O
BMW	O
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Quantos	O
milhões	B-VALOR_QUANTIDADE
de	B-VALOR_MOEDA
libras	I-VALOR_MOEDA
pagou	O
a	B-TEMPO_TEMPO_CALEND
BMW	O
pela	O
Rover	O
?	O
Em	O
que	O
país	O
foi	O
construída	O
a	O
primeira	O
fábrica	O
da	O
BMW	O
no	O
estrangeiro	O
?	O
Quem	O
foi	O
eleito	O
como	O
primeiro	O
presidente	B-PESSOA_CARGO
negro	O
da	O
África	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
?	O
Como	O
se	O
chamava	O
o	O
vocalista	O
dos	O
Nirvana	O
?	O
Que	O
presidente	B-PESSOA_CARGO
dos	O
Estados	B-LOCAL_HUMANO
Unidos	I-LOCAL_HUMANO
é	O
que	O
Francisco	B-PESSOA_INDIVIDUAL
Durán	O
tentou	O
matar	O
?	O
Que	O
filho	O
de	O
um	O
ex-presidente	O
dos	O
EUA	B-ORGANIZACAO_ADMINISTRACAO
foi	O
eleito	O
governador	O
do	O
Texas	B-LOCAL_HUMANO
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Para	O
quantos	O
Óscares	O
foi	O
nomeado	O
``	O
A	O
Lista	B-COISA_CLASSE
de	I-COISA_CLASSE
Schindler	B-PESSOA_INDIVIDUAL
``	O
?	O
Quem	O
recebeu	O
o	O
Óscar	O
de	O
Melhor	O
Actor	O
por	O
«	O
Forrest	B-OBRA_REPRODUZIDA
Gump	I-OBRA_REPRODUZIDA
»	O
?	O
Como	O
se	O
chamava	O
o	O
autor	O
de	O
«	O
Romeu	O
e	O
Julieta	O
``	O
?	O
Quantos	O
pisos	O
tem	O
o	O
Empire	O
State	O
Building	O
?	O
Como	O
se	O
chama	O
o	O
patrão	O
da	O
Microsoft	B-ORGANIZACAO_EMPRESA
?	O
Em	O
que	O
ano	O
foi	O
assassinado	O
John	B-PESSOA_INDIVIDUAL
F.	B-ABSTRACCAO_NOME
Kennedy	O
?	O
Com	O
que	O
actriz	O
era	O
casado	O
Arthur	O
Miller	O
?	O
Que	O
político	O
era	O
chanceler	O
da	O
Alemanha	B-LOCAL_HUMANO
antes	O
de	B-TEMPO_TEMPO_CALEND
Helmut	O
Kohl	O
?	O
Em	O
que	O
ano	O
caiu	O
o	O
Muro	O
de	O
Berlim	B-LOCAL_HUMANO
?	O
Qual	O
a	O
altura	O
do	O
Evereste	O
?	O
Em	O
que	O
cidade	O
francesa	O
fica	O
o	O
Moulin	O
Rouge	O
?	O
Quando	O
é	O
que	O
nasceu	O
Franz	O
Kafka	O
?	O
Quando	O
é	O
que	O
foi	O
construída	O
a	B-TEMPO_TEMPO_CALEND
Esfinge	O
?	O
Quem	O
escreveu	O
o	O
romance	O
não-publicado	O
``	O
Cruz	B-LOCAL_HUMANO
sem	O
Amor	O
``	O
?	O
Em	O
que	O
cidade	O
bávara	O
fica	O
a	O
sede	O
da	O
Adidas	B-ORGANIZACAO_EMPRESA
AG	I-ORGANIZACAO_EMPRESA
?	O
O	O
que	O
é	O
o	O
Titanic	O
?	O
Quem	O
é	O
o	O
desenhador	O
de	O
Astérix	O
e	O
Obélix	O
?	O
Quem	O
é	O
Albert	O
Einstein	O
?	O
Quem	O
é	O
o	O
Godfather	O
of	B-ORGANIZACAO_INSTITUICAO
Soul	B-ABSTRACCAO_DISCIPLINA
?	O
Quem	O
é	O
o	O
marido	O
da	O
rainha	B-PESSOA_INDIVIDUAL
Isabel	I-PESSOA_INDIVIDUAL
II	I-PESSOA_INDIVIDUAL
?	O
Quem	O
é	O
o	O
chefe	B-PESSOA_CARGO
de	O
estado	O
da	O
Austrália	O
?	O
Qual	O
o	O
verdadeiro	O
nome	O
de	O
Romy	O
Schneider	O
?	O
Quando	O
é	O
que	O
nasceu	O
Aldous	O
Huxley	O
?	O
Como	O
se	O
chama	O
o	O
pai	O
de	O
Steffi	O
Graf	O
?	O
Contra	O
quem	O
é	O
que	O
ela	O
não	O
jogou	O
nas	O
meias-finais	O
de	O
Roland	B-LOCAL_HUMANO
Garros	B-ACONTECIMENTO_ORGANIZADO
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Quando	O
é	O
que	O
Goethe	B-PESSOA_INDIVIDUAL
fundou	O
a	B-TEMPO_TEMPO_CALEND
Sociedade	B-ACONTECIMENTO_ORGANIZADO
das	O
Sextas	O
?	O
Em	O
que	O
ano	O
assistiu	O
ele	O
à	O
coroação	O
do	O
Imperador	B-PESSOA_INDIVIDUAL
José	I-PESSOA_INDIVIDUAL
II	I-PESSOA_INDIVIDUAL
?	O
Em	O
que	O
ano	O
nasceu	O
ele	O
?	O
Em	O
que	O
cidade	O
é	O
que	O
ele	O
morreu	O
?	O
Quando	O
foi	O
criado	O
o	O
Prémio	O
Schiller	O
?	O
Que	O
filme	O
ganhou	O
o	O
Óscar	O
em	B-TEMPO_TEMPO_CALEND
1992	I-TEMPO_TEMPO_CALEND
na	O
categoria	O
de	O
Melhor	O
Filme	O
?	O
Quem	O
foi	O
o	O
realizador	O
de	O
«	O
E	O
tudo	O
o	O
vento	O
levou	O
»	O
?	O
Em	O
que	O
ano	O
recebeu	O
ele	O
o	O
Óscar	O
por	O
«	O
E	O
tudo	O
o	O
vento	O
levou	O
»	O
?	O
Como	O
se	O
chamava	O
a	B-TEMPO_TEMPO_CALEND
autora	O
de	O
``	O
E	O
tudo	O
o	O
vento	O
levou	O
``	O
?	O
O	O
que	O
significa	O
a	O
sigla	O
IRA	B-ORGANIZACAO_INSTITUICAO
?	O
Qual	O
o	O
significado	O
da	O
sigla	O
NSUK	O
?	O
De	O
que	O
grupo	O
era	O
vocalista	O
Freddy	O
Mercury	O
?	O
Em	O
que	O
ano	O
morreu	O
ele	O
?	O
Quem	O
foi	O
o	O
inventor	O
da	O
Coca	O
Cola	O
?	O
Quando	O
foi	O
criada	O
a	B-TEMPO_TEMPO_CALEND
Coca	O
Cola	O
?	O
Quem	O
abriu	O
o	O
Baile	O
da	O
Opera	O
de	O
Viena	O
?	O
Quantos	O
estados	O
membros	O
tinha	O
a	O
UE	B-ORGANIZACAO_ADMINISTRACAO
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
cidade	O
teve	O
lugar	O
a	O
cimeira	O
da	O
UE	B-ORGANIZACAO_ADMINISTRACAO
que	O
começou	O
a	B-TEMPO_TEMPO_CALEND
26	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Junho	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Quantos	O
estados	O
membros	O
tinha	O
a	O
UE	B-ORGANIZACAO_ADMINISTRACAO
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Que	O
estados	O
europeus	O
aderiram	O
à	O
UE	B-ORGANIZACAO_ADMINISTRACAO
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Rudy	B-PESSOA_INDIVIDUAL
Giuliani	B-PESSOA_INDIVIDUAL
era	O
o	O
presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
câmara	O
de	O
que	O
cidade	O
americana	O
?	O
Quando	O
é	O
que	O
terá	O
lugar	O
a	O
estreia	O
de	O
«	O
O	O
Fantasma	O
da	O
Ópera	B-OBRA_ARTE
»	O
de	O
Andrew	O
Lloyd	O
Webber	O
em	B-TEMPO_TEMPO_CALEND
Basileia	O
?	O
Que	O
musical	O
dele	O
foi	O
interpretado	O
pelo	O
coro	O
ecuménico	O
juvenil	O
de	O
Friedrichsdorf	O
de	O
1994	B-TEMPO_TEMPO_CALEND
?	O
Quanto	O
dinheiro	O
pagou	O
ele	O
por	O
uma	O
pintura	O
de	O
Picasso	O
num	O
leilão	O
?	O
Que	O
musical	O
de	O
Andrew	O
Llyod	O
Webber	O
foi	O
interpretado	O
em	B-TEMPO_TEMPO_CALEND
Essen	O
em	B-TEMPO_TEMPO_CALEND
1996	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
ano	O
nasceu	O
Christian	B-PESSOA_INDIVIDUAL
von	I-PESSOA_INDIVIDUAL
Holst	O
em	B-TEMPO_TEMPO_CALEND
Gdansk	O
?	O
Quem	O
é	O
Werner	O
Herzog	B-COISA_OBJECTO
?	O
Em	O
que	O
cidade	O
fica	O
o	O
Passeio	B-OBRA_REPRODUZIDA
da	O
Fama	O
?	O
Em	O
quantos	O
países	O
foram	O
transmitidas	O
as	O
Olimpíadas	O
de	O
Albertville	O
?	O
Qual	O
era	O
a	B-TEMPO_TEMPO_CALEND
alcunha	O
de	O
Al	B-PESSOA_INDIVIDUAL
Capone	O
?	O
Quem	O
era	O
ele	O
?	O
Quando	O
é	O
que	O
ele	O
foi	O
alvejado	O
?	O
Que	O
idade	O
tinha	O
ele	O
quando	O
levou	O
a	O
sua	O
família	O
para	O
Chicago	B-LOCAL_HUMANO
?	O
Desde	O
quando	O
é	O
que	O
a	B-TEMPO_TEMPO_CALEND
Suíça	B-LOCAL_HUMANO
é	O
membro	O
da	O
UNESCO	O
?	O
Quem	O
era	O
a	B-TEMPO_TEMPO_CALEND
presidente	O
do	O
comité	O
suíço	O
da	O
UNESCO	O
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Quantos	O
estados-membros	O
tinha	O
a	O
organização	O
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
O	O
