Revisão	B-Evento
seleção	O
e	O
atribuição	O
|	O
Na	O
Avaliação	O
Curricular	O
serão	O
considerados	O
os	O
seguintes	O
critérios	O
:	O
adequação	O
do	O
perfil	O
do	O
candidato	O
às	O
necessidades	O
do	O
projeto	O
(	O
45	O
%	O
)	O
;	O
experiência	O
na	O
área	O
das	O
tarefas	O
a	O
desenvolver	O
(	O
55	O
%	O
)	O
Composição	O
do	O
júri	O
de	O
seleção	O
Presidente	O
–	O
Dr.	O
João	B-Pessoa
Pedro	I-Pessoa
Esteves	I-Pessoa
Araújo	I-Pessoa
1º	O
vogal	O
efetivo	O
Dr.	O
André	B-Pessoa
Pereira	I-Pessoa
2º	O
vogal	O
efetivo	O
–	O
Dr.	O
João	B-Pessoa
Ventura	I-Pessoa
3º	O
vogal	O
efetivo	O
–	O
Dra.	O
Armandina	B-Pessoa
Lopes	I-Pessoa
1º	O
vogal	O
suplente-	O
Dra.	O
Célia	B-Pessoa
Sousa	I-Pessoa
2º	O
vogal	O
suplente	O
–	O
Dr.	O
Arlete	B-Pessoa
Apolinário	I-Pessoa
Forma	O
de	O
publicitação/notificação	O
dos	O
resultados	O
|	O
Os	O
resultados	O
finais	O
da	O
avaliação	O
,	O
serão	O
divulgados	O
,	O
através	O
de	O
lista	O
ordenada	O
por	O
classificação	O
final	O
,	O
enviada	O
aos	O
candidatos	O
através	O
de	O
email.	O
Prazo	O
de	O
candidatura	O
e	O
forma	O
de	O
apresentação	O
das	O
candidaturas	O
|	O
O	O
prazo	O
de	O
apresentação	O
de	O
candidaturas	O
será	O
de	O
10	O
dias	O
úteis	O
a	O
partir	O
da	O
data	O
da	O
publicação.As	O
candidaturas	O
devem	O
ser	O
formalizadas	O
,	O
obrigatoriamente	O
,	O
através	O
do	O
envio	O
de	O
carta	O
de	O
candidatura	O
acompanhada	O
dos	O
seguintes	O
documentos	O
:	O
Carta	O
de	O
Motivação	O
,	O
Curriculum	O
vitae	O
,	O
certificado	O
de	O
habilitações	O
e	O
outros	O
documentos	O
comprovativos	O
considerados	O
relevantes.	O
As	O
candidaturas	O
deverão	O
ser	O
enviadas	O
por	O
correio	O
eletrónico	O
para	O
os	O
seguintes	O
endereços	O
:	O
recrutamento	O
@	O
fc.up.pt	O
com	O
conhecimento	O
para	O
jearaujo	O
@	O
fc.up.pt	O
Divulgue	O
os	O
seus	O
eventos	O
e	O
projetos	O
|	O
comunica	O
@	O
fc.up.pt	O
VIII	B-Pessoa
ICTUNAS	I-Pessoa
-	O
Festival	B-UnidadeOrganica
de	I-UnidadeOrganica
Tunas	I-UnidadeOrganica
Femininas	I-UnidadeOrganica
de	I-UnidadeOrganica
Biomédicas	I-UnidadeOrganica
9	B-Data
de	I-Data
março	I-Data
de	I-Data
2017	I-Data
-	O
Teatro	B-Localizacao
Sá	I-Localizacao
da	I-Localizacao
Bandeira	I-Localizacao
-	I-Localizacao
Porto	I-Localizacao
A	O
Tuna	O
Feminina	O
de	O
Biomédicas	O
apresenta	O
o	O
VIII	B-Organizacao
ICTUNAS	I-Organizacao
–	I-Organizacao
Festival	I-Organizacao
de	I-Organizacao
Tunas	I-Organizacao
Femininas	I-Organizacao
de	I-Organizacao
Biomédicas	I-Organizacao
–	O
que	O
decorrerá	O
dia	O
9	B-Data
de	I-Data
março	I-Data
,	O
no	O
Teatro	B-Localizacao
Sá	I-Localizacao
da	I-Localizacao
Bandeira	I-Localizacao
,	O
no	O
Porto	B-Localizacao
.	O
Seguindo	O
as	O
pegadas	O
de	O
outras	O
edições	O
do	O
ICTUNAS	O
,	O
nesta	O
oitava	O
edição	O
incluiram	O
no	O
evento	O
uma	O
vertente	O
de	O
caráter	O
solidário	O
,	O
já	O
que	O
acreditam	O
que	O
a	O
responsabilidade	O
social	O
é	O
prioritária.	O
Deste	O
modo	O
,	O
estabeleceram	O
uma	O
parceria	O
com	O
a	O
Associação	O
de	O
Voluntariado	B-Pessoa
Universitário	I-Pessoa
-	O
VO.U	B-UnidadeOrganica
.	O
e	O
com	O
a	O
Associação	O
de	O
Pais	O
e	O
Amigos	O
do	O
Cidadão	B-Organizacao
Portador	I-Organizacao
de	I-Organizacao
Deficiência	I-Organizacao
Mental	I-Organizacao
–	I-Organizacao
APPACDM	I-Organizacao
.	O
Pretendem	O
,	O
com	O
esta	O
iniciativa	O
,	O
não	O
só	O
sensibilizar	O
,	O
como	O
também	O
divulgar	O
os	O
projetos	O
destas	O
organizações	O
na	O
comunidade	O
universitária	O
e	O
na	O
população	O
em	O
geral.	O
O	O
VIII	B-Organizacao
ICTUNAS	I-Organizacao
contará	O
com	O
a	O
presença	O
de	O
sete	B-Data
tunas	I-Data
,	O
das	O
quais	O
,	O
quatro	O
a	O
concurso	O
:	O
as	O
FANS	O
–	O
Tuna	O
Feminina	O
da	O
Universidade	B-Organizacao
de	I-Organizacao
Coimbra	I-Organizacao
,	O
a	O
LEGISLATUNA	O
–	O
Tuna	O
Feminina	O
de	O
Direito	O
do	O
Porto	B-Localizacao
,	O
a	O
TESUNA	O
–	O
Tuna	O
Feminina	O
de	O
Tecnologia	O
da	O
Saúde	O
do	O
Porto	O
e	O
a	O
TUNAFE	O
–	O
Tuna	O
Feminina	O
de	O
Engenharia	O
do	O
Porto.	O
As	O
tunas	O
extra-concurso	O
serão	O
a	O
TAB	O
–	O
Tuna	O
Académica	O
de	O
Biomédicas	O
,	O
a	O
TEUP	O
–	O
Tuna	O
de	O
Engenharia	O
da	O
Universidade	B-Organizacao
do	I-Organizacao
Porto	I-Organizacao
e	O
,	O
como	O
não	O
podia	O
deixar	O
de	O
ser	O
,	O
a	O
Tuna	O
Feminina	O
de	O
Biomédicas	O
,	O
que	O
promete	O
uma	O
atuação	O
repleta	B-UnidadeOrganica
de	I-UnidadeOrganica
momentos	I-UnidadeOrganica
inéditos	I-UnidadeOrganica
!	O
O	O
tema	O
do	O
Festival	O
é	O
“Volta	O
ao	O
Mundo”	O
,	O
por	O
isso	O
convidamos	O
toda	O
a	O
comunidade	O
a	O
juntarem-se	O
a	O
esta	O
viagem	O
!	O
Contam	O
com	O
todos	O
no	O
dia	O
9	B-Data
de	I-Data
março	I-Data
!	I-Data
Apareçam	B-Hora
!	O
FEUP	B-UnidadeOrganica
|	O
Bolsa	O
de	O
Investigação	O
-	O
Mestre	O
|ITERATE-2016	B-Pessoa
Candidaturas	I-Pessoa
de	O
16/12/2016	B-Data
a	O
05/01/2017	O
Encontra-se	O
aberto	O
concurso	O
para	O
a	O
atribuição	O
de	O
uma	O
Bolsa	O
de	O
Investigação	O
-	O
Mestre	O
no	O
âmbito	O
do	O
projeto	O
“	O
ITERATE	O
–	O
Improved	B-Organizacao
Tools	I-Organizacao
for	I-Organizacao
Disaster	I-Organizacao
Risk	I-Organizacao
Mitigation	I-Organizacao
in	I-Organizacao
Algeria	I-Organizacao
”	I-Organizacao
,	O
com	O
referência	O
ECHO/SUB/2016/740181/PREV23	O
,	O
cofinanciado	O
pela	O
Comissão	B-Organizacao
Europeia	I-Organizacao
e	I-Organizacao
ECHO	I-Organizacao
Programme	I-Organizacao
,	O
nas	O
seguintes	O
condições	O
:	O
Edital	O
-	O
FEUP-ITERATE-2016	O
''	O
&	O
gt	O
;	O
Edital	O
-	O
FEUP-ITERATE-2016	O
Prova	O
de	O
Mestrado	B-Curso
em	I-Curso
Cuidados	I-Curso
Paliativos	I-Curso
|	O
Lic.ª	O
Joana	B-Pessoa
Isabel	I-Pessoa
da	I-Pessoa
Silva	I-Pessoa
Lima	I-Pessoa
Dia	O
2	B-Data
de	I-Data
fevereiro	I-Data
de	I-Data
2017	I-Data
|	O
15.00	B-Hora
horas	I-Hora
|	O
Sala	B-Localizacao
de	I-Localizacao
Atos	I-Localizacao
do	O
Departamento	B-UnidadeOrganica
de	I-UnidadeOrganica
Ciências	I-UnidadeOrganica
Sociais	I-UnidadeOrganica
e	I-UnidadeOrganica
Saúde	I-UnidadeOrganica
da	I-UnidadeOrganica
FMUP	I-UnidadeOrganica
Dissertação	O
subordinada	O
ao	O
título	O
:	O
“Tromboprofilaxia	O
em	O
Doentes	O
Oncológicos	O
sob	O
Cuidados	O
Paliativos”	O
Presidente	O
do	O
Júri	O
:	O
Rui	B-Pessoa
Manuel	I-Pessoa
Lopes	I-Pessoa
Nunes	I-Pessoa
-	O
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Medicina	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
Arguente	O
:	O
Rosa	B-Pessoa
Sousa	I-Pessoa
Martins	I-Pessoa
da	I-Pessoa
Rocha	I-Pessoa
Begonha	I-Pessoa
-	O
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Ciências	I-UnidadeOrganica
da	I-UnidadeOrganica
Saúde	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
Fernando	I-UnidadeOrganica
Pessoa	I-UnidadeOrganica
Cartaz	I-UnidadeOrganica
da	I-UnidadeOrganica
Prova	I-UnidadeOrganica
Seminário	O
sobre	O
Doença	O
de	O
Machado-Joseph	O
10	B-Data
de	I-Data
fevereiro	I-Data
|	O
ISPUP	O
No	O
dia	O
10	B-Data
de	I-Data
fevereiro	I-Data
(	O
sexta-feira	O
)	O
,	O
realiza-se	O
no	O
Instituto	B-Organizacao
de	I-Organizacao
Saúde	I-Organizacao
Pública	I-Organizacao
da	I-Organizacao
Universidade	I-Organizacao
do	I-Organizacao
Porto	I-Organizacao
(	O
ISPUP	B-Organizacao
)	O
um	O
seminário	O
aberto	O
sobre	O
a	O
Doença	O
de	O
Machado-Joseph	O
(	O
DMJ	B-Organizacao
)	I-Organizacao
.	O
O	O
orador	O
convidado	O
é	O
Jorge	B-Pessoa
Sequeiros	I-Pessoa
,	O
médico	O
especialista	O
em	O
Medicina	O
Interna	O
e	O
em	O
Genética	O
Médica	O
,	O
investigador	O
no	O
Instituto	B-Organizacao
de	I-Organizacao
Investigação	I-Organizacao
e	I-Organizacao
Inovação	I-Organizacao
da	I-Organizacao
Universidade	I-Organizacao
do	I-Organizacao
Porto	I-Organizacao
(	O
I3S	B-Organizacao
)	O
e	O
Instituto	O
de	O
Biologia	O
Molecular	O
e	O
Celular	O
(	O
IBMC	B-Organizacao
)	O
e	O
Professor	O
Catedrático	O
do	O
Instituto	B-UnidadeOrganica
de	I-UnidadeOrganica
Ciências	I-UnidadeOrganica
Biomédicas	I-UnidadeOrganica
Abel	I-UnidadeOrganica
Salazar	I-UnidadeOrganica
(	O
ICBAS	B-UnidadeOrganica
)	O
.	O
Inicialmente	O
descrita	O
como	O
uma	O
doença	O
açoriana	O
,	O
a	O
DMJ	O
foi	O
posteriormente	O
encontrada	O
em	O
Portugal	B-Localizacao
Continental	O
e	O
em	O
outros	O
países	O
e	O
é	O
a	O
ataxia	O
autossómica	B-Hora
dominante	O
mais	O
comum	O
no	O
mundo.	O
A	O
genética	O
e	O
a	O
história	O
da	O
doença	O
vão	O
estar	O
em	O
destaque	O
no	O
seminário.	O
O	O
evento	O
,	O
conduzido	O
em	O
língua	O
inglesa	O
,	O
é	O
aberto	O
a	O
toda	O
a	O
comunidade	O
interessada	O
na	O
temática	O
e	O
irá	O
decorrer	O
no	O
Auditório	B-Localizacao
do	I-Localizacao
ISPUP	I-Localizacao
,	O
das	O
14h00	B-Hora
às	O
16h00	B-Hora
.	O
Para	O
mais	O
informações	O
sobre	O
o	O
seminário	O
e	O
respetivo	O
orador	O
,	O
consulte	O
,	O
por	O
favor	O
,	O
o	O
seguinte	O
link	O
.	O
Ciclo	O
de	O
Conferências	O
``	O
Consequências	O
Temporárias	B-Hora
e	O
Permanentes	O
dos	O
Traumatismos	O
''	O
|	O
Avaliação	O
Clínica	O
e	O
Pericial	O
Sala	B-Localizacao
4	I-Localizacao
CIM	I-Localizacao
Exposição	O
``	O
Manuel	B-Pessoa
Maria	I-Pessoa
Barbosa	I-Pessoa
Du	I-Pessoa
Bocage	I-Pessoa
''	O
8	B-Data
de	I-Data
janeiro	I-Data
a	O
10	B-Data
de	I-Data
fevereiro	I-Data
|	O
Biblioteca	B-Localizacao
Central	I-Localizacao
da	O
FLUP	B-UnidadeOrganica
Dia	O
11	B-Data
de	I-Data
janeiro	I-Data
,	O
pelas	O
14h00	B-Hora
,	O
na	O
Biblioteca	B-Localizacao
Central	I-Localizacao
decorrerá	O
uma	O
palestra	O
sobre	O
o	O
poeta.	O
ver+	B-Pessoa
Semana	I-Pessoa
Profissão	I-Pessoa
Engenheiro	I-Pessoa
2017	O
27	B-Data
,	O
28	B-Data
e	O
29	B-Data
de	I-Data
março	I-Data
|	O
FEUP	B-UnidadeOrganica
www.fe.up.pt/profissaoengenheiro	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
Divulgue	O
os	O
seus	O
eventos	O
e	O
projetos	O
através	O
do	O
e-mail	O
:	O
noticias	O
@	O
fe.up.pt.	O
Saiba	O
mais	O
sobre	O
os	O
nossos	O
serviços	O
no	O
site	O
dos	O
SICC	O
Frequência	B-UnidadeOrganica
de	I-UnidadeOrganica
Unidades	I-UnidadeOrganica
Curriculares	O
Singulares	O
dos	O
Cursos	O
e	O
Ciclos	O
de	O
Estudos	O
da	O
U.Porto	B-Organizacao
2016	B-Data
/	O
2017	B-Data
-	O
2º	O
semestre	O
Candidaturas	O
de	O
23/01/2017	O
até	O
27/01/2017	B-Data
Critérios	I-Data
de	I-Data
SeriaçãoVagas	I-Data
:	O
Documentos	O
a	O
entregar	O
:	O
-	O
Boletim	B-UnidadeOrganica
de	O
candidatura	O
a	O
Unidades	O
Curriculares	O
Singulares	O
-	O
BI/Cartão	B-Organizacao
do	I-Organizacao
Cidadão	I-Organizacao
(	O
fotocópia	O
simples	O
)	O
-	O
Número	B-UnidadeOrganica
de	I-UnidadeOrganica
Contribuinte	I-UnidadeOrganica
(	I-UnidadeOrganica
fotocópia	O
simples	O
)	O
-	O
Ficha	B-UnidadeOrganica
de	O
dados	O
pessoais	O
-	O
1	B-Data
fotografia	I-Data
(	O
tipo	O
passe	O
)	O
-	O
Contrato	B-UnidadeOrganica
de	I-UnidadeOrganica
Mobilidade	I-UnidadeOrganica
Interna	I-UnidadeOrganica
(	O
2	O
;	O
3	O
;	O
6	O
)	O
*	O
-	O
Plano	O
de	O
estudos	O
devidamente	O
autenticado	O
do	O
ano	O
letivo	O
2016	B-Data
/17	O
(	O
3	O
;	O
6	O
)	O
*	O
-	O
Declaração	B-UnidadeOrganica
de	I-UnidadeOrganica
concordância	I-UnidadeOrganica
do	I-UnidadeOrganica
orientador	I-UnidadeOrganica
ou	I-UnidadeOrganica
coorientador	I-UnidadeOrganica
da	I-UnidadeOrganica
FFUP	I-UnidadeOrganica
(	O
DCF	B-Organizacao
)	I-Organizacao
(	O
4	O
)	O
*	O
-	O
Curriculum	O
vitae	O
e	O
carta	O
de	O
motivação	O
(	O
8	B-Data
)	I-Data
*	O
*	O
(	O
referência	O
à	O
situação	O
do	O
candidato	O
nos	O
critérios	O
de	O
seriação	O
aprovados	O
)	O
Após	O
preenchimento	O
do	O
boletim	O
de	O
candidatura	O
,	O
deverá	O
enviar	O
os	O
documentos	O
acima	O
indicados	O
para	O
expediente	O
@	O
ff.up.pt	O
.	O
A	O
não	O
entrega	O
da	O
documentação	O
indicada	O
invalida	O
a	O
candidatura.	O
Regulamentos	O
:	O
-	O
Regulamento	O
de	O
frequência	O
de	O
unidades	O
curriculares	O
singulares	O
dos	O
cursos	O
e	O
ciclos	O
de	O
estudos	O
da	O
UP	B-Organizacao
-	O
Despacho	B-Organizacao
Reitoral	O
nº	O
GR.02/06/2013	O
-	O
Mobilidade	O
Interna	O
na	O
U.Porto	O
:	O
possibilidades	O
e	O
condições	O
A	O
frequência	O
de	O
uma	O
unidade	O
curricular	O
singular	O
está	O
sujeita	O
ao	O
pagamento	O
de	O
um	O
emolumento	O
,	O
correspondente	O
1/5	O
da	O
propina	O
anual	O
(	O
pontos	O
16	O
e	O
17	O
da	O
Tabela	O
de	O
Emolumentos	O
da	O
UP	B-Organizacao
)	O
.	O
Data	O
de	O
afixação	O
do	O
edital	O
de	O
colocações	O
:	O
01	B-Data
de	I-Data
fevereiro	I-Data
de	I-Data
2017	I-Data
--	O
-	O
&	O
gt	O
;	O
Edital	O
de	O
colocações	O
Matrículas	O
:	O
03	B-Data
de	I-Data
fevereiro	I-Data
de	I-Data
2017	I-Data
Critérios	O
de	O
Seriação	O
1.	O
Seriação	O
segundo	O
a	O
situação	O
do	O
candidato	O
:	O
1º	O
Candidatos	O
que	O
pretendem	O
obter	O
a	O
Equivalência	O
de	O
Habilitação	O
Estrangeira	O
à	O
Licenciatura	O
em	O
Estudos	O
Básicos	O
em	O
Ciências	B-Curso
Farmacêuticas	I-Curso
na	O
FFUP	B-UnidadeOrganica
.	O
2º	O
Estudantes	O
do	O
2º	O
Ciclo	O
da	O
FFUP	B-UnidadeOrganica
com	O
Opções	O
UP	B-Organizacao
.	O
3º	O
Estudantes	O
da	O
UP	O
com	O
Opções	O
UP	B-Organizacao
.	O
4º	O
Estudantes	O
inscritos	O
em	O
ciclos	O
de	O
estudos	O
da	O
FFUP	B-UnidadeOrganica
sem	O
Opções	O
UP	B-Organizacao
.	O
5º	O
Estudantes	O
da	O
FFUP	B-UnidadeOrganica
prescritos	O
em	O
2016	B-Data
/	O
2017	B-Data
.	O
6º	O
Estudantes	O
inscritos	O
em	O
ciclos	O
de	O
estudos	O
da	O
UP	B-Organizacao
sem	O
Opções	O
UP	B-Organizacao
.	O
7º	O
Estudantes	O
da	O
UP	B-Organizacao
prescritos	O
em	O
2016	B-Data
/	O
2017	B-Data
.	O
8º	O
Candidatos	O
externos	O
à	O
UP	B-Organizacao
.	O
2.	O
Seriação	O
segundo	O
a	O
Ordem	B-Organizacao
de	I-Organizacao
chegada	I-Organizacao
da	I-Organizacao
candidatura.	I-Organizacao
Observação	I-Organizacao
:	O
O	O
primeiro	O
critério	O
é	O
aplicado	O
da	O
seguinte	O
forma	O
:	O
é	O
dada	O
prioridade	O
aos	O
candidatos	O
que	O
tenham	O
dado	O
entrada	O
na	O
FFUP	B-UnidadeOrganica
de	O
pedido	O
para	O
Equivalência	O
de	O
Habilitação	O
Estrangeira	O
à	O
Licenciatura	O
em	O
Estudos	O
Básicos	O
em	O
Ciências	B-Curso
Farmacêuticas	I-Curso
.	O
Não	O
existindo	O
estudantes	O
nas	O
condições	O
referidas	O
,	O
ou	O
não	O
existindo	O
em	O
número	O
suficiente	O
para	O
o	O
preenchimento	O
das	O
vagas	O
nas	O
unidades	O
curriculares	O
singulares	O
fixadas	O
,	O
serão	O
aplicados	O
,	O
sucessivamente	O
as	O
restantes	O
situações	O
,	O
pela	O
ordem	O
indicada.	O
Vagas	O
:	O
Mestrado	O
Integrado	O
em	O
Ciências	B-Curso
Farmacêuticas	I-Curso
(	O
Plano	O
de	O
estudos	O
MICF	O
)	O
:	O
-	O
vagas	O
em	O
cada	O
uma	O
das	O
seguintes	O
unidades	O
curriculares	O
:	O
*	O
2	O
vagas	O
em	O
Alimentação	B-Localizacao
Humana	I-Localizacao
II	I-Localizacao
*	O
1	O
vagas	O
em	O
Anatomia	O
e	O
Histologia	O
*	O
5	O
vagas	O
em	O
Bioquímica	O
Clínica	O
*	O
2	O
vagas	O
em	O
Biotecnologia	O
Farmacêutica	O
e	O
Biomateriais	O
*	O
1	O
vagas	O
em	O
Dispositivos	B-Localizacao
Médicos	I-Localizacao
*	I-Localizacao
2	O
vagas	O
em	O
Endocrinologia	B-Curso
*	O
1	O
vagas	O
em	O
Farmacologia	O
I	O
*	O
5	O
vagas	O
em	O
Fisiopatologia	O
e	O
Farmacoterapia	O
I	O
*	O
1	O
vagas	O
em	O
Imuno-Hemoterapia	B-Curso
*	O
1	O
vagas	O
em	O
Imunologia	B-Curso
*	O
1	O
vagas	O
em	O
Micologia	B-Curso
*	O
5	O
vagas	O
em	O
Microbiologia	B-Curso
Alimentar	I-Curso
*	O
10	O
vagas	O
em	O
Microbiologia	B-Curso
Industrial	I-Curso
*	O
2	O
vagas	O
em	O
Neurociência	B-Localizacao
Molecular	I-Localizacao
e	I-Localizacao
Celular	O
*	O
14	O
vagas	O
em	O
Oncobiologia	B-Curso
*	O
6	O
vagas	O
em	O
Organização	O
e	O
Gestão	O
*	O
5	O
vagas	O
em	O
Qualidade	O
e	O
Segurança	O
Alimentar	O
*	O
2	O
vagas	O
em	O
Química	B-Curso
Analítica	I-Curso
*	O
15	O
vagas	O
em	O
Química	B-Curso
Farmacêutica	I-Curso
Avançada	I-Curso
*	O
2	O
vagas	O
em	O
Química	B-Curso
Farmacêutica	I-Curso
I	I-Curso
*	O
1	O
vagas	O
em	O
Química-Física	B-Curso
*	O
3	O
vagas	O
em	O
Radioquímica	B-Curso
*	O
1	O
vagas	O
em	O
Tecnologia	O
Farmacêutica	O
III	B-Hora
*	O
2	O
vagas	O
em	O
Terapêuticas	B-Localizacao
Alternativas	I-Localizacao
*	I-Localizacao
2	O
vagas	O
em	O
Toxicologia	B-Localizacao
Mecanística	I-Localizacao
*	I-Localizacao
3	I-Localizacao
vagas	O
em	O
Virologia	O
Mestrado	B-Curso
em	I-Curso
Análises	I-Curso
Clínicas	I-Curso
(	O
Plano	O
de	O
estudos	O
MAC	O
)	O
:	O
-	O
2	B-Data
vagas	O
em	O
cada	O
unidade	O
curricular	O
do	O
1º	O
ano	O
:	O
*	O
Bacteriologia	B-Hora
Clínica	I-Hora
*	O
Genética	B-Hora
Humana	I-Hora
*	I-Hora
Hematologia	I-Hora
I	I-Hora
*	I-Hora
Hematologia	I-Hora
II	I-Hora
*	I-Hora
Parasitologia	I-Hora
Clínica	B-Curso
Mestrado	B-Curso
em	I-Curso
Controlo	I-Curso
de	I-Curso
Qualidade	I-Curso
(	O
Plano	O
de	O
estudos	O
MCQ	O
)	O
:	O
-	O
1	B-Data
vagas	O
em	O
cada	O
uma	O
das	O
seguintes	O
unidades	O
curriculares	O
do	O
1º	O
ano	O
:	O
*	O
Controlo	B-Hora
Toxicológico	I-Hora
Mestrado	B-Curso
em	I-Curso
Tecnologia	I-Curso
Farmacêutica	I-Curso
(	O
Plano	O
de	O
estudos	O
MTF	O
)	O
:	O
-	O
2	B-Data
vagas	O
em	O
cada	O
uma	O
das	O
seguintes	O
unidades	O
curriculares	O
do	O
1º	O
ano	O
:	O
*	O
Biotecnologia	B-Hora
Farmacêutica	I-Hora
*	I-Hora
Formas	I-Hora
Farmacêuticas	B-UnidadeOrganica
de	I-UnidadeOrganica
Disponibilidade	I-UnidadeOrganica
Modificada	I-UnidadeOrganica
*	I-UnidadeOrganica
Manipulação	I-UnidadeOrganica
*	I-UnidadeOrganica
Regulamentação	O
de	O
Medicamentos	O
Mestrado	B-Curso
em	I-Curso
Toxicologia	I-Curso
Analítica	I-Curso
Clínica	I-Curso
e	I-Curso
Forense	I-Curso
(	O
Plano	O
de	O
estudos	O
MTACF	O
)	O
:	O
-	O
sem	O
limite	O
de	O
vagas	O
em	O
cada	O
uma	O
das	O
seguintes	O
unidades	O
curriculares	O
:	O
*	O
Toxicologia	B-Hora
Forense	I-Hora
*	I-Hora
Certificação	O
e	O
Controlo	B-Data
de	I-Data
Qualidade	I-Data
*	I-Data
Aspetos	I-Data
Juridico-Forenses	I-Data
SGAE	I-Data
,	O
19	B-Data
de	I-Data
janeiro	I-Data
de	I-Data
2017	I-Data
.	O
Mais	O
Voz	O
à	O
Juventude	O
entra	O
em	O
ação	O
|	O
CM	O
Vila	B-Localizacao
Nova	I-Localizacao
Gaia	I-Localizacao
Abertas	O
as	O
Inscrições	O
Destinado	O
a	O
jovens	O
entre	O
os	O
13-30	O
anos	O
de	O
idade	O
,	O
que	O
vivem	O
,	O
estudam	O
ou	O
trabalham	O
em	O
Gaia	O
e	O
aos	O
agentes	O
que	O
trabalham	O
ou	O
fazem	O
voluntariado	O
com	O
jovens	O
,	O
o	O
ciclo	O
Mais	O
Voz	O
à	O
Juventude	O
vai	O
promover	O
25	O
sessões	O
de	O
grupo	O
para	O
um	O
total	O
de	O
480	B-Data
participantes	I-Data
e	O
irá	O
ainda	O
lançar	O
um	O
questionário	O
digital	O
e	O
uma	O
campanha	O
de	O
comunicação	O
para	O
ouvir	O
e	O
projetar	O
o	O
que	O
os	O
jovens	O
pretendem	O
para	O
a	O
futura	O
estratégia	O
de	O
juventude.	O
Ver	O
detalhes	O
sobre	O
o	O
ciclo	O
Mais	O
Voz	O
à	O
Juventude	O
Divulgue	O
os	O
seus	O
eventos	O
e	O
projetos	O
|	O
comunica	O
@	O
fc.up.pt	O
Professor	O
Associado	O
|	O
Área	O
disciplinar	O
de	O
Física	O
e	O
Astronomia	O
Candidaturas	O
até	O
6	B-Data
março	I-Data
2017	I-Data
Encontra-se	O
aberto	O
concurso	O
documental	O
(	O
Edital	O
n.º	O
1067/2016	O
,	O
DR	O
,	O
n.º	O
241	O
de	O
19	B-Data
de	I-Data
dezembro	I-Data
de	I-Data
2016	I-Data
)	O
para	O
um	O
lugar	O
de	O
Professor	O
Associado	O
da	O
área	O
disciplinar	O
de	O
Física	O
e	O
Astronomia	O
da	O
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Ciências	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
.	O
As	O
instruções	O
para	O
a	O
apresentação	O
da	O
informação	O
,	O
em	O
suporte	O
digital	O
,	O
encontram-se	O
disponíveis	O
na	O
área	O
de	O
Concursos	O
de	O
Pessoal	O
do	O
SIGARRA	O
U.PORTO	B-Organizacao
,	O
no	O
endereço	O
:	O
https	O
:	O
//sigarra.up.pt/up/pt/web_base.gera_pagina	O
?	O
p_pagina=1004282	O
Edital	O
Divulgue	O
os	O
seus	O
eventos	O
e	O
projetos	O
|	O
comunica	O
@	O
fc.up.pt	O
Seminário	O
ITIL	B-Hora
-	O
Information	B-Organizacao
Technology	I-Organizacao
Infrastructure	I-Organizacao
Library	O
3	B-Data
de	I-Data
fevereiro	I-Data
|	O
17h30	B-Hora
às	O
19h30	B-Hora
|	O
Sala	B-Localizacao
B006	I-Localizacao
FEUP	I-Localizacao
Na	O
próxima	O
sexta-feira	O
,	O
dia	O
de	O
3	B-Data
de	I-Data
fevreiro	I-Data
,	O
entre	O
as	O
17h30	B-Hora
às	O
19h30	B-Hora
,	O
na	O
sala	B-Localizacao
B006	I-Localizacao
da	I-Localizacao
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Engenharia	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
realiza-se	O
o	O
seminário	O
“ITIL	B-Hora
-	O
Information	B-Organizacao
Technology	I-Organizacao
Infrastructure	I-Organizacao
Library”	I-Organizacao
,	O
tendo	O
como	O
orador	O
o	O
Engº	O
Edgar	B-Pessoa
Lopes	I-Pessoa
.	O
Subject	B-Pessoa
Matter	I-Pessoa
Expert	I-Pessoa
na	O
divisão	B-UnidadeOrganica
