-X- -X- -X-
clandestina O O
. O O
Em TEMPO TEMPO
1999 TEMPO TEMPO
, O O
Liebenberg PESSOA PESSOA
, O O
Steventon PESSOA PESSOA
e O O
os O O
dois O O
rastreadores O O
, O O
que O O
não O O
possuem O O
educação O O
formal O O
, O O
publicaram O O
um O O
artigo O O
na O O
revista O O
acadêmica O O
Pachyderm LOCAL LOCAL
. O O
`` O O
Ao O O
incluir O O
os O O
rastreadores O O
em O O
nossas O O
atividades O O
de O O
monitoramento O O
ambiental O O
, O O
estamos O O
expandindo O O
eficientemente O O
a O O
própria O O
ciência O O
'' O O
, O O
disse O O
Liebenberg PESSOA PESSOA
. O O
Mas O O
não O O
são O O
apenas O O
os O O
rastreadores O O
tribais O O
que O O
usam O O
o O O
CyberTracker COISA PESSOA
. O O
Estudantes O O
e O O
observadores O O
de O O
aves O O
também O O
aproveitam O O
as O O
vantagens O O
do O O
sistema O O
. O O
Ele O O
já O O
foi O O
usado O O
até O O
por O O
equipes O O
de O O
cientistas O O
em O O
expedições O O
no O O
Ártico LOCAL LOCAL
, O O
no O O
monitoramento O O
de O O
lobos O O
no O O
estado O O
norte-americano O O
de O O
Idaho LOCAL LOCAL
, O O
da O O
poluição O O
dos O O
rios O O
na O O
Tanzânia LOCAL LOCAL
e O O
do O O
raríssimo O O
rinoceronte O O
de O O
Sumatra LOCAL LOCAL
, O O
em O O
Bornéu LOCAL LOCAL
. O O
O O O
software O O
pode O O
ser O O
personalizado O O
, O O
e O O
é O O
oferecido O O
gratuitamente O O
na O O
Web LOCAL LOCAL
. O O
Cerca VALOR VALOR
de VALOR VALOR
400 VALOR VALOR
projetos O O
em O O
30 VALOR VALOR
países O O
estão O O
usando O O
o O O
sistema O O
, O O
afirma O O
Liebenberg PESSOA PESSOA
. O O
O O O
software O O
consiste O O
em O O
uma O O
série O O
de O O
camadas O O
contendo O O
menus O O
baseados O O
em O O
figuras O O
nos O O
quais O O
os O O
pesquisadores O O
registram O O
suas O O
observações O O
. O O
Eles O O
selecionam O O
ícones O O
para O O
representar O O
as O O
plantas O O
e O O
animais O O
que O O
observam O O
, O O
e O O
para O O
descrever O O
seu O O
comportamento O O
e O O
suas O O
características O O
. O O
O O O
GPS COISA COISA
registra O O
o O O
local O O
e O O
a O O
hora O O
de O O
cada O O
observação O O
. O O
Rastreadores O O
experientes O O
normalmente O O
podem O O
identificar O O
um O O
único O O
indivíduo O O
de O O
determinada O O
espécie O O
, O O
ou O O
pelo O O
menos O O
saber O O
seu O O
sexo O O
, O O
idade O O
e O O
estado O O
de O O
saúde O O
, O O
apenas O O
observando O O
suas O O
pegadas O O
. O O
Com O O
cada O O
rastreador O O
registrando O O
até VALOR O
300 VALOR VALOR
observações O TEMPO
por TEMPO TEMPO
dia TEMPO TEMPO
, O O
o O O
dispositivo O O
permite O O
a O O
coleta O O
de O O
quantidades O O
imensas O O
de O O
informação O O
, O O
que O O
pode O O
ser O O
analisada O O
em O O
mapas O O
e O O
bancos O O
de O O
dados O O
quase O O
imediatamente O O
. O O
'' O O
É O O
aí O O
que O O
novos O O
padrões O O
vêm O O
à O O
tona O O
: O O
correlações O O
entre O O
espécies O O
diferentes O O
, O O
características O O
da O O
paisagem O O
e O O
outros O O
fatores O O
que O O
não O O
poderiam O O
ser O O
descobertos O O
de O O
outra O O
maneira O O
'' O O
, O O
afirma O O
Jason PESSOA PESSOA
Knight PESSOA PESSOA
, O O
instrutor O O
da O O
Wilderness ORGANIZACAO ORGANIZACAO
Awareness ORGANIZACAO ORGANIZACAO
School ORGANIZACAO ORGANIZACAO
em O O
Duvall LOCAL LOCAL
, O O
Washington LOCAL PESSOA
. O O
No O O
entanto O O
, O O
Christina PESSOA PESSOA
Eisenberg PESSOA PESSOA
, O O
uma O O
bióloga O O
que O O
estuda O O
os O O
lobos O O
e O O
trabalha O O
para O O
o O O
Serviço ORGANIZACAO OBRA
Americano ORGANIZACAO OBRA
de ORGANIZACAO OBRA
Vida ORGANIZACAO OBRA
Selvagem ORGANIZACAO OBRA
e ORGANIZACAO O
Aquática ORGANIZACAO PESSOA
conta O O
que O O
parou O O
de O O
usar O O
o O O
sistema O O
porque O O
ele O O
travava O O
inesperadamente O O
. O O
`` O O
Perdi O O
os O O
dados O O
de TEMPO TEMPO
um TEMPO TEMPO
dia TEMPO TEMPO
inteiro TEMPO TEMPO
de O O
trabalho O O
, O O
depois O O
de O O
me O O
embrenhar O O
milhas O O
e O O
milhas O O
sobre O O
terreno O O
acidentado O O
mato O O
adentro O O
'' O O
, O O
lembra O O
. O O
`` O O
Não O O
foi O O
nada O O
agradável O O
'' O O
. O O
Vários O O
projetos O O
usando O O
o O O
CyberTracker COISA O
em O O
áreas O O
de O O
preservação O O
da O O
África LOCAL LOCAL
do LOCAL LOCAL
Sul LOCAL LOCAL
também O O
estão O O
interrompidos O O
, O O
em O O
parte O O
devido O O
ao O O
preconceito O O
contra O O
rastreadores O O
analfabetos O O
e O O
a O O
falta O O
de O O
entusiasmo O O
por O O
parte O O
dos O O
administradores O O
, O O
diz O O
Liebenberg PESSOA PESSOA
. O O
Mesmo O O
assim O O
, O O
ele O O
pretende O O
desenvolver O O
o O O
CyberTracker COISA PESSOA
, O O
transformando-o O O
num O O
sistema O O
para O O
monitorar O O
mudanças O O
ambientais O O
e O O
compartilhar O O
informações O O
pelo O O
mundo O O
todo O O
. O O
`` O O
No O TEMPO
momento O TEMPO
, O O
faltam O O
cientistas O O
para O O
reunir O O
informação O O
em O O
campo O O
'' O O
, O O
disse O O
. O O
`` O O
Se O O
pudermos O O
contar O O
com O O
a O O
ajuda O O
das O O
pessoas O O
que O O
vivem O O
nesses O O
lugares O O
, O O
poderemos O O
, O O
teoricamente O O
, O O
monitorar O O
todo O O
o O O
ecossistema O O
global O O
. O O
Fonte O O
: O O
Centro O ORGANIZACAO
de O ORGANIZACAO
Mídia O ORGANIZACAO
Independente O ORGANIZACAO
-LRI- O O
www.midiaindependente.org O O
-RRI- O O
. O O
Link O ABSTRACCAO
: O O
Cybertracker O PESSOA
-LRI- O O
www.cybertracker.co.za O O
-RRI- O O
. O O
Fim TEMPO O
de TEMPO TEMPO
ano TEMPO TEMPO
com O O
uísque O O
barato O O
no O O
Rio LOCAL LOCAL
Caro O LOCAL
leitor O O
: O O
Por O O
favor O O
, O O
não O O
entenda O O
, O O
por O O
uísque O O
barato O O
, O O
uísque O O
vagabundo O O
. O O
É O O
uísque O O
bom O O
, O O
sem O O
batismo O O
, O O
só O O
que O O
de O O
preço O O
baixo O O
mesmo O O
. O O
Venho O O
notando O O
isso O O
nos TEMPO O
últimos TEMPO O
meses TEMPO O
. O O
Deve O O
ser O O
por O O
conta O O
da O O
queda O O
do O O
dólar O O
: O O
os O O
donos O O
de O O
bares O O
, O O
finalmente O O
, O O
estão O O
entendendo O O
que O O
uísque O O
escocês O O
não O O
tem O O
, O O
necessariamente O O
, O O
que O O
sair O O
caro O O
no O O
balcão O O
. O O
Aquele O O
`` O O
ouro O O
'' O O
líquido O O
, O O
que O O
o O O
balconista O O
costumava O O
servir O O
a O O
conta-gotas O O
e O O
com O O
um O O
chorinho O O
miserável O O
e O O
sem O O
vela O O
, O O
está O O
deixando O O
de O O
existir O O
. O O
Com O O
a O O
garrafa O O
de O O
um O O
bom O O
scotch O O
sendo O O
vendida O O
a O O
menos VALOR O
de VALOR O
R$ VALOR VALOR
60 VALOR VALOR
em O O
qualquer O O
supermercado O O
, O O
já O O
é O O
possível O O
encontrar O O
, O O
com O O
facilidade O O
, O O
bares O O
e O O
botequins O O
que O O
assumiram O O
o O O
serviço O O
regado O O
do O O
puro O O
scotch O O
. O O
O O O
Belmonte LOCAL LOCAL
da O LOCAL
Rua LOCAL LOCAL
do LOCAL LOCAL
Lavradio LOCAL LOCAL
, O O
por O O
exemplo O O
, O O
é O O
um O O
desses O O
. O O
Por O O
R$ VALOR O
8,50 VALOR O
, O O
toma-se O O
uma O O
dose O O
boca O O
larga O O
de O O
Johnny COISA PESSOA
Walker COISA PESSOA
Red COISA PESSOA
Label COISA PESSOA
. O O
E O O
a O O
régua O O
é O O
só O O
de O O
vinte O O
doses O O
, O O
contra O O
as O O
absurdas O O
24 VALOR VALOR
doses O O
de O O
alguns O O
bares O O
por O O
aí O O
. O O
Nada O O
mal O O
, O O
não O O
? O O
Para O O
você O O
, O O
leitor O O
que O O
não O O
toma O O
uísque O O
, O O
ter O O
uma O O
idéia O O
do O O
que O O
isso O O
significa O O
, O O
basta O O
dizer O O
que O O
a O O
menos VALOR O
de VALOR O
150 VALOR VALOR
metros VALOR VALOR
dali O O
, O O
no O O
Carlitos LOCAL LOCAL
da O LOCAL
Rua LOCAL LOCAL
Mem LOCAL LOCAL
de LOCAL LOCAL
Sá LOCAL LOCAL
, O O
uma O O
dose O O
do O O
mesmo O O
Red COISA PESSOA
Label COISA PESSOA
, O O
servido O O
em O O
dedal O O
de O O
moça O O
, O O
custa O O
R$ VALOR VALOR
12,50 VALOR VALOR
. O O
Uma O O
diferença O O
exorbitante O O
de O O
preço O O
e O O
quantidade O O
. O O
E O O
por O O
que O O
isso O O
? O O
, O O
você O O
há O O
de O O
perguntar O O
. O O
Puro O O
preconceito O O
, O O
amigo O O
. O O
Os O O
donos O O
do O O
Carlitos ORGANIZACAO PESSOA
ainda O O
acham O O
que O O
uísque O O
é O O
coisa O O
de O O
rico O O
, O O
coitados O O
. O O
Mas O O
, O O
para O O
nossa O O
sorte O O
, O O
essa O O
ignorância O O
aos O O
poucos O O
vai O O
sendo O O
riscada O O
do O O
mapa O O
. O O
Até O O
quando O O
o O O
dólar O O
deixar O O
, O O
claro O O
... O O
Outros O O
exemplos O O
de O O
bom O O
uísque O O
barato O O
e O O
regado O O
na O O
cidade O O
do O O
Rio LOCAL LOCAL
: O O
- O O
Aboim LOCAL LOCAL
, O O
na O O
Rua LOCAL LOCAL
Souza LOCAL LOCAL
Lima LOCAL LOCAL
, O O
em O O
Copacabana LOCAL LOCAL
: O O
o O O
Pé-Sujo O O
mais O O
especializado O O
em O O
uísque O O
da O O
cidade O O
serve O O
mais O O
de O O
dez O O
marcas O O
diferentes O O
de O O
scotch O O
. O O
As O O
mais O O
baratas O O
-LRI- O O
White COISA PESSOA
Horse COISA PESSOA
e O O
Grants COISA TEMPO
8 COISA TEMPO
anos COISA TEMPO
-RRI- O O
saem O O
a O O
R$ VALOR VALOR
7,00 VALOR VALOR
, O O
sempre O O
na O O
tala O O
larga O O
. O O
- O O
Azeitona LOCAL PESSOA
& LOCAL PESSOA
Cia LOCAL PESSOA
, O O
na O O
Rua LOCAL LOCAL
Dias LOCAL LOCAL
Ferreira LOCAL LOCAL
, O O
no O O
Leblon LOCAL LOCAL
: O O
O O O
melhor O O
custo-benefício O O
do O O
scotch O O
na O O
Zona LOCAL LOCAL
Sul LOCAL LOCAL
do O LOCAL
Rio LOCAL LOCAL
. O O
Uma O O
dose O O
caprichadíssima O O
de O O
Red COISA PESSOA
Label COISA PESSOA
no O O
copo O O
longo O O
sai O O
por O O
meros O VALOR
R$ VALOR VALOR
7 VALOR VALOR
. O VALOR
E O O
ainda O O
vem O O
com O O
a O O
boa O O
conversa O O
do O O
Azeitona PESSOA LOCAL
, O O
o O O
dono O O
. O O
- O O
Bar LOCAL O
do LOCAL O
Adão LOCAL LOCAL
da O LOCAL
Rua LOCAL LOCAL
Dona LOCAL LOCAL
Mariana LOCAL LOCAL
, O O
em O O
Botafogo LOCAL LOCAL
: O O
Não O O
é O O
muito O O
boteco O O
, O O
mas O O
ali O O
o O O
Ballantines COISA PESSOA
12 COISA TEMPO
anos COISA TEMPO
sai O O
por O O
R$ VALOR VALOR
9 VALOR VALOR
a O O
dose O O
. O O
Espetáculo O O
que O O
melhora O O
ainda O O
mais O O
às TEMPO O
terças-feiras TEMPO O
, O O
quando O O
a O O
casa O O
especializada O O
em O O
pastel O O
serve O O
tudo O O
dobrado O O
. O O
E O O
o O O
mesmo O O
uísque O O
sai O O
, O O
então O O
, O O
pela O O
bagatela O O
de O O
R$ VALOR VALOR
4,50 VALOR VALOR
. O O
- O O
Bar LOCAL PESSOA
Barata LOCAL PESSOA
Ribeiro LOCAL PESSOA
, O O
na O O
esquina O O
das O O
Ruas LOCAL PESSOA
Barata LOCAL PESSOA
Ribeiro LOCAL PESSOA
e O O
Barão LOCAL PESSOA
de LOCAL PESSOA
Ipanema LOCAL PESSOA
, O O
em O O
Copacabana LOCAL LOCAL
: O O
Botequinho O PESSOA
escondido O O
no O O
meio O O
do O O
caos O O
copacabanense O O
, O O
mas O O
que O O
tem O O
um O O
coração O O
de O O
ouro O O
e O O
uma O O
blea O O
prateleira O O
de O O
uísques O O
. O O
- O O
Bar LOCAL PESSOA
Vieira LOCAL PESSOA
Souto LOCAL PESSOA
, O O
na O O
Praça LOCAL LOCAL
da LOCAL LOCAL
Cruz LOCAL LOCAL
Vermelha LOCAL LOCAL
, O O
Centro LOCAL LOCAL
da O O
cidade O O
: O O
Um O O
restaurante O O
popular O O
dos O O
bons O O
, O O
que O O
serve O O
um O O
filé O O
com O O
fritas O O
espetacular O O
e O O
uísque O O
de O O
excelente O O
procedência O O
a O O
R$ VALOR VALOR
8 VALOR VALOR
, O O
no O O
capricho O O
. O O
- O O
BotecoTaco LOCAL O
, O O
no O O
Humaitá LOCAL LOCAL
: O O
As TEMPO O
madrugadas TEMPO O
varam O O
e O O
o O O
uísque O O
não O O
pára O O
de O O
sair O O
no O O
templo O O
carioca O O
dos O O
notívagos O O
. O O
Doses O O
cavalares O O
de O TEMPO
uísque O TEMPO
oito O TEMPO
anos O TEMPO
, O O
a O O
menos VALOR O
de VALOR O
R$ VALOR VALOR
10 VALOR VALOR
. O VALOR
Conhece O O
outros O O
? O O
Indique O O
aqui O O
, O O
caro O O
leitor O O
. O O
De O O
bicicleta O O
também O O
pelo O O
Ambiente OUTRO PESSOA
Durante O PESSOA
a O O
Conferência ACONTECIMENTO ORGANIZACAO
das ACONTECIMENTO ORGANIZACAO
Nações ACONTECIMENTO ORGANIZACAO
Unidas ACONTECIMENTO ORGANIZACAO
sobre ACONTECIMENTO O
as ACONTECIMENTO O
Alterações ACONTECIMENTO PESSOA
Climáticas ACONTECIMENTO PESSOA
, O O
em O O
Bali LOCAL LOCAL
, O O
o O O
Público COISA PESSOA
teve O O
uma O O
secção O O
designada O O
'' O O
Eu ABSTRACCAO O
contribuo ABSTRACCAO O
'' O O
, O O
onde O O
os O O
leitores O O
eram O O
convidados O O
a O O
dizerem O O
aquilo O O
que O O
fazem O O
pelo O O
Ambiente ABSTRACCAO LOCAL
. O O
Não O O
parece O O
ter O O
havido O O
muitos O O
participantes O O
, O O
mas O O
houve O O
quem O O
divulgasse O O
a O O
sua O O
opção O O
pela O O
bicicleta O O
como O O
meio O O
de O O
transporte O O
principal O O
ou O O
secundário O O
. O O
Joana PESSOA PESSOA
Marinho PESSOA PESSOA
, O O
uma O O
estudante O O
universitária O TEMPO
de O TEMPO
25 VALOR TEMPO
anos VALOR TEMPO
, O O
de O O
Vila LOCAL LOCAL
do LOCAL LOCAL
Conde LOCAL LOCAL
: O O
`` O O
Tudo O O
começou O O
quando O O
os O O
meus O O
pais O O
acoplaram O O
às O O
bicicletas O O
cestinhos O O
de O O
verga O O
para O O
nos O O
levarem O O
, O O
a O O
mim O O
e O O
aos O O
meus O O
irmãos O O
, O O
nas O O
deslocações O O
ao O O
supermercado O O
e O O
à O O
praia O O
. O O
A O TEMPO
partir O TEMPO
dos O TEMPO
seis O TEMPO
anos O TEMPO
, O O
eu O O
e O O
o O O
meu O O
irmão O O
mais O O
velho O O
íamos O O
para O O
a O O
escola O O
de O O
bicicleta O O
. O O
Este O O
hábito O O
perdura O O
até TEMPO TEMPO
hoje TEMPO TEMPO
, O O
ao O O
qual O O
se O O
acrescentaram O O
muitas O O
outras O O
medidas O O
. O O
'' O O
Também O PESSOA
Vítor PESSOA PESSOA
Pereira PESSOA PESSOA
, O O
um O O
recém-licenciado O O
em O O
Medicina ABSTRACCAO LOCAL
, O O
28 VALOR VALOR
anos VALOR VALOR
, O O
de O O
Matosinhos LOCAL LOCAL
, O O
usa O O
a O O
bicicleta O O
como O O
opção O O
de O O
transporte O O
: O O
`` O O
-LRI- O O
... O O
-RRI- O O
a O O
ida O O
para O O
o O O
trabalho O O
, O O
sempre O O
que O O
possível O O
uso O O
a O O
bicicleta O O
ou O O
o O O
transporte O O
público O O
. O O
'' O O
Obrigada O O
ao O O
Hugo PESSOA PESSOA
Jorge PESSOA PESSOA
pela O O
dica O O
. O O
Paquistão LOCAL O
após O O
o O O
assassinato O O
de O O
Benazir PESSOA PESSOA
Bhutto PESSOA PESSOA
28/Dezembro/2007 TEMPO O
· O O
0:01 TEMPO O
· O O
147 VALOR O
Comentários O O
É O O
sempre O O
chocante O O
assistir O O
à O O
decomposição O O
de O O
um O O
país O O
. O O
Mas O O
, O O
após O O
o O O
assassinato O O
de O O
Benazir PESSOA PESSOA
Bhutto PESSOA PESSOA
, O O
é O O
o O O
que O O
está O O
acontecendo O O
com O O
o O O
Paquistão ORGANIZACAO PESSOA
. O O
O O O
momento O O
é O O
tenso O O
. O O
Uma O O
revolta O O
popular O O
pode O O
estourar O O
. O O
Agora O O
, O O
que O O
faria O O
sentido O O
declarar O O
Estado OBRA O
de OBRA O
Emergência OBRA LOCAL
e O O
impor O O
a O O
Lei OBRA PESSOA
Marcial OBRA PESSOA
, O O
o O O
presidente PESSOA PESSOA
Pervez PESSOA PESSOA
Musharraf PESSOA PESSOA
está O O
desautorizado O O
. O O
Afinal O O
, O O
há TEMPO O
coisa TEMPO O
de TEMPO O
dois TEMPO O
meses TEMPO O
, O O
aplicou O O
um O O
golpe O O
contra O O
a O O
Suprema ORGANIZACAO PESSOA
Corte ORGANIZACAO PESSOA
utilizando-se O O
justamente O O
desta O O
tática O O
. O O
Será O O
que O O
ousaria O O
um O O
novo O O
Estado OBRA O
de OBRA O
Emergência OBRA LOCAL
? O O
Será O O
que O O
sobreviveria O O
a O O
tal O O
decreto O O
? O O
Será O O
que O O
o O O
Exército ORGANIZACAO PESSOA
se O O
manterá O O
fiel O O
a O O
ele O O
? O O
Será O O
que O O
o O O
Serviço ORGANIZACAO PESSOA
de ORGANIZACAO PESSOA
Inteligência ORGANIZACAO PESSOA
, O O
tão O O
ligado O O
ao O O
norte O O
islâmico O O
, O O
ainda O O
o O O
respeita O O
minimamente O O
? O O
O O O
que O O
acontecerá O O
não O O
é O O
possível O O
prever O O
. O O
Eleições O O
estão O O
marcadas O O
para TEMPO TEMPO
8 TEMPO TEMPO
de TEMPO TEMPO
janeiro TEMPO TEMPO
, O O
Bhutto PESSOA PESSOA
era O O
favorita O O
. O O
O O O
partido O O
mais O O
votado O O
do O O
parlamento O O
eleito O O
fará O O
o O O
primeiro O O
ministro O O
. O O
Num O O
país O O
estável O O
, O O
o O O
assassinato O O
de O O
um O O
dos O O
principais O O
candidatos O O
a TEMPO O
essa TEMPO O
altura TEMPO O
seria O O
justificativa O O
para O O
suspender O O
o O O
pleito O O
e O O
realizá-lo O O
adiante O O
, O O
quando O O
o O O
partido O O
vitimado O O
tivesse O O
chances O O
de O O
apresentar O O
novo O O
candidato O O
. O O
Mas O O
, O O
se O TEMPO
já O TEMPO
foi O TEMPO
um TEMPO TEMPO
dia TEMPO TEMPO
, O O
o O O
Paquistão LOCAL PESSOA
deixou O O
de O O
ser O O
um O O
país O O
normal O O
, O O
quanto O O
mais O O
estável O O
. O O
O O O
ideal O O
seria O O
que O O
eleições O O
ocorressem O O
. O O
É O O
preciso O O
manter O O
a O O
mínima O O
aparência O O
de O O
democracia O O
sob O O
o O O
risco O O
de O O
que O O
ela O O
desapareça O O
de O O
vez O O
. O O
Os O O
partidários O O
de O O
Bhutto PESSOA LOCAL
, O O
ontem TEMPO TEMPO
, O O
acusavam O O
Musharraf PESSOA LOCAL
do O O
assassinato O O
. O O
Mas O O
será O O
? O O
Em O O
campanha O O
, O O
a O O
ex-primeira-ministra O O
mostrava-se O O
particularmente O O
agressiva O O
contra O O
o O O
Talibã ABSTRACCAO PESSOA
, O O
o O O
radicalismo O O
islâmico O O
e O O
sua O O
cria O O
, O O
a O O
al-Qaeda ORGANIZACAO O
, O O
alojados O O
ao O O
norte O O
. O O
Benazir PESSOA PESSOA
Bhutto PESSOA PESSOA
contava O O
com O O
a O O
simpatia O O
dos O O
EUA ORGANIZACAO LOCAL
por O O
conta O O
. O O
Não O O
há O O
dúvidas O O
de O O
que O O
, O O
como O O
premiê O O
, O O
Bhutto PESSOA PESSOA
forçaria O O
o O O
presidente PESSOA PESSOA
Musharraf PESSOA PESSOA
a O O
ampliar O O
sua O O
ofensiva O O
. O O
A O O
conversa O O
da O O
experiente O O
política O O
com O O
o O O
presidente O O
afegão O O
Hamid PESSOA PESSOA
Karzai PESSOA PESSOA
, O O
o O O
outro O O
chefe PESSOA O
de PESSOA O
Estado PESSOA O
preocupado O O
com O O
esta O O
briga O O
, O O
faz TEMPO O
poucos TEMPO O
dias TEMPO O
, O O
é O O
indício O O
de O O
qual O O
sua O O
prioridade O O
no O O
governo O O
. O O
Após O O
seu O O
assassinato O O
, O O
o O O
presidente O O
, O O
que O O
acaba O O
de O O
abandonar O O
a O O
farda O O
de O O
general O O
, O O
não O O
tem O O
como O O
garantir O O
sequer O O
sua O O
sobrevivência O O
política O O
. O O
Se O O
o O O
conflito O O
entre O O
ambos O O
era O O
aberto O O
, O O
ausência O O
de O O
Bhutto PESSOA PESSOA
piora O O
a O O
situação O O
. O O
Se O O
a O O
lógica O O
ainda O O
prevalecer O O
no O O
país O O
em O O
frangalhos O O
, O O
parece O O
evidente O O
que O O
os O O
maiores O O
interessados O O
em O O
sua O O
morte O O
são O O
justamente O O
o O O
Talibã ORGANIZACAO PESSOA
e O O
a O O
al-Qaeda ORGANIZACAO O
. O O
Isto O O
, O O
é O O
claro O O
, O O
se O O
a O O
lógica O O
valer O O
de O O
algo O O
. O O
A O O
al-Qaeda ORGANIZACAO O
às TEMPO TEMPO
vezes TEMPO TEMPO
assume O O
seus O O
atentados O O
. O O
Outras O TEMPO
vezes O TEMPO
, O O
não O O
. O O
No O TEMPO
Onze ACONTECIMENTO TEMPO
de ACONTECIMENTO TEMPO
Setembro ACONTECIMENTO TEMPO
, O O
ficou O O
em O O
silêncio O O
por TEMPO O
mais TEMPO O
de TEMPO O
mês TEMPO O
enquanto O O
a O O
comunidade O O
internacional O O
cobrava O O
provas O O
de O O
seu O O
envolvimento O O
antes O O
de O O
autorizar O O
um O O
ataque O O
dos O O
EUA ORGANIZACAO LOCAL
ao O O
Afeganistão LOCAL LOCAL
. O O
Neste O O
caso O O
, O O
a O O
falta O O
de O O
autoria O O
clara O O
favorece O O
o O O
caos O O
. O O
O O O
caos O O
interessa O O
à O O
turma O O
de O O
bin-Laden PESSOA O
. O O
Com O O
Bhutto PESSOA O
de O O
fora O O
, O O
os O O
olhos O O
voltam-se O O
para O O
outro O O
ex-premiê O O
, O O
também O O
candidato O O
, O O
Nawaz PESSOA PESSOA
Sharif PESSOA PESSOA
. O O
Mal O O
se O O
passara O O
uma TEMPO O
hora TEMPO O
da O O
morte O O
de O O
Bhutto PESSOA PESSOA
quando O O
ele O O
entrou O O
no O O
Hospital LOCAL LOCAL
Geral LOCAL LOCAL
de O LOCAL
Rawalpindi LOCAL LOCAL
para O O
as O O
condolências O O
. O O
Dada O O
a O O
confusão O O
que O O
imperava O O
, O O
foi O O
um O O
feito O O
. O O
É O O
arte O O
política O O
, O O
sujeito O O
hábil O O
. O O
Embora O O
os O O
dois O O
ensaiassem O O
uma O O
aliança O O
, O O
Sharif PESSOA PESSOA
não O O
poderia O O
ser O O
mais O O
diferente O O
de O O
Bhutto PESSOA LOCAL
. O O
Se O O
ela O O
era O O
pró O O
- O O
EUA ORGANIZACAO LOCAL
, O O
ele O O
não O O
esconde O O
seus O O
laços O O
com O O
a O O
Arábia ORGANIZACAO PESSOA
Saudita ORGANIZACAO PESSOA
. O O
E O O
se O O
acaso O O
sauditas O O
e O O
norte-americanos O O
são O O
oficialmente O O
aliados O O
, O O
na O O
realidade O O
da O O
política O O
local O O
a O O
ação O O
é O O
diferente O O
. O O
A O O
al-Qaeda ORGANIZACAO O
é O O
um O O
grupo O O
saudita O O
. O O
A O O
Arábia ORGANIZACAO PESSOA
Saudita ORGANIZACAO PESSOA
era O O
um O O
dos O O
três O O
países O O
do O O
mundo O O
que O O
reconheciam O O
, O O
no O O
Afeganistão LOCAL LOCAL
, O O
o O O
governo O O
Talibã ORGANIZACAO PESSOA
. O O
A O O
vertente O O
de O O
islamismo O O
radical O O
que O O
impera O O
no O O
norte O O
do O O
Paquistão LOCAL LOCAL
é O O
profundamente O O
semelhante O O
à O O
que O O
a O O
Arábia PESSOA PESSOA
Saudita PESSOA PESSOA
espalha O O
pelo O O
mundo O O
. O O
Sharif PESSOA O
não O O
é O O
fundamentalista O O
. O O
Mas O O
a O O
geopolítica O O
que O O
o O O
sustenta O O
e O O
financia O O
é O O
tão O O
atada O O
aos O O
sauditas O O
que O O
um O O
gabinete O O
liderado O O
por O O
ele O O
é O O
marcado O O
por O O
uma O O
interrogação O O
. O O
O O O
que O O
vai O O
imperar O O
? O O
A O O
Arábia ORGANIZACAO ORGANIZACAO
Saudita ORGANIZACAO ORGANIZACAO
interessada O O
em O O
regimes O O
islâmicos O O
como O O
os O O
defendidos O O
pelos O O
radicais O O
? O O
Ou O O
a O O
Arábia ORGANIZACAO PESSOA
Saudita ORGANIZACAO PESSOA
interessada O O
em O O
combater O O
o O O
terrorismo O O
? O O
No O O
Paquistão LOCAL LOCAL
, O O
as O O
duas O O
opções O O
são O O
incompatíveis O O
. O O
Enterros O O
no O O
Paquistão LOCAL LOCAL
acontecem O O
rápido O O
. O O
Provavelmente O TEMPO
hoje TEMPO TEMPO
, O O
talvez O O
amanhã TEMPO O
. O O
Se O O
demorar O O
mais O O
, O O
escaparam O O
à O O
tradição O O
- O O
coisa O O
sempre O O
perigosa O O
- O O
para O O
evitar O O
as O O
multidões O O
. O O
A O O
multidão O O
é O O
incontrolável O O
. O O
Se O O
o O O
país O O
rachar O O
. O O
Se O O
houver O O
um O O
golpe O O
de O O
Estado ORGANIZACAO O
. O O
Se O O
radicais O O
islâmicos O O
conseguirem O O
um O O
atalho O O
para O O
o O O
poder O O
. O O
O O O
mundo O O
respira O O
fundo O O
. O O
O O O
'' O O
Paquistão LOCAL OBRA
é O O
uma O O
potência O O
nuclear O O
. O O
Superflex PESSOA O
lança O O
cerveja O O
`` O O
pública O O
'' O O
29 TEMPO TEMPO
de TEMPO TEMPO
Novembro TEMPO TEMPO
de TEMPO TEMPO
2007 TEMPO TEMPO
Matéria O O
publicada O O
originalmente O O
na O O
Folha LOCAL LOCAL
online O O
FABIO PESSOA O
CYPRIANO PESSOA O
DA O O
REPORTAGEM PESSOA O
LOCAL PESSOA O
Uma O O
nova O O
marca O O
de O O
cerveja O O
é O O
lançada O O
, O O
hoje TEMPO TEMPO
, O O
na O O
galeria O LOCAL
Vermelho LOCAL LOCAL
: O O
a O O
Free COISA PESSOA
Beer COISA PESSOA
. O O
Entretanto O O
, O O
ao O O
contrário O O
das O O
marcas O O
tradicionais O O
, O O
que O O
tratam O O
como O O
segredo O O
de O O
Estado O O
a O O
receita O O
de O O
suas O O
bebidas O O
, O O
no O O
próprio O O
rótulo O O
da O O
Free COISA PESSOA
Beer COISA PESSOA
está O O
estampada O O
sua O O
receita O O
. O O
A O O
Free ABSTRACCAO ORGANIZACAO
Beer ABSTRACCAO ORGANIZACAO
é O O
a O O
nova O O
ação O O
do O O
coletivo O O
dinamarquês O PESSOA
Superflex PESSOA PESSOA
, O O
composto O O
