THANKSGIVING	B-ACONTECIMENTO
acrescentados	O
,	O
ele	O
passou	O
a	O
dizer	O
que	O
esta	O
era	O
uma	O
equipa	O
capaz	O
de	O
chegar	O
à	O
final	O
e	O
talvez	O
ganhar	O
a	O
Champions	B-ACONTECIMENTO
,	O
continuaram	O
todos	O
a	O
fingir	O
que	O
acreditavam	O
.	O
Depois	O
,	O
houve	O
a	O
vitória	O
sobre	O
o	O
Manchester	B-PESSOA
e	O
a	O
série	O
de	O
sete	O
triunfos	O
consecutivos	O
na	O
Liga	B-ACONTECIMENTO
portuguesa	O
e	O
foi	O
ver	O
o	O
José	B-PESSOA
Veiga	I-PESSOA
,	O
de	O
peito	O
feito	O
,	O
a	O
anunciar	O
a	O
inevitável	O
revalidação	O
do	O
título	O
e	O
a	O
Europa	B-ACONTECIMENTO
ao	O
virar	O
da	O
esquina	O
.	O
Mas	O
ninguém	O
se	O
deteve	O
a	O
pensar	O
quantos	O
,	O
desses	O
sete	O
jogos	O
,	O
foram	O
ganhos	O
sem	O
dúvidas	O
de	O
arbitragem	O
e	O
através	O
de	O
exibições	O
convincentes	O
,	O
porque	O
é	O
um	O
crime	O
de	O
lesa	O
-	O
majestade	O
questionar	O
o	O
mérito	O
dos	O
triunfos	O
benfiquistas	O
.	O
E	O
assim	O
se	O
criou	O
a	O
verdade	O
oficial	O
de	O
que	O
estava	O
aí	O
um	O
grande	O
Benfica	B-PESSOA
,	O
que	O
nada	O
nem	O
ninguém	O
conseguiriam	O
parar	O
.	O
Agora	O
,	O
três	O
súbitas	O
derrotas	O
depois	O
,	O
cai	O
-	O
se	O
no	O
extremo	O
oposto	O
.	O
E	O
na	O
pior	O
altura	O
,	O
quando	O
a	O
equipa	O
mais	O
precisava	O
da	O
confiança	O
dos	O
seus	O
.	O
Mas	O
,	O
se	O
entre	B-TEMPO
hoje	I-TEMPO
e	I-TEMPO
domingo	I-TEMPO
,	O
tudo	O
correr	O
mal	O
para	O
os	O
benfiquistas	O
,	O
é	O
certo	O
e	O
sabido	O
que	O
quem	O
semeou	O
os	O
ventos	O
de	O
ilusão	O
não	O
colherá	O
as	O
tempestades	O
de	O
desilusão	O
.	O
Isso	O
está	O
guardado	O
para	O
um	O
bode	O
expiatório	O
mais	O
conveniente	O
.	O
2	O
.	O
O	O
Benfica	B-PESSOA
jogava	O
em	O
Guimarães	B-LOCAL
sob	O
o	O
peso	O
de	O
ter	O
três	O
jogadores	O
ameaçados	O
de	O
não	O
poderem	O
defrontar	O
o	O
FC	B-PESSOA
Porto	I-PESSOA
caso	O
vissem	O
um	O
cartão	O
amarelo	O
.	O
Lucílio	B-PESSOA
Baptista	I-PESSOA
foi	O
a	O
escolha	O
adequada	O
para	O
a	O
ocasião	O
(	O
mas	O
digo	O
desde	O
já	O
que	O
nenhum	O
daqueles	O
três	O
mereceu	O
um	O
amarelo	O
)	O
.	O
Mas	O
,	O
no	O
resto	O
,	O
Lucílio	B-PESSOA
não	O
deixou	O
os	O
seus	O
predicados	O
por	O
mãos	O
alheias	O
:	O
num	O
jogo	O
sem	O
dureza	O
nem	O
indisciplina	O
,	O
com	O
faltas	O
distribuídas	O
por	O
igual	O
por	O
ambas	O
as	O
equipas	O
,	O
Lucílio	B-PESSOA
Batista	I-PESSOA
conseguiu	O
marcar	O
o	O
dobro	O
de	O
faltas	O
ao	O
Vitória	B-PESSOA
,	O
deixando	O
inúmeras	O
por	O
assinalar	O
contra	O
o	O
Benfica	B-PESSOA
,	O
e	O
mostrar	O
sete	O
cartões	O
amarelos	O
a	O
jogadores	O
do	O
Guimarães	B-ORGANIZACAO
contra	O
apenas	O
um	O
aos	O
benfiquistas	O
.	O
3	O
.	O
E	O
,	O
a	O
propósito	O
do	O
«	O
Apito	B-OBRA
Dourado	I-OBRA
»	O
,	O
essa	O
mega	O
investigação	O
judicial	O
,	O
que	O
parece	O
ter	O
o	O
condão	O
de	O
vir	O
a	O
arrastar	O
-	O
se	O
durante	B-TEMPO
anos	I-TEMPO
,	O
tornando	O
alguns	O
eternamente	O
suspeitos	O
(	O
ou	O
até	O
mesmo	O
já	O
condenados	O
,	O
a	O
quem	O
isso	O
convém	O
)	O
e	O
outros	O
estranhamente	O
imunes	O
às	O
suspeitas	O
,	O
aguardei	O
com	O
alguma	O
curiosidade	O
o	O
despacho	O
de	O
pronúncia	O
,	O
no	O
que	O
se	O
refere	O
ao	O
presidente	B-PESSOA
do	I-PESSOA
FC	I-PESSOA
Porto	I-PESSOA
.	O
Mas	O
,	O
afinal	O
e	O
como	O
aqui	O
antecipei	O
desde	O
o	O
início	O
,	O
a	O
montanha	O
pariu	O
um	O
rato	O
,	O
ou	O
pior	O
ainda	O
,	O
pariu	O
a	O
insustentável	O
continuação	O
das	O
suspeitas	O
por	O
confirmar	O
.	O
Mais	B-TEMPO
de	I-TEMPO
um	I-TEMPO
ano	I-TEMPO
de	O
investigações	O
decorrido	O
,	O
depois	O
daquele	O
imenso	O
aparato	O
policial	O
-	O
mediático	O
para	O
ouvir	O
o	O
«	O
suspeitíssimo	O
»	O
Pinto	B-PESSOA
da	I-PESSOA
Costa	I-PESSOA
,	O
depois	O
de	O
dezenas	O
ou	O
centenas	O
de	O
milhares	O
de	O
contos	O
gastos	O
aos	O
contribuintes	O
,	O
depois	O
de	O
não	O
sei	O
quantas	O
prorrogações	O
de	O
prazo	O
a	O
favor	O
do	O
Ministério	B-ORGANIZACAO
Público	I-ORGANIZACAO
,	O
depois	O
do	O
reforço	O
extraordinário	O
dos	O
meios	O
de	O
investigação	O
,	O
a	O
«	O
task	O
force	O
»	O
judicial	O
de	O
Gondomar	B-LOCAL
conclui	O
apenas	O
em	O
extrair	O
certidões	O
do	O
processo	O
para	O
que	O
outros	O
continuem	O
a	O
investigar	O
Pinto	B-PESSOA
da	I-PESSOA
Costa	I-PESSOA
.	O
E	O
,	O
quanto	O
a	O
factos	O
novos	O
,	O
indícios	O
novos	O
,	O
provas	O
recolhidas	O
,	O
nada	O
.	O
A	O
suspeita	O
«	O
gravíssima	O
»	O
mantém	O
-	O
se	O
rigorosamente	O
a	O
mesma	O
de	B-TEMPO
há	I-TEMPO
um	I-TEMPO
ano	I-TEMPO
atrás	I-TEMPO
:	O
em	B-TEMPO
2004	I-TEMPO
,	O
o	O
FC	B-PESSOA
Porto	I-PESSOA
de	O
José	B-PESSOA
Mourinho	I-PESSOA
,	O
já	O
virtual	O
campeão	O
nacional	O
,	O
com	O
alguns	O
onze	O
pontos	O
de	O
avanço	O
sobre	O
o	O
segundo	O
classificado	O
,	O
o	O
Benfica	B-PESSOA
,	O
a	B-TEMPO
semanas	I-TEMPO
de	O
se	O
tornar	O
campeão	O
europeu	O
,	O
terá	O
subornado	O
,	O
com	O
recurso	O
a	O
«	O
meninas	O
»	O
o	O
árbitro	O
do	O
encontro	O
no	O
Dragão	B-LOCAL
contra	O
o	O
E.	B-PESSOA
Amadora	I-PESSOA
,	O
em	O
vias	O
de	O
despromoção	O
,	O
como	O
forma	O
de	O
garantir	O
a	O
vitória	O
no	O
jogo	O
---	O
parece	O
que	O
,	O
de	O
outra	O
maneira	O
,	O
não	O
conseguiriam	O
ganhar	O
.	O
E	O
é	O
nisto	O
que	O
se	O
gasta	O
o	O
tempo	O
e	O
o	O
dinheiro	O
dos	O
contribuintes	O
:	O
não	O
fazendo	O
justiça	O
,	O
mas	O
mantendo	O
eternas	O
as	O
suspeitas	O
que	O
a	O
tantos	O
convém	O
.	O
Mas	O
também	O
a	O
verdade	O
é	O
que	O
,	O
à	O
luz	O
do	O
que	O
está	O
em	O
causa	O
---	O
e	O
é	O
apenas	O
isto---	O
só	O
acredita	O
,	O
ou	O
finge	O
acreditar	O
,	O
quem	O
quer	O
.	O
4	O
.	O
E	O
,	O
pé	O
ante	O
pé	O
,	O
o	O
Sporting	B-PESSOA
está	O
a	O
cinco	O
pontos	O
do	O
FC	B-PESSOA
Porto	I-PESSOA
e	O
poderá	O
ficar	O
a	O
dois	O
se	O
,	O
domingo	B-TEMPO
na	O
Luz	B-LOCAL
,	O
a	O
equipa	O
de	O
Adriaanse	B-PESSOA
falhar	O
mais	O
uma	O
vez	O
num	O
jogo	O
decisivo	O
.	O
Dou	O
-	O
me	O
conta	O
,	O
já	O
há	B-TEMPO
um	I-TEMPO
tempo	I-TEMPO
,	O
que	O
muito	O
pouco	O
ou	O
quase	O
nada	O
tenho	O
escrito	O
sobre	O
o	O
Sporting	B-PESSOA
esta	O
época	O
.	O
A	O
razão	O
é	O
simples	O
e	O
vai	O
parecer	O
escandalosa	O
aos	O
olhos	O
dos	O
indefectíveis	O
sportinguistas	O
,	O
mas	O
acarreto	O
as	O
consequências	O
de	O
porventura	O
vir	O
a	O
ter	O
de	O
engolir	O
o	O
que	O
vou	O
escrever	O
:	O
não	O
vejo	O
que	O
o	O
Sporting	B-PESSOA
tenha	O
futebol	O
para	O
ser	O
campeão	O
nacional	O
,	O
esta	O
época	O
.	O
Estão	O
em	O
segundo	O
lugar	O
,	O
já	O
só	O
a	O
cinco	O
pontos	O
e	O
ainda	O
vão	O
receber	O
o	O
FC	B-PESSOA
Porto	I-PESSOA
em	O
Alvalade	B-LOCAL
?	O
Pois	O
,	O
é	O
facto	O
.	O
Mas	O
,	O
mesmo	O
assim	O
,	O
não	O
me	O
convencem	O
.	O
Ainda	O
esta	B-TEMPO
semana	I-TEMPO
o	O
que	O
vi	O
,	O
contra	O
o	O
Paços	B-PESSOA
de	I-PESSOA
Ferreira	I-PESSOA
e	O
em	O
Alvalade	B-LOCAL
,	O
foi	O
uma	O
equipa	O
que	O
chegou	O
ao	O
golo	O
num	O
penalty	O
duvidoso	O
e	O
caído	O
dos	O
céus	O
,	O
que	O
dele	O
viveu	O
toda	O
a	O
segunda	O
parte	O
,	O
sem	O
criar	O
uma	O
só	O
oportunidade	O
de	O
golo	O
e	O
que	O
,	O
já	O
próximo	O
do	O
final	O
,	O
marcou	O
o	O
segundo	O
golo	O
numa	O
jogada	O
precedida	O
de	O
falta	O
e	O
ainda	O
um	O
terceiro	O
depois	B-TEMPO
da	I-TEMPO
hora	I-TEMPO
.	O
Um	O
3	B-VALOR
-	I-VALOR
0	I-VALOR
absolutamente	O
enganador	O
,	O
num	O
jogo	O
que	O
não	O
mereceu	O
sequer	O
ganhar	O
.	O
Como	O
disse	O
,	O
é	O
possível	O
que	O
ainda	O
tenha	O
de	O
engolir	O
esta	O
opinião	O
.	O
Mas	O
,	O
se	O
isso	O
acontecer	O
,	O
é	O
porque	O
o	O
FC	B-PESSOA
Porto	I-PESSOA
entregou	O
o	O
ouro	O
ao	O
bandido	O
.	O
©	O
Miguel	O
Sousa	O
Tavares	O
-	O
Jornal	O
"	O
A	O
Bola	O
"	O
-	O
21.02.2006	O
O	O
Pai	B-PESSOA
Natal	I-PESSOA
,	O
Artur	B-PESSOA
Jorge	I-PESSOA
e	O
o	O
BCP	B-ORGANIZACAO
O	O
Governo	B-ORGANIZACAO
russo	O
proibiu	O
uma	O
campanha	O
de	O
uma	O
cadeia	O
de	O
distribuição	O
,	O
que	O
tinha	O
por	O
lema	O
"	O
O	O
Pai	B-PESSOA
Natal	I-PESSOA
não	O
existe	O
"	O
.	O
O	O
argumento	O
é	O
que	O
tal	O
ideia	O
era	O
nefasta	O
para	O
as	O
criancinhas	O
russas	O
.	O
Conclusão	O
:	O
o	O
Governo	B-ORGANIZACAO
russo	O
acredita	O
no	O
Pai	B-ABSTRACCAO
Natal	I-ABSTRACCAO
e	O
quer	O
que	O
as	O
criancinhas	O
também	O
acreditem	O
.	O
Artur	B-PESSOA
Jorge	I-PESSOA
foi	O
,	O
entretanto	O
,	O
escolhido	O
para	O
seleccionador	O
do	O
Irão	B-PESSOA
,	O
equipa	O
que	O
se	O
encontrava	O
há	B-TEMPO
seis	I-TEMPO
meses	I-TEMPO
sem	O
treinador	O
.	O
Tendo	O
em	O
atenção	O
o	O
que	O
se	O
tem	O
passado	O
nos	B-TEMPO
últimos	I-TEMPO
anos	I-TEMPO
na	O
carreira	O
do	O
ex	O
-	O
treinador	O
do	O
FC	B-PESSOA
Porto	I-PESSOA
,	O
que	O
nunca	O
termina	O
os	O
contratos	O
e	O
acaba	O
sempre	O
despedido	O
com	O
uma	O
choruda	O
indemnização	O
,	O
bem	O
se	O
pode	O
dizer	O
que	O
a	O
Federação	B-ORGANIZACAO
Iraniana	I-ORGANIZACAO
de	I-ORGANIZACAO
Futebol	I-ORGANIZACAO
acredita	O
no	O
Pai	B-PESSOA
Natal	I-PESSOA
.	O
E	O
Artur	B-PESSOA
Jorge	I-PESSOA
também	O
,	O
claro	O
.	O
Por	O
outro	O
lado	O
,	O
a	O
escolha	O
do	O
presidente	B-PESSOA
da	I-PESSOA
Caixa	I-PESSOA
Geral	I-PESSOA
de	I-PESSOA
Depósitos	I-PESSOA
para	O
presidir	O
ao	O
BCP	B-ORGANIZACAO
só	O
pode	O
igualmente	O
ser	O
obra	O
do	O
Pai	B-PESSOA
Natal	I-PESSOA
.	O
Carlos	B-PESSOA
Santos	I-PESSOA
Ferreira	I-PESSOA
é	O
visto	O
como	O
o	O
homem	O
que	O
vai	O
trazer	O
a	O
concórdia	O
para	O
um	O
banco	O
que	O
não	O
vive	O
em	O
paz	O
há	O
muito	O
-	O
mesmo	O
que	O
o	O
vá	O
fazer	O
à	O
custa	O
do	O
banco	O
do	O
Estado	B-ORGANIZACAO
.	O
Por	O
isso	O
,	O
o	O
ministro	B-PESSOA
das	I-PESSOA
Finanças	I-PESSOA
,	O
que	O
autorizou	O
esta	O
mudança	O
sem	O
pestanejar	O
,	O
também	O
deve	O
acreditar	O
no	O
Pai	B-ABSTRACCAO
Natal	I-ABSTRACCAO
.	O
Não	O
lhe	O
passa	O
pela	O
cabeça	O
que	O
Santos	B-PESSOA
Ferreira	I-PESSOA
,	O
com	O
o	O
que	O
sabe	O
da	O
Caixa	B-ORGANIZACAO
,	O
fique	O
em	O
excelente	O
posição	O
para	O
ganhar	O
quota	O
de	O
mercado	O
ao	O
banco	O
público	O
,	O
que	O
vai	O
este	B-TEMPO
ano	I-TEMPO
dar	O
mais	B-VALOR
de	I-VALOR
800	I-VALOR
milhões	I-VALOR
de	O
lucros	O
,	O
dos	O
quais	O
400	B-VALOR
milhões	I-VALOR
vão	O
direitinhos	O
para	O
os	O
cofres	O
do	O
Estado	B-ORGANIZACAO
a	O
título	O
de	O
IRC	B-COISA
.	O
Se	O
Santos	B-PESSOA
Ferreira	I-PESSOA
tiver	O
sucesso	O
no	O
BCP	B-ORGANIZACAO
,	O
quem	O
vai	O
sofrer	O
é	O
a	O
Caixa	B-ORGANIZACAO
-	O
e	O
,	O
por	O
tabela	O
,	O
todos	O
nós	O
,	O
contribuintes	O
.	O
Porque	O
quanto	O
menos	O
o	O
Estado	B-ORGANIZACAO
receber	O
de	O
dividendos	O
das	O
empresas	O
públicas	O
,	O
mais	O
o	O
Estado	B-ORGANIZACAO
será	O
tentado	O
a	O
vir	O
buscar	O
-	O
nos	O
dinheiro	O
aos	O
bolsos	O
.	O
Por	O
outras	O
palavras	O
,	O
os	O
únicos	O
que	O
não	O
têm	O
razões	O
para	O
acreditar	O
no	O
Pai	B-ABSTRACCAO
Natal	I-ABSTRACCAO
são	O
os	O
contribuintes	O
portugueses	O
.	O
Nicolau	B-PESSOA
Santos	I-PESSOA
Prioridades	O
1	O
.	O
Revisão	O
do	O
mecanismo	O
comunitário	O
de	O
protecção	O
civil	O
Desde	B-TEMPO
2005	I-TEMPO
,	O
na	O
sequência	O
de	O
uma	O
proposta	O
da	O
Comissão	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
,	O
o	O
Mecanismo	B-OBRA
Comunitário	I-OBRA
de	I-OBRA
Protecção	I-OBRA
Civil	I-OBRA
foi	O
alvo	O
de	O
uma	O
profunda	O
revisão	O
,	O
a	O
qual	O
decorre	O
também	O
do	O
enquadramento	O
motivado	O
pelo	O
novo	O
Instrumento	B-OBRA
Financeiro	I-OBRA
para	I-OBRA
a	I-OBRA
Protecção	I-OBRA
Civil	I-OBRA
recentemente	O
aprovado	O
.	O
O	O
acordo	O
político	O
quanto	O
à	O
revisão	O
foi	O
obtido	O
durante	O
a	O
Presidência	B-ACONTECIMENTO
Alemã	I-ACONTECIMENTO
,	O
tendo	O
cabido	O
a	O
Portugal	B-ORGANIZACAO
concluir	O
o	O
processo	O
de	O
revisão	O
.	O
Com	O
a	O
adopção	O
da	O
revisão	O
do	O
Mecanismo	B-OBRA
no	O
Conselho	B-ORGANIZACAO
de	I-ORGANIZACAO
Justiça	I-ORGANIZACAO
e	I-ORGANIZACAO
Assuntos	I-ORGANIZACAO
Internos	I-ORGANIZACAO
de	B-TEMPO
8	I-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
,	O
este	O
processo	O
ficou	O
concluído	O
,	O
passando	O
a	O
União	B-ORGANIZACAO
a	O
ficar	O
dotado	O
de	O
um	O
Mecanismo	B-OBRA
mais	O
expedito	O
para	O
resposta	O
a	O
emergências	O
graves	O
.	O
As	O
principais	O
novidades	O
do	O
Mecanismo	B-OBRA
são	O
a	O
clarificação	O
de	O
competências	O
entre	O
a	O
Comissão	B-ORGANIZACAO
e	O
a	O
Presidência	B-ORGANIZACAO
no	O
quadro	O
de	O
intervenções	O
em	O
países	O
terceiros	O
,	O
a	O
existência	O
de	O
competências	O
comunitárias	O
ao	O
nível	O
do	O
transporte	O
e	O
a	O
criação	O
,	O
numa	O
base	O
voluntária	O
,	O
de	O
módulos	O
de	O
protecção	O
civil	O
.	O
2	O
.	O
Sistemas	B-OBRA
de	I-OBRA
Alerta	I-OBRA
Precoce	I-OBRA
A	O
necessidade	O
de	O
melhorar	O
os	O
actuais	O
ou	O
de	O
estabelecer	O
novos	O
Sistemas	B-OBRA
de	I-OBRA
Alerta	I-OBRA
Precoce	I-OBRA
na	O
União	B-LOCAL
Europeia	I-LOCAL
foi	O
reconhecida	O
pelo	O
Conselho	B-ORGANIZACAO
em	O
diversas	O
ocasiões	O
.	O
Em	O
particular	O
,	O
o	O
Conselho	B-ORGANIZACAO
adoptou	O
,	O
em	B-TEMPO
2005	I-TEMPO
,	O
o	O
Programa	B-OBRA
de	I-OBRA
Acção	I-OBRA
para	I-OBRA
Tsunamis	I-OBRA
e	O
afirmou	O
que	O
«	O
A	O
Comissão	B-ORGANIZACAO
é	O
convidada	O
a	O
fazer	O
propostas	O
[	O
envolvendo	O
]	O
a	O
criação	O
de	O
um	O
sistema	O
de	O
detecção	O
e	O
alerta	O
precoce	O
(	O
...	O
)	O
para	O
o	O
Mediterrâneo	B-LOCAL
e	O
o	O
Atlântico	B-LOCAL
»	O
.	O
Mais	O
recentemente	O
,	O
o	O
Instrumento	B-OBRA
Financeiro	I-OBRA
para	I-OBRA
a	I-OBRA
Protecção	I-OBRA
Civil	I-OBRA
definiu	O
que	O
a	O
criação	O
de	O
um	O
sistema	O
de	O
detecção	O
e	O
alerta	O
precoce	O
é	O
elegível	O
para	O
assistência	O
financeira	O
através	O
de	O
acções	O
como	O
estudos	O
,	O
avaliações	O
e	O
estabelecimento	O
de	O
interligações	O
.	O
Para	O
contribuir	O
para	O
este	O
debate	O
,	O
a	O
ANPC	B-ORGANIZACAO
realizou	O
,	O
de	B-TEMPO
15	I-TEMPO
a	I-TEMPO
18	I-TEMPO
de	I-TEMPO
Julho	I-TEMPO
,	O
em	O
Albufeira	B-LOCAL
,	O
um	O
seminário	O
sobre	O
Sistemas	B-ABSTRACCAO
de	I-ABSTRACCAO
Alerta	I-ABSTRACCAO
Precoce	I-ABSTRACCAO
,	O
o	O
qual	O
reuniu	O
cerca	B-VALOR
de	I-VALOR
120	I-VALOR
especialistas	O
da	O
maior	O
parte	O
dos	O
Estados	B-LOCAL
-	I-LOCAL
Membros	I-LOCAL
e	O
no	O
qual	O
se	O
procurou	O
:	O
-	O
discutir	O
o	O
estado	O
da	O
arte	O
quanto	O
a	O
sistemas	O
de	O
alerta	O
;	O
-	O
identificar	O
lacunas	O
existentes	O
no	O
espaço	O
da	O
União	B-LOCAL
Europeia	I-LOCAL
(	O
ex	O
:	O
sistema	O
de	O
alerta	O
precoce	O
para	O
tsunamis	O
)	O
e	O
delinear	O
as	O
bases	O
para	O
um	O
Plano	B-OBRA
de	I-OBRA
Acção	I-OBRA
destinado	O
a	O
suprir	O
as	O
lacunas	O
identificadas	O
;	O
-	O
debater	O
assuntos	O
transversais	O
,	O
tais	O
como	O
o	O
desenvolvimento	O
de	O
directrizes	O
para	O
o	O
estabelecimento	O
de	O
sinais	O
comuns	O
de	O
alerta	O
a	O
nível	O
europeu	O
.	O
Com	O
base	O
nas	O
conclusões	O
do	O
seminário	O
e	O
nos	O
resultados	O
dos	O
trabalhos	O
desenvolvidos	O
pela	O
Comissão	B-ORGANIZACAO
,	O
ao	O
nível	O
de	O
grupo	O
de	O
peritos	O
,	O
foi	O
possível	O
obter	O
acordo	O
sobre	O
dois	O
documentos	O
de	O
Conclusões	B-OBRA
do	O
Conselho	B-PESSOA
adoptados	O
no	O
Conselho	B-ACONTECIMENTO
JAI	I-ACONTECIMENTO
de	B-TEMPO
5/6	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
.	O
Um	O
desses	O
documentos	O
(	O
Conclusões	B-OBRA
do	I-OBRA
Conselho	I-OBRA
sobre	I-OBRA
o	I-OBRA
desenvolvimento	I-OBRA
e	I-OBRA
estabelecimento	I-OBRA
de	I-OBRA
sistemas	I-OBRA
de	I-OBRA
alerta	I-OBRA
precoce	I-OBRA
na	I-OBRA
UE	I-OBRA
)	O
segue	O
uma	O
abordagem	O
global	O
multi	O
-	O
riscos	O
,	O
enquanto	O
o	O
outro	O
(	O
Conclusões	B-OBRA
do	I-OBRA
Conselho	I-OBRA
sobre	I-OBRA
o	I-OBRA
desenvolvimento	I-OBRA
de	I-OBRA
um	I-OBRA
sistema	I-OBRA
de	I-OBRA
alerta	I-OBRA
precoce	I-OBRA
para	I-OBRA
tsunamis	I-OBRA
no	I-OBRA
Atlântico	I-OBRA
Nordeste	I-OBRA
e	I-OBRA
no	I-OBRA
Mediterrâneo	I-OBRA
)	O
direcciona	O
as	O
atenções	O
para	O
o	O
risco	O
de	O
tsunamis	O
.	O
Ambos	O
os	O
documentos	O
contêm	O
diversas	O
propostas	O
de	O
actuação	O
futura	O
por	O
parte	O
da	O
Comissão	B-ORGANIZACAO
e	O
dos	O
Estados	B-ORGANIZACAO
-	I-ORGANIZACAO
Membros	I-ORGANIZACAO
.	O
3	O
.	O
Cooperação	O
com	O
Países	B-ORGANIZACAO
do	O
Mediterrâneo	B-LOCAL
Sul	I-LOCAL
No	O
campo	O
da	O
Protecção	B-ABSTRACCAO
Civil	I-ABSTRACCAO
,	O
UE	B-ORGANIZACAO
e	O
África	B-ORGANIZACAO
partilham	O
uma	O
série	O
de	O
preocupações	O
e	O
riscos	O
comuns	O
,	O
maioritariamente	O
na	O
região	O
Euro	B-LOCAL
-	I-LOCAL
Mediterrânica	I-LOCAL
.	O
Estes	O
riscos	O
estão	O
particularmente	O
relacionados	O
com	O
os	O
incêndios	O
florestais	O
,	O
sismos	O
e	O
tsunamis	O
,	O
acidentes	O
químicos	O
e	O
,	O
também	O
,	O
ameaças	O
terroristas	O
.	O
Por	O
outro	O
lado	O
,	O
é	O
também	O
importante	O
sublinhar	O
o	O
facto	O
de	O
que	O
o	O
Mecanismo	B-OBRA
Comunitário	I-OBRA
de	I-OBRA
Protecção	I-OBRA
Civil	I-OBRA
já	O
interveio	O
por	B-TEMPO
diversas	I-TEMPO
vezes	I-TEMPO
nesta	O
região	O
(	O
ex	O
:	O
sismos	O
da	O
Argélia	B-LOCAL
e	O
de	O
Marrocos	B-LOCAL
)	O
e	O
diversos	O
Estados	B-ORGANIZACAO
-	I-ORGANIZACAO
Membros	I-ORGANIZACAO
mantêm	O
acordos	O
bilaterais	O
de	O
cooperação	O
com	O
os	O
Países	B-ORGANIZACAO
do	O
Mediterrâneo	B-LOCAL
Sul	I-LOCAL
,	O
que	O
conduziram	O
a	O
missões	O
de	O
assistência	O
mútua	O
durante	O
emergências	O
passadas	O
.	O
Existe	O
,	O
pois	O
,	O
espaço	O
mais	O
do	O
que	O
suficiente	O
e	O
vontade	O
comum	O
para	O
uma	O
cooperação	O
mais	O
profunda	O
e	O
forte	O
entre	O
a	O
UE	B-ORGANIZACAO
e	O
África	B-ORGANIZACAO
no	O
campo	O
da	O
protecção	O
civil	O
,	O
nomeadamente	O
com	O
os	O
parceiros	O
do	O
Mediterrâneo	B-LOCAL
.	O
Assim	O
,	O
pretendeu	O
-	O
se	O
reforçar	O
a	O
cooperação	O
com	O
os	O
países	O
do	O
Mediterrâneo	B-LOCAL
Sul	I-LOCAL
,	O
através	O
de	O
acções	O
tais	O
como	O
a	O
partilha	O
de	O
boas	O
práticas	O
e	O
informação	O
sobre	O
riscos	O
comuns	O
,	O
cooperação	O
nos	O
sistemas	O
de	O
alerta	O
precoce	O
ou	O
exercícios	O
conjuntos	O
.	O
De	O
forma	O
a	O
permitir	O
uma	O
mais	O
abrangente	O
troca	O
de	O
pontos	O
de	O
vista	O
neste	O
campo	O
,	O
realizou	O
-	O
se	O
no	B-TEMPO
dia	I-TEMPO
24	I-TEMPO
de	I-TEMPO
Outubro	I-TEMPO
,	O
no	O
Porto	B-LOCAL
,	O
uma	O
reunião	O
informal	O
entre	O
os	O
Directores	B-PESSOA
-	I-PESSOA
Gerais	I-PESSOA
de	I-PESSOA
Protecção	I-PESSOA
Civil	I-PESSOA
dos	O
Países	B-ORGANIZACAO
do	O
Mediterrâneo	B-LOCAL
e	O
os	O
Directores	B-PESSOA
-	I-PESSOA
Gerais	I-PESSOA
de	I-PESSOA
Protecção	I-PESSOA
Civil	I-PESSOA
da	O
União	B-ORGANIZACAO
Europeia	I-ORGANIZACAO
.	O
Essa	O
reunião	O
permitiu	O
concluir	O
da	O
existência	O
de	O
abertura	O
para	O
um	O
trabalho	O
comum	O
futuro	O
,	O
o	O
qual	O
,	O
numa	O
primeira	O
fase	O
,	O
deverá	O
estar	O
integrado	O
do	O
Programa	B-OBRA
para	I-OBRA
a	I-OBRA
Prevenção	I-OBRA
e	I-OBRA
Redução	I-OBRA
de	I-OBRA
Desastres	I-OBRA
do	O
Projecto	B-OBRA
Euromed	I-OBRA
e	O
,	O
numa	O
segunda	O
fase	O
,	O
deverá	O
visar	O
a	O
inclusão	O
de	O
países	O
do	O
Mediterrâneo	B-LOCAL
no	O
Mecanismo	B-OBRA
Comunitário	I-OBRA
de	I-OBRA
Protecção	I-OBRA
Civil	I-OBRA
.	O
4	O
.	O
Consenso	O
Europeu	O
sobre	O
Ajuda	O
Humanitária	O
Na	O
sequência	O
de	O
uma	O
Comunicação	B-OBRA
da	O
Comissão	B-ORGANIZACAO
,	O
o	O
Conselho	B-ORGANIZACAO
discutiu	O
,	O
no	O
seu	O
grupo	O
de	O
Trabalho	O
de	O
Cooperação	B-ABSTRACCAO
e	I-ABSTRACCAO
Desenvolvimento	I-ABSTRACCAO
(	O
CODEV	B-ORGANIZACAO
)	O
uma	O
proposta	O
de	O
Consenso	B-OBRA
Europeu	I-OBRA
sobre	I-OBRA
Ajuda	I-OBRA
Humanitária	I-OBRA
.	O
Tal	O
documento	O
contém	O
referências	O
à	O
actuação	O
da	O
protecção	O
civil	O
nos	O
contextos	O
de	O
crises	O
humanitárias	O
,	O
pelo	O
que	O
foi	O
também	O
discutido	O
no	O
Grupo	B-ORGANIZACAO
de	I-ORGANIZACAO
Trabalho	I-ORGANIZACAO
PROCIV	I-ORGANIZACAO
,	O
tendo	O
sido	O
produzido	O
um	O
aconselhamento	O
em	B-TEMPO
Julho	I-TEMPO
.	O
