Quadrinhos	B-ABSTRACCAO_DISCIPLINA
em	O
Lisboa	B-LOCAL_HUMANO
,	O
disse	O
à	O
agência	O
Lusa	B-ORGANIZACAO_EMPRESA
uma	O
fonte	O
daquele	B-TEMPO_TEMPO_CALEND
hospital.	O
Com	O
3,520	O
quilos	O
,	O
o	O
bebé	O
nasceu	O
de	O
parto	O
normal	O
e	B-PESSOA_INDIVIDUAL
encontra-se	O
bem	O
,	O
tal	O
como	O
a	O
sua	O
mãe	O
,	O
Mariana	O
,	O
de	O
16	B-VALOR_QUANTIDADE
anos	I-VALOR_QUANTIDADE
.	O
O	O
provável	O
segundo	O
bebé	O
do	O
ano	O
nasceu	O
no	O
Hospital	B-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
São	I-ORGANIZACAO_INSTITUICAO
João	B-PESSOA_INDIVIDUAL
,	O
no	O
Porto	B-LOCAL_HUMANO
ao	O
primeiro	O
minuto	B-TEMPO_DURACAO
do	O
dia	O
,	O
de	O
parto	O
normal.	O
Chama-se	O
Francisco	B-ABSTRACCAO_DISCIPLINA
e	O
é	O
o	O
terceiro	B-TEMPO_TEMPO_CALEND
filho	O
de	O
um	O
casal	O
residente	O
no	O
Porto	B-LOCAL_HUMANO
,	O
disse	O
à	O
Lusa	B-ORGANIZACAO_EMPRESA
fonte	O
hospitalar.	O
Ao	O
quinto	O
minuto	B-TEMPO_DURACAO
do	O
dia	O
,	O
novamente	O
na	O
Maternidade	O
Alfredo	O
da	O
Costa	B-PESSOA_INDIVIDUAL
,	O
em	O
Lisboa	B-LOCAL_HUMANO
,	O
nasceu	O
um	O
rapaz	O
,	O
de	O
parto	O
assistido	O
por	B-TEMPO_FREQUENCIA
ventosa	O
,	O
com	O
3,360	O
quilos	O
.	O
O	O
bebé	O
encontra-se	O
bem	O
,	O
tal	O
como	O
a	O
mãe	O
,	O
Cristina	B-PESSOA_INDIVIDUAL
,	O
de	O
30	B-VALOR_MOEDA
anos	O
,	O
disse	O
à	O
Lusa	B-ORGANIZACAO_EMPRESA
a	O
fonte	O
do	O
hospital.	O
Quantas	O
pessoas	O
tiverem	O
que	O
abandonar	O
as	O
sus	O
casas	O
durante	O
as	O
cheias	O
de	O
1995	B-TEMPO_TEMPO_CALEND
na	O
Holanda	B-PESSOA_INDIVIDUAL
?	O
Que	O
percentagem	O
da	O
Holanda	B-PESSOA_INDIVIDUAL
está	O
abaixo	O
do	O
nível	O
do	O
mar	O
?	O
Que	O
altura	O
atingiram	O
as	O
águas	O
em	O
Lobith	O
durante	O
as	O
cheias	O
?	O
Quem	O
era	O
o	O
primeiro-ministro	O
holandês	O
na	O
altura	O
?	O
Quais	O
os	O
nomes	O
completos	O
de	O
Flanders	O
e	B-PESSOA_INDIVIDUAL
Swann	O
?	O
Em	O
que	O
ano	O
é	O
que	O
eles	O
se	O
tornaram	O
famosos	O
?	O
Em	O
que	O
línguas	O
é	O
que	O
Flanders	O
e	B-PESSOA_INDIVIDUAL
Swann	O
cantavam	O
?	O
Em	O
que	O
ano	O
morreu	O
Flanders	O
?	O
No	B-TEMPO_TEMPO_CALEND
duo	O
``	O
Flanders	O
e	B-PESSOA_INDIVIDUAL
Swann	O
``	O
,	O
que	O
instrumento	O
tocava	O
Swann	O
?	O
Em	O
que	O
país	O
é	O
que	O
Swann	O
nasceu	O
?	O
Em	O
que	O
cidade	O
morreu	O
Swann	O
?	O
Como	O
se	O
chamava	O
a	O
mulher	O
de	O
Swann	O
?	O
De	O
que	O
país	O
é	O
que	O
Pierre	B-PESSOA_INDIVIDUAL
Beregovoy	O
era	O
primeiro-ministro	O
?	O
Em	O
que	O
ano	O
é	O
que	O
Beregovoy	O
se	O
suicidou	O
?	O
A	O
que	O
partido	O
político	O
pertencia	O
?	O
Quantos	O
fogos	O
florestais	O
ocorreram	O
perto	O
de	O
Sydney	O
em	B-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Quantas	O
casas	O
foram	O
destruídas	O
nos	O
subúrbios	O
de	O
Sydney	O
?	O
Que	O
área	O
de	O
prados	O
e	B-PESSOA_INDIVIDUAL
florestas	O
ardeu	O
na	O
Nova	B-LOCAL_HUMANO
Gales	O
do	O
Sul	B-LOCAL_HUMANO
?	O
Qual	O
a	O
velocidade	O
do	O
vento	B-OBRA_REPRODUZIDA
durante	O
os	O
incêndios	O
?	O
Como	O
se	O
chamava	O
a	O
barcaça	O
que	O
afundou	O
em	O
Porto	B-LOCAL_HUMANO
Rico	O
a	B-TEMPO_TEMPO_CALEND
7	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
é	O
que	O
a	O
barcaça	O
bateu	O
?	O
Que	O
quantidade	O
de	O
óleo	O
para	O
aquecimento	O
foi	O
derramada	O
na	O
água	O
?	O
Quantas	O
milhas	O
de	O
praia	O
tem	O
Porto	B-LOCAL_HUMANO
Rico	O
?	O
O	O
que	O
é	O
o	O
Síndroma	O
da	O
Guerra	B-ACONTECIMENTO_EFEMERIDE
do	O
Golfo	O
?	O
Quantas	O
pessoas	O
é	O
que	O
afectou	O
?	O
A	O
que	O
horas	O
é	O
que	O
caiu	O
o	O
telhado	O
do	O
supermercado	O
Casino	B-LOCAL_HUMANO
em	O
Nice	B-LOCAL_HUMANO
?	O
De	O
que	O
material	O
era	O
feito	O
o	O
telhado	O
do	O
supermercado	O
?	O
Quantas	O
pessoas	O
morreram	O
no	O
acidente	O
?	O
Em	O
que	O
país	O
ficava	O
o	O
supermercado	O
?	O
Quando	O
é	O
que	O
foram	O
ordenadas	O
as	O
primeiras	O
mulheres	O
pela	O
Igreja	B-ORGANIZACAO_INSTITUICAO
de	O
Inglaterra	B-LOCAL_HUMANO
?	O
Quantas	O
mulheres	O
foram	O
ordenadas	O
?	O
Quem	O
é	O
que	O
era	O
então	O
Arcebispo	O
de	O
Cantuária	O
?	O
Em	O
que	O
catedral	O
é	O
que	O
se	O
realizaram	O
as	O
ordenações	O
?	O
Diga	O
marcas	O
de	O
azeite.	O
Diga	O
países	O
onde	O
se	O
produz	O
azeite.	O
Que	B-OBRA_REPRODUZIDA
quantidade	O
de	O
azeite	O
foi	O
importada	O
pelos	O
Estados	B-LOCAL_HUMANO
Unidos	I-LOCAL_HUMANO
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Quantas	O
variedades	O
de	O
azeitona	O
são	O
utilizadas	O
para	O
fazer	O
azeite	O
?	O
De	O
que	O
grupo	O
faz	O
parte	O
a	O
Skoda	O
?	O
Que	O
tipo	O
de	O
Skoda	O
tinha	O
o	O
motor	O
à	O
retaguarda	O
?	O
Em	O
que	O
país	O
se	O
produzem	O
os	O
Skodas	O
?	O
Em	O
que	O
século	B-TEMPO_TEMPO_CALEND
foi	O
fundada	O
a	O
Skoda	O
?	O
O	O
que	O
é	O
que	O
Alister	O
McRae	O
faz	O
?	O
De	O
onde	O
é	O
que	O
ele	O
é	O
?	O
Que	O
idade	O
é	O
que	O
ele	O
tinha	O
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
tipo	O
de	O
carro	O
é	O
que	O
Alister	O
McRae	O
competiu	O
no	O
Rali	O
dos	O
Mil	O
Lagos	B-LOCAL_FISICO
,	O
na	O
Finlândia	B-LOCAL_HUMANO
,	O
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Qual	O
a	O
profissão	O
de	O
Billy	O
Connolly	O
?	O
Qual	O
a	O
sua	O
nacionalidade	O
?	O
Que	O
filme	O
com	O
Connolly	O
ganhou	O
o	O
prémio	O
de	O
melhor	O
drama	O
nos	O
Prémios	O
Bafta	O
escoceses	O
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Qual	O
a	O
profissão	O
de	O
Kiri	O
Te	O
Kanawa	O
?	O
Para	O
que	O
companhia	O
discográfica	O
é	O
que	O
ela	O
gravou	O
La	B-OBRA_REPRODUZIDA
Boheme	O
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Qual	O
a	O
profissão	O
de	O
Michael	B-PESSOA_INDIVIDUAL
Barrymore	O
?	O
Diga	O
um	O
programa	O
de	O
televisão	O
apresentado	O
por	B-TEMPO_FREQUENCIA
Michael	B-PESSOA_INDIVIDUAL
Barrymore	O
.	O
Quanto	O
tempo	O
é	O
que	O
durou	O
o	O
casamento	O
dele	O
?	O
Como	O
é	O
que	O
se	O
chamava	O
a	O
mulher	O
dele	O
?	O
Qual	O
a	O
profissão	O
de	O
John	B-PESSOA_INDIVIDUAL
Barbirolli	O
?	O
Quem	O
foi	O
o	O
solista	O
de	O
violoncelo	O
no	O
``	O
Concerto	O
para	O
Violoncelo	O
``	O
de	O
Elgar	O
que	O
ele	O
gravou	O
em	O
1965	O
?	O
Diga	O
uma	O
orquestra	O
de	O
Manchester	B-PESSOA_GRUPOMEMBRO
que	O
Barbirolli	O
tenha	O
dirigido.	O
Diga	O
uma	O
orquestra	O
americana	O
dirigida	O
por	O
Barbirolli	O
.	O
Em	O
que	O
país	O
do	O
Reino	B-ORGANIZACAO_ADMINISTRACAO
Unido	I-ORGANIZACAO_ADMINISTRACAO
fica	O
Perth	O
?	O
Que	O
rua	O
é	O
conhecida	O
como	O
a	O
\	O
''	O
Milha	O
motorizada	O
de	O
Perth\	O
''	O
?	O
Diga	O
empresas	O
de	O
Perth	O
.	O
Diga	O
um	O
rio	O
que	O
banhe	O
Perth	O
.	O
Quantos	O
locais	O
pertencem	O
ao	O
sistema	O
de	O
Parques	O
Nacionais	B-PESSOA_GRUPOMEMBRO
dos	O
Estados	B-LOCAL_HUMANO
Unidos	I-LOCAL_HUMANO
?	O
Quantos	O
acres	O
têm	O
os	O
parques	O
nacionais	O
no	O
seu	O
conjunto	O
?	O
Qual	O
foi	O
o	O
primeiro	O
parque	O
?	O
Diga	O
os	O
dois	O
parques	O
criados	O
a	O
31	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Outubro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
.	O
Que	O
espécie	O
de	O
animal	O
é	O
que	O
Victor	O
Bernal	O
tentou	O
comprar	O
a	O
25	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Janeiro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1993	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
tipo	O
de	O
avião	O
estava	O
o	O
animal	O
?	O
Quem	O
estava	O
a	O
fazer-se	O
passar	O
pelo	O
animal	O
?	O
Em	O
quanto	O
foi	O
Bernal	O
multado	O
?	O
Que	O
oceano	O
é	O
que	O
Steve	B-PESSOA_INDIVIDUAL
Fosset	O
tentou	O
atravessar	O
em	O
balão	O
em	O
Fevereiro	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Que	O
idade	O
é	O
que	O
ele	O
tinha	O
na	O
altura	O
?	O
O	O
que	O
é	O
que	O
ele	O
fazia	O
?	O
Que	O
distância	O
é	O
que	O
Richard	B-PESSOA_INDIVIDUAL
Branson	O
viajou	O
em	O
balão	O
em	O
1991	B-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
aeroporto	O
é	O
que	O
Carol	O
Ann	O
Timmel	O
perdeu	O
o	O
seu	O
gato	O
?	O
Como	O
é	O
que	O
se	O
chamava	O
o	O
gato	O
?	O
Em	O
que	O
tipo	O
de	O
avião	O
é	O
que	O
o	O
gato	O
foi	O
perdido	O
?	O
Quanto	O
é	O
que	O
avião	O
se	O
atrasou	O
enquanto	O
prosseguia	O
a	O
busca	O
?	O
Quem	O
nacionalizou	O
as	O
ferrovias	O
argentinas	O
em	O
1947	B-TEMPO_TEMPO_CALEND
?	O
Que	O
proporção	O
das	O
linhas	O
era	O
considerada	O
insegura	O
em	O
1989	B-TEMPO_TEMPO_CALEND
?	O
Quem	O
era	O
o	O
presidente	B-PESSOA_CARGO
da	I-PESSOA_CARGO
comissão	O
nacional	O
de	O
caminhos-de-ferro	O
argentina	O
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Quantas	O
pessoas	O
trabalhavam	O
para	O
os	O
caminhos-de-ferro	O
argentinos	O
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Onde	O
é	O
que	O
é	O
o	O
museu	B-OBRA_REPRODUZIDA
do	O
Hermitage	O
?	O
Quem	O
era	O
o	O
director	O
do	O
museu	O
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Em	O
que	O
palácio	O
é	O
que	O
fica	O
o	O
museu	O
?	O
Quantos	O
quartos	O
há	O
nesse	O
palácio	O
?	O
O	O
que	O
é	O
um	O
organofostato	O
?	O
Diga	O
pesticidas	O
que	O
contenham	O
organofosfatos.	O
Quantos	O
lugares	O
tem	O
um	O
carro	O
eléctrico	O
Impact	O
da	O
General	B-ORGANIZACAO_EMPRESA
Motors	I-ORGANIZACAO_EMPRESA
?	O
Qual	O
a	O
autonomia	O
do	O
carro	O
,	O
em	O
milhas	O
?	O
Quanto	O
tempo	O
demora	O
a	O
acelerar	O
das	O
0	B-VALOR_QUANTIDADE
às	B-TEMPO_FREQUENCIA
60	B-TEMPO_TEMPO_CALEND
milhas	O
por	B-TEMPO_FREQUENCIA
hora	O
?	O
Qual	O
é	O
a	O
sua	O
velocidade	O
de	O
topo	O
?	O
Como	O
se	O
chamavam	O
os	O
dois	O
navios	O
que	O
colidiram	O
no	O
Estreito	B-LOCAL_FISICO
do	O
Bósforo	O
em	B-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Quantos	O
morreram	O
na	O
colisão	O
?	O
Qual	O
o	O
pavilhão	O
de	O
ambos	O
os	O
navios	O
?	O
Qual	O
o	O
comprimento	O
do	O
Estreito	B-LOCAL_FISICO
do	O
Bósforo	O
?	O
Em	O
que	O
parte	O
da	O
Rússia	O
é	O
a	O
Catedral	B-OBRA_ARTE
de	I-OBRA_ARTE
Santa	B-LOCAL_HUMANO
Sofia	B-PESSOA_INDIVIDUAL
?	O
Quem	O
era	O
o	O
arcipreste	O
em	B-TEMPO_TEMPO_CALEND
1995	I-TEMPO_TEMPO_CALEND
?	O
Que	O
escocês	O
é	O
que	O
construiu	O
a	O
catedral	O
?	O
Que	O
imperatriz	O
russa	O
é	O
que	O
lhe	O
encomendou	O
a	O
construção	O
?	O
O	O
que	O
são	O
a	O
salsa	O
,	O
o	O
mambo	O
e	B-PESSOA_INDIVIDUAL
o	O
samba	O
?	O
O	O
que	O
era	O
o	O
``	O
Brilliant	B-OBRA_REPRODUZIDA
Invader	O
'95	O
``	O
?	O
Além	O
do	O
Reino	B-ORGANIZACAO_ADMINISTRACAO
Unido	B-LOCAL_HUMANO
,	O
que	O
outros	O
países	O
participaram	O
?	O
De	O
que	O
horas	O
a	O
que	O
horas	O
é	O
que	O
ocorreu	O
o	O
evento	O
?	O
Diga	O
um	O
tipo	O
de	O
avião	O
que	O
tenha	O
participado.	O
Quem	O
é	O
Thom	O
Rotella	O
?	O
De	O
onde	O
é	O
que	O
ele	O
é	O
?	O
Diga	O
um	O
tipo	O
de	O
viola	O
que	O
Rotella	O
toque.	O
Diga	O
um	O
clube	O
onde	O
ele	O
tenha	O
tocado.	O
O	O
que	O
é	O
a	O
KORG	O
onde	O
Niky	O
Orellana	O
é	O
comentador	O
de	O
futebol	O
?	O
Onde	O
é	O
que	O
tem	O
a	O
sua	O
sede	O
?	O
O	O
que	O
é	O
Kia	O
?	O
Quem	O
é	O
o	O
americano	O
que	O
foi	O
nomeado	O
para	O
a	O
direcção	O
em	B-TEMPO_TEMPO_CALEND
Setembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1994	I-TEMPO_TEMPO_CALEND
?	O
Diga	O
um	O
modelo	O
da	O
Kia	O
.	O
Quantos	O
carros	O
é	O
que	O
a	O
Kia	O
produz	O
por	B-TEMPO_FREQUENCIA
ano	B-TEMPO_TEMPO_CALEND
?	O
O	O
que	O
é	O
Zanussi	O
?	O
Onde	O
é	O
que	O
fica	O
a	O
sede	O
?	O
Quem	O
é	O
Will	B-PESSOA_INDIVIDUAL
Carling	O
?	O
Quem	O
é	O
Lester	O
Piggott	O
?	O
Quantos	O
vencedores	O
do	O
British	O
Classic	O
é	O
que	O
ele	O
montou	O
?	O
Quanto	O
tempo	O
é	O
que	O
ele	O
passou	O
na	O
prisão	O
por	B-TEMPO_FREQUENCIA
crimes	O
fiscais	O
?	O
Quem	O
é	O
Jonathan	O
Edwards	O
?	O
Quem	O
são	O
os	O
``	O
All	B-PESSOA_INDIVIDUAL
Blacks	O
``	O
?	O
Quem	O
é	O
o	O
seu	O
capitão	O
?	O
O	O
que	O
é	O
arnica	O
?	O
Que	O
companhia	O
produz	O
Ribena	O
?	O
O	O
que	O
é	O
Glaxo	O
?	O
O	O
que	O
é	O
Zantac	O
?	O
O	O
que	O
é	O
Flexoset	O
?	O
O	O
que	O
é	O
a	O
Lakeland	O
Plastics	O
?	O
Dá-me	O
informação	O
sobre	O
o	O
iate	O
``	O
Geronimo	O
``	O
.	O
Quem	O
é	O
Keith	O
Musto	O
?	O
O	O
que	O
é	O
o	O
HSBC	O
?	O
Quem	O
é	O
sir	O
Denys	O
Henderson	O
?	O
Quem	O
é	O
Nguyen	O
Chi	O
Thien	O
?	O
Quando	O
é	O
que	O
ele	O
desapareceu	O
?	O
O	O
que	O
é	O
o	O
Eurofighter	O
?	O
Quem	O
escreveu	O
a	O
canção	O
``	O
Dancing	O
Queen	O
``	O
?	O
Quantas	O
pessoas	O
tinha	O
esse	O
grupo	O
?	O
O	O
que	O
é	O
um	O
polígrafo	O
?	O
Quando	O
é	O
que	O
foi	O
inventado	O
?	O
Quem	O
é	O
que	O
o	O
inventou	O
?	O
Em	O
que	O
universidade	O
é	O
que	O
o	O
inventor	O
estudava	O
então	O
?	O
Para	O
que	O
organização	O
nos	O
EUA	B-LOCAL_HUMANO
trabalhava	O
Aldrich	O
H.	B-PESSOA_INDIVIDUAL
Ames	O
?	O
A	O
que	O
país	O
é	O
que	O
Ames	O
vendia	O
informação	O
?	O
Como	O
é	O
que	O
se	O
chamava	O
a	O
mulher	O
dele	O
?	O
Quando	O
é	O
que	O
ele	O
foi	O
preso	O
?	O
Quando	O
é	O
que	O
nasceu	O
Yitzhak	O
Rabin	O
?	O
Quando	O
é	O
que	O
ele	O
morreu	O
?	O
Qual	O
era	O
a	O
sua	O
profissão	O
quando	O
morreu	O
?	O
Quantas	O
pessoas	O
foram	O
a	O
Jerusálem	O
prestar	O
homenagem	O
a	O
Rabin	O
quando	O
ele	O
morreu	O
?	O
O	O
que	O
são	O
``	O
Frosties	O
``	O
?	O
Que	O
companhia	O
é	O
que	O
os	O
produz	O
?	O
Quando	O
é	O
que	O
eles	O
foram	O
lançados	O
?	O
Qual	O
é	O
a	O
mascote	O
dos	O
Frosties	O
?	O
O	O
que	O
é	O
Sky	O
Europe	O
?	O
Quando	O
é	O
que	O
foi	O
fundada	O
?	O
Quantas	O
pessoas	O
é	O
que	O
emprega	O
?	O
Quantas	O
linhas	O
opera	O
?	O
Que	O
presidente	B-PESSOA_CARGO
americano	O
organizou	O
o	O
Acordo	O
de	O
Camp	O
David	O
?	O
Em	O
que	O
ano	O
tiveram	O
lugar	O
as	O
negociações	O
?	O
Quantos	O
acordos	O
foram	O
assinados	O
?	O
Em	O
que	O
data	O
foi	O
assinado	O
posteriormente	O
o	O
tratado	O
de	O
paz	O
entre	O
Israel	B-PESSOA_INDIVIDUAL
e	I-PESSOA_INDIVIDUAL
o	O
Egipto	B-PESSOA_CARGO
?	O
O	O
que	O
é	O
o	O
efeito	O
de	O
estufa	O
?	O
Em	O
que	O
ano	O
é	O
que	O
o	O
efeito	O
de	O
estufa	O
foi	O
descoberto	O
?	O
Quem	O
é	O
que	O
o	O
descobriu	O
?	O
Menciona	O
um	O
gás	O
que	O
contribua	O
para	O
o	O
aquecimento	O
global.	O
Quem	O
foi	O
Stu	O
Sutcliffe	O
?	O
Quando	O
é	O
que	O
ele	O
se	O
juntou	O
aos	O
Beatles	B-PESSOA_GRUPOMEMBRO
?	O
Que	O
instrumento	O
é	O
que	O
ele	O
tocava	O
?	O
O	O
que	O
é	O
que	O
ele	O
vendeu	O
ao	O
homem	O
de	O
negócios	O
John	B-PESSOA_INDIVIDUAL
Moores	O
para	O
comprar	O
uma	O
viola	O
?	O
O	O
que	O
é	O
um	O
iPod	B-COISA_CLASSE
?	O
Quem	O
é	O
que	O
o	O
faz	O
?	O
Quando	O
é	O
que	O
foi	O
lançado	O
?	O
Quem	O
fez	O
o	O
disco	O
duro	O
para	O
os	O
iPod	B-COISA_CLASSE
de	O
primeira	O
geração	O
?	O
O	O
que	O
é	O
uma	O
gripe	O
azul	O
?	O
Diz	O
uma	O
profissão	O
cujos	O
membros	O
podem	O
dizer	O
sofrer	O
de	O
``	B-TEMPO_GENERICO
gripe	O
azul	O
''	O
.	O
Em	O
que	O
país	O
nasceu	O
Edouard	O
Balladur	O
?	O
Quando	O
é	O
que	O
ele	O
se	O
tornou	O
presidente	O
de	O
França	B-LOCAL_HUMANO
?	O
A	O
que	O
partido	O
político	O
pertencia	O
?	O
De	O
1968	O
a	O
1980	B-TEMPO_TEMPO_CALEND
,	O
ele	O
foi	O
presidente	O
de	O
que	O
companhia	O
?	O
Qual	O
é	O
o	O
aperitivo	O
mais	O
popular	O
na	O
Grã-Bretanha	B-LOCAL_HUMANO
?	O
Quantas	O
pessoas	O
na	B-TEMPO_TEMPO_CALEND
Grã-Bretanha	B-LOCAL_HUMANO
comem	O
os	O
``	O
Walkers	O
``	O
desta	O
marca	O
todos	O
os	B-TEMPO_FREQUENCIA
dias	I-TEMPO_FREQUENCIA
?	O
Qual	O
é	O
o	O
sabor	O
de	O
batata	O
frita	O
de	O
pacote	O
mais	O
popular	O
na	O
Grã-Bretanha	B-LOCAL_HUMANO
?	O
Que	O
companhia	O
britânica	O
faz	O
batata	O
frita	O
de	O
pacote	O
à	O
mão	O
?	O
Diz	O
uma	O
madeira	O
que	O
se	O
use	O
para	O
construir	O
barcos.	O
Diz	O
uma	O
madeira	O
que	O
se	O
use	O
para	O
fazer	O
contraplacado.	O
Diz	O
uma	O
madeira	O
que	O
se	O
use	O
para	O
produzir	O
violinos.	O
Diz	O
uma	O
madeira	O
usada	O
para	O
fazer	O
papel.	O
Diz	O
um	O
alimento	O
que	O
seja	O
parte	O
da	O
alimentação	O
básica	O
no	O
Sudeste	B-LOCAL_HUMANO
Asiático	O
.	O
Diz	O
um	O
alimento	O
que	O
seja	O
parte	O
da	O
alimentação	O
básica	O
na	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
.	O
Diz	O
um	O
tipo	O
de	O
plástico	O
usado	O
para	O
fazer	O
plástico	O
reforçado	O
com	O
fibra	O
de	O
carbono.	O
Diz	O
uma	O
ponte	O
que	O
tenha	O
sido	O
reforçada	O
com	O
fibra	O
de	O
carbono.	O
Diz	O
um	O
consumível	O
que	O
pode	O
ser	O
feito	O
com	O
fibra	O
de	O
carbono.	O
Que	B-OBRA_REPRODUZIDA
sistema	O
de	O
pensões	O
diz	O
ser	O
``	O
o	O
segundo	O
maior	O
do	O
Reino	B-ORGANIZACAO_ADMINISTRACAO
Unido	I-ORGANIZACAO_ADMINISTRACAO
pelo	O
montante	O
do	O
fundo	O
''	O
?	O
A	O
que	O
companhia	O
comprou	O
o	O
Centro	B-ORGANIZACAO_INSTITUICAO
Comercial	B-OBRA_PLANO
Forestside	O
em	O
Belfast	O
por	B-TEMPO_FREQUENCIA
50	B-VALOR_QUANTIDADE
milhões	I-VALOR_QUANTIDADE
de	O
libras	O
em	B-TEMPO_TEMPO_CALEND
1998	I-TEMPO_TEMPO_CALEND
?	O
Que	O
organismo	O
administra	O
o	O
Sistema	B-OBRA_REPRODUZIDA
de	B-COISA_CLASSE
Pensões	O
do	O
SNS	O
britânico	O
?	O
A	O
quantas	O
pessoas	O
foi	O
até	O
agora	O
atribuída	O
a	O
Medalha	O
Olímpica	O
Nobre	O
Guedes	O
?	O
Quem	O
é	O
que	O
a	O
recebeu	O
em	O
1951	O
em	O
vela	O
?	O
Quem	O
é	O
que	O
a	O
recebeu	O
em	B-TEMPO_TEMPO_CALEND
2005	I-TEMPO_TEMPO_CALEND
em	O
judo	O
?	O
Sebastião	B-PESSOA_INDIVIDUAL
de	O
Portugal	B-LOCAL_HUMANO
Desaparecimento	O
e	B-PESSOA_INDIVIDUAL
lenda	O
Na	O
subsequente	O
batalha	O
de	O
Alcácer-Quibir	O
,	O
o	O
campo	O
dos	O
três	B-TEMPO_FREQUENCIA
reis	B-PESSOA_GRUPOCARGO
,	O
os	O
portugueses	O
sofreram	O
uma	O
derrota	O
humilhante	O
às	B-TEMPO_FREQUENCIA
mãos	O
do	O
sultão	O
Ahmed	O
Mohammed	O
de	O
Fez	B-PESSOA_CARGO
e	O
perderam	O
uma	O
boa	O
parte	O
do	O
seu	O
exército.	O
Quanto	O
a	O
Sebastião	B-PESSOA_INDIVIDUAL
,	O
provavelmente	O
morreu	O
na	O
batalha	O
ou	O
foi	O
morto	O
depois	B-TEMPO_TEMPO_CALEND
desta	O
terminar.	O
Mas	O
para	O
o	O
povo	O
português	O
de	O
então	O
o	O
rei	B-PESSOA_INDIVIDUAL
havia	O
apenas	O
desaparecido.	O
Este	O
desastre	O
teria	O
as	O
piores	O
consequências	O
para	O
o	O
país	O
,	O
colocando	O
em	O
perigo	O
a	O
sua	O
independência.	O
O	O
resgate	O
dos	O
sobreviventes	O
ainda	O
mais	O
agravou	O
as	O
dificuldades	O
financeiras	O
do	O
país.	O
Em	B-TEMPO_TEMPO_CALEND
1581	O
,	O
Filipe	B-PESSOA_INDIVIDUAL
I	I-PESSOA_INDIVIDUAL
de	O
Portugal	B-LOCAL_HUMANO
,	O
mandou	O
transladar	O
para	O
o	O
Mosteiro	B-LOCAL_HUMANO
dos	I-LOCAL_HUMANO
Jerónimos	I-LOCAL_HUMANO
em	O
Lisboa	B-LOCAL_HUMANO
um	O
corpo	O
que	O
alegava	O
ser	O
o	O
do	O
rei	B-PESSOA_INDIVIDUAL
desaparecido	O
,	O
na	O
esperança	O
de	O
acabar	O
com	O
o	O
sebastianismo	O
,	O
o	O
que	O
não	O
resultou	O
,	O
nem	O
se	O
pôde	O
comprovar	O
ser	O
o	O
corpo	O
realmente	O
o	O
de	O
Sebastião	B-PESSOA_INDIVIDUAL
I	I-PESSOA_INDIVIDUAL
.	O
O	O
Túmulo	B-ABSTRACCAO_NOME
de	I-ABSTRACCAO_NOME
Mármore	O
que	O
repousa	O
sobre	O
dois	O
elefantes	O
,	O
pode	O
ainda	O
hoje	B-TEMPO_GENERICO
ser	O
observado	O
em	O
Lisboa	B-LOCAL_HUMANO
.	O
A	O
dúvida	O
que	O
persiste	O
há	O
mais	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
425	O
anos	O
poderia	O
provavelmente	O
hoje	B-TEMPO_GENERICO
ser	O
resolvida	O
com	O
um	O
simples	O
teste	O
de	O
