Ministério	B-ACONTECIMENTO
nalguns	O
casos	O
foi	O
feita	O
com	O
estragos	O
consideráveis	O
,	O
como	O
aconteceu	O
com	O
Vítor	B-PESSOA
Constâncio	I-PESSOA
à	O
frente	O
do	O
PS	B-ORGANIZACAO
.	O
A	O
pergunta	O
em	O
si	O
é	O
pouco	O
relevante	O
,	O
porque	O
o	O
que	O
a	O
comunicação	O
social	O
quer	O
é	O
festa	O
e	O
,	O
quando	O
acha	O
que	O
não	O
a	O
tem	O
,	O
clama	O
por	O
actores	O
no	O
palco	O
.	O
Admito	O
que	O
os	O
tempos	O
agora	O
não	O
estarão	O
como	O
estavam	O
no	B-TEMPO
tempo	I-TEMPO
de	O
Constâncio	B-LOCAL
,	O
nem	O
a	O
dedicação	O
carinhosa	O
da	O
comunicação	O
social	O
ao	O
PSD	B-ORGANIZACAO
é	O
idêntica	O
à	O
que	O
na	O
época	O
prodigalizava	O
ao	O
PS	B-LOCAL
,	O
cujo	O
estado	O
a	O
preocupava	O
.	O
Mas	O
,	O
quando	O
vier	O
a	O
pergunta	O
,	O
será	O
mais	O
para	O
a	O
coreografia	O
do	O
que	O
para	O
a	O
substância	O
,	O
porque	O
esta	O
está	O
há	O
muito	O
respondida	O
:	O
de	O
há	O
uns	O
tempos	O
a	O
esta	O
parte	O
,	O
o	O
PSD	B-ORGANIZACAO
está	O
onde	O
está	O
o	O
PS	B-ABSTRACCAO
.	O
A	O
razão	O
pela	O
qual	O
o	O
PSD	B-ORGANIZACAO
se	O
ausentou	O
para	O
parte	O
incerta	O
foi	O
explicada	O
na	O
pouco	O
noticiada	O
conferência	O
de	O
imprensa	O
``	O
oferecedora	O
de	O
pactos	O
''	O
,	O
antecedendo	O
o	O
debate	O
parlamentar	O
de	O
``	O
primeira	O
oportunidade	O
''	O
entre	O
Sócrates	B-PESSOA
e	O
Santana	B-PESSOA
Lopes	I-PESSOA
.	O
Desde	O
aí	O
que	O
se	O
conhecem	O
as	O
razões	O
de	O
substância	O
para	O
este	O
já	O
longo	O
silêncio	O
:	O
o	O
PSD	B-ORGANIZACAO
aproximou-se	O
politicamente	O
do	O
PS	B-ORGANIZACAO
como	O
nunca	O
esteve	O
antes	O
,	O
ao	O
ponto	O
de	O
se	O
oferecer	O
para	O
co-governar	O
em	O
praticamente	O
todas	O
as	O
áreas	O
.	O
Na	O
conferência	O
e	O
em	O
declarações	O
avulsas	O
-	O
da	O
política	O
externa	O
à	O
política	O
europeia	O
,	O
passando	O
pela	O
defesa	O
,	O
segurança	O
interna	O
e	O
legislação	O
eleitoral	O
,	O
e	O
acabando	O
no	O
célebre	O
``	O
pacto	O
das	O
obras	O
públicas	O
''	O
,	O
a	O
que	O
se	O
soma	O
o	O
``	O
pacto	O
da	O
justiça	O
''	O
vindo	O
do	O
tempo	O
de	O
Marques	B-PESSOA
Mendes	I-PESSOA
-	O
,	O
o	O
PSD	B-ORGANIZACAO
faz	O
uma	O
abdicação	O
da	O
diferença	O
,	O
da	O
alteridade	O
,	O
da	O
oposição	O
.	O
O	O
que	O
nos	O
é	O
dito	O
é	O
que	O
em	B-TEMPO
Janeiro	I-TEMPO
tudo	O
vai	O
mudar	O
,	O
aparecerão	O
propostas	O
e	O
tomadas	O
de	O
posição	O
,	O
vai	O
começar	O
a	O
oposição	O
``	O
a	O
sério	O
''	O
,	O
quando	O
estiverem	O
gabinetes	O
e	O
assessores	O
a	O
funcionar	O
.	O
É	O
um	O
pouco	O
bizarro	O
que	O
se	O
anuncie	O
um	O
tempo	O
de	O
adiamento	O
da	O
oposição	O
,	O
uma	O
paragem	O
para	O
uma	O
retoma	O
anunciada	O
,	O
quando	O
antes	O
tudo	O
era	O
tempo	O
urgente	O
.	O
Menezes	B-PESSOA
criticava	O
Marques	B-PESSOA
Mendes	I-PESSOA
por	O
não	O
fazer	O
oposição	B-TEMPO
dia	I-TEMPO
a	I-TEMPO
dia	I-TEMPO
,	O
minuto	O
a	O
minuto	O
,	O
fogosa	O
,	O
ardente	O
,	O
caso	O
a	O
caso	O
,	O
para	O
o	O
que	O
,	O
dizia	O
,	O
não	O
faltavam	O
temas	O
nem	O
razões	O
e	O
que	O
``	O
com	O
ele	O
''	O
isso	O
iria	O
mudar	O
radicalmente	O
.	O
Já	O
não	O
me	O
refiro	O
às	O
idas	O
às	O
fábricas	O
que	O
encerraram	O
-	O
entretanto	O
já	O
encerraram	O
várias	O
-	O
,	O
mas	O
a	O
um	O
estilo	O
prometido	O
de	O
pathos	O
oposicionista	O
,	O
comunhão	O
com	O
o	O
povo	O
e	O
de	O
entusiasmo	O
militante	O
,	O
que	O
,	O
de	O
todo	O
,	O
não	O
se	O
vê	O
.	O
Não	O
é	O
que	O
o	O
estilo	O
prometido	O
fosse	O
bom	O
,	O
mas	O
foi	O
o	O
que	O
foi	O
prometido	O
,	O
antes	O
deste	O
enorme	O
esforço	O
de	O
respeitabilidade	O
fabricado	O
por	O
agências	O
de	O
comunicação	O
.	O
Estas	O
flutuações	O
matam	O
o	O
flutuante	O
,	O
mas	O
,	O
infelizmente	O
,	O
são	O
o	O
que	O
é	O
normal	O
,	O
quando	O
se	O
actua	O
para	O
uma	O
sociedade	O
do	O
espectáculo	O
.	O
Permitam-me	O
por	O
isso	O
que	O
duvide	O
da	O
ofensiva	O
putativa	O
de	B-TEMPO
Janeiro	I-TEMPO
,	O
porque	O
a	O
diferença	O
não	O
se	O
faz	O
com	O
mais	O
ou	O
menos	O
``	O
estudos	O
''	O
,	O
``	O
porta-vozes	O
''	O
ou	O
``	O
governos-sombra	O
''	O
.	O
Faz-se	O
em	O
primeiro	O
lugar	O
com	O
políticas	O
e	O
não	O
faltaram	O
ocasiões	B-TEMPO
nos	I-TEMPO
últimos	I-TEMPO
meses	I-TEMPO
para	O
se	O
ser	O
firme	O
e	O
duro	O
com	O
a	O
política	O
de	O
um	O
governo	O
que	O
está	O
a	O
empobrecer-nos	O
a	O
todos	O
em	O
nome	O
de	O
um	O
modelo	O
``	O
social	O
''	O
que	O
não	O
tem	O
futuro	O
.	O
Isto	O
,	O
na	O
hipótese	O
de	O
o	O
PSD	B-ORGANIZACAO
ter	O
um	O
modelo	O
diferente	O
,	O
que	O
só	O
pode	O
ser	O
mais	O
liberal	O
,	O
mesmo	O
que	O
só	O
moderadamente	O
liberal	O
,	O
o	O
que	O
já	O
não	O
era	O
mau	O
.	O
Quando	O
dois	O
partidos	O
se	O
colam	O
tanto	O
que	O
pouco	O
se	O
diferenciam	O
,	O
o	O
que	O
sobra	O
para	O
a	O
luta	O
política	O
tende	O
a	O
ser	O
incidental	O
,	O
conjuntural	O
:	O
esta	O
nomeação	O
,	O
aquela	O
opção	O
por	O
Ferreira	B-PESSOA
de	I-PESSOA
Cima	I-PESSOA
em	O
vez	O
de	O
ser	O
por	O
Ferreira	B-PESSOA
de	I-PESSOA
Baixo	I-PESSOA
e	O
várias	O
variantes	O
de	O
questões	O
``	O
fracturantes	O
''	O
,	O
que	O
em	O
muitos	O
casos	O
são	O
distracções	O
dos	O
problemas	O
centrais	O
de	O
poder	O
político	O
e	O
remetem	O
para	O
agendas	O
em	O
que	O
nem	O
sequer	O
é	O
líquido	O
que	O
o	O
Estado	O
e	O
o	O
poder	O
político	O
devam	O
entrar	O
.	O
Este	O
``	O
bloco	O
central	O
''	O
político	O
esteve	O
sempre	O
dentro	O
do	O
PSD	B-ORGANIZACAO
,	O
como	O
esteve	O
e	O
está	O
no	O
PS	B-LOCAL
e	O
é	O
uma	O
sobrevivência	O
de	O
laços	O
de	O
interesses	O
profundos	O
representados	O
nos	O
dois	O
partidos	O
e	O
que	O
,	O
depois	O
,	O
encontra	O
expressão	O
no	O
rastro	O
salazarista	O
antidemocrático	O
dos	O
consensos	O
.	O
Nos	B-TEMPO
primeiros	I-TEMPO
anos	I-TEMPO
da	O
democracia	O
,	O
este	O
``	O
bloco	O
central	O
''	O
concentrava-se	O
em	O
exercer	O
o	O
poder	O
através	O
da	O
economia	O
nacionalizada	O
pós-1975	O
,	O
daí	O
poder	O
ser	O
representado	O
simbolicamente	O
na	O
cena	O
real	O
de	O
responsáveis	O
dos	O
dois	O
partidos	O
reunidos	O
a	O
distribuir	O
os	O
lugares	O
de	O
gestores	O
públicos	O
nas	O
empresas	O
:	O
estes	O
dois	O
são	O
para	O
mim	O
,	O
este	O
fica	O
para	O
ti	O
,	O
este	O
vai	O
para	O
a	O
TAP	B-ORGANIZACAO
e	O
dou-te	O
dois	O
na	O
CP	B-LOCAL
,	O
mas	O
este	O
da	O
EDP	B-ORGANIZACAO
não	O
pode	O
ser	O
comparado	O
como	O
este	O
na	O
Imprensa	B-LOCAL
Nacional	I-LOCAL
,	O
etc.	O
,	O
etc.	O
.	O
Este	O
tipo	O
de	O
partilhas	O
que	O
durou	O
até	O
há	B-TEMPO
muito	I-TEMPO
pouco	I-TEMPO
tempo	I-TEMPO
e	O
em	O
muitas	O
áreas	O
,	O
a	O
começar	O
nas	O
autarquias	O
e	O
nas	O
empresas	O
municipalizadas	O
,	O
ainda	O
está	O
longe	O
de	O
ter	O
acabado	O
.	O
Mas	O
o	O
``	O
bloco	O
central	O
de	O
interesses	O
''	O
evoluiu	O
com	O
a	O
economia	O
,	O
e	O
adaptou-se	O
às	O
privatizações	O
,	O
deslocou-se	O
para	O
fora	O
do	O
Estado	B-LOCAL
e	O
foi	O
para	O
os	O
grupos	O
económicos	O
,	O
para	O
os	O
bancos	O
,	O
as	O
seguradoras	O
,	O
as	O
empresas	O
de	O
construção	O
civil	O
,	O
etc.	O
,	O
etc.	O
.	O
Quase	O
que	O
se	O
pode	O
formular	O
uma	O
regra	O
simples	O
:	O
quanto	O
mais	O
depender	O
um	O
grupo	O
económico	O
de	O
decisões	O
do	O
governo	O
para	O
conduzir	O
a	O
sua	O
actividade	O
empresarial	O
,	O
tanto	O
maior	O
é	O
a	O
presença	O
deste	O
``	O
bloco	O
central	O
de	O
interesses	O
''	O
no	O
seu	O
seio	O
.	O
A	O
deslocação	O
do	O
Estado	O
para	O
o	O
privado	O
significa	O
que	O
os	O
mecanismos	O
de	O
influência	O
tendem	O
a	O
deslocar-se	O
de	O
fora	O
para	O
dentro	O
,	O
a	O
centrar-se	O
na	O
mediação	O
de	O
negócios	O
,	O
assentes	O
em	O
empresas	O
de	O
consultadoria	O
e	O
em	O
grandes	O
escritórios	O
de	O
advogados	O
,	O
que	O
todos	O
sabem	O
serem	O
as	O
portas	O
certas	O
para	O
chegar	O
ao	O
governo	O
,	O
este	O
e	O
os	O
anteriores	O
.	O
Quando	O
um	O
partido	O
político	O
,	O
ainda	O
por	O
cima	O
na	O
oposição	O
,	O
se	O
demarca	O
deste	O
jogo	O
de	O
interesses	O
instalado	O
,	O
as	O
suas	O
lideranças	O
são	O
sujeitas	O
a	O
um	O
processo	O
que	O
começa	O
pela	O
descredibilização	O
e	O
acaba	O
na	O
tentativa	O
de	O
expulsar	O
os	O
incontroláveis	O
.	O
Marcelo	B-PESSOA
Rebelo	I-PESSOA
de	I-PESSOA
Sousa	I-PESSOA
,	O
num	O
momento	O
da	O
sua	O
liderança	O
,	O
quando	O
contestou	O
alguns	O
grandes	O
negócios	O
,	O
foi	O
sujeito	O
a	O
essa	O
campanha	O
.	O
É	O
verdade	O
que	O
no	O
PSD	B-ORGANIZACAO
há	O
a	O
presença	O
deste	O
``	O
bloco	O
central	O
''	O
,	O
mas	O
há	O
também	O
uma	O
tradição	O
de	O
ruptura	O
que	O
,	O
no	O
passado	O
,	O
tornou	O
o	O
partido	O
na	O
principal	O
força	O
reformista	O
em	O
Portugal	B-LOCAL
.	O
O	O
PS	B-ORGANIZACAO
foi	O
crucial	O
na	O
defesa	O
da	O
democracia	O
política	O
em	B-TEMPO
1975	I-TEMPO
,	O
o	O
PSD	B-ORGANIZACAO
foi	O
crucial	O
na	O
normalização	O
democrática	O
.	O
Sem	O
o	O
PSD	B-ORGANIZACAO
,	O
na	O
fórmula	O
da	O
AD	B-ORGANIZACAO
de	I-ORGANIZACAO
Sá	I-ORGANIZACAO
Carneiro	I-ORGANIZACAO
,	O
não	O
se	O
iria	O
tão	O
longe	O
e	O
tão	O
cedo	O
no	O
fim	O
da	O
presença	O
militar	O
na	O
tutela	O
da	O
democracia	O
.	O
Sem	O
Cavaco	B-PESSOA
Silva	I-PESSOA
não	O
haveria	O
uma	O
cultura	O
de	O
``	O
bom	O
governo	O
''	O
,	O
o	O
fim	O
da	O
Constituição	B-ORGANIZACAO
socializante	O
na	O
economia	O
,	O
o	O
retorno	O
à	O
economia	O
de	O
mercado	O
,	O
o	O
boom	O
de	O
infra-estruturas	O
,	O
a	O
democratização	O
do	O
ensino	O
,	O
uma	O
modernização	O
imperfeita	O
mas	O
real	O
do	O
país	O
.	O
Ambos	O
associaram	O
um	O
programa	O
de	O
reformas	O
à	O
alteração	O
das	O
condições	O
políticas	O
dominantes	O
em	O
momentos	O
desejados	O
e	O
sentidos	O
como	O
de	O
ruptura	O
:	O
Sá	B-PESSOA
Carneiro	I-PESSOA
e	O
Freitas	B-PESSOA
do	O
Amaral	B-LOCAL
mostraram	O
que	O
outros	O
partidos	O
podiam	O
governar	O
Portugal	B-LOCAL
que	O
não	O
apenas	O
o	O
PS	B-COISA
,	O
e	O
Cavaco	B-PESSOA
abriu	O
caminho	O
para	O
as	O
maiorias	O
absolutas	O
como	O
condição	O
de	O
governabilidade	O
.	O
Se	O
estamos	O
no	O
caminho	O
do	O
bonnet	O
blanc	O
,	O
blanc	O
bonnet	O
,	O
como	O
dizem	O
os	O
franceses	O
,	O
esta	O
é	O
a	O
melhor	O
receita	O
para	O
matar	O
o	O
lado	O
reformista	O
do	O
PSD	B-ORGANIZACAO
,	O
o	O
de	O
Sá	B-PESSOA
Carneiro	I-PESSOA
e	O
Cavaco	B-PESSOA
Silva	I-PESSOA
.	O
Sem	O
esse	O
lado	O
reformista	O
,	O
o	O
PSD	B-ORGANIZACAO
ficará	O
tão	O
próximo	O
do	O
Governo	B-ORGANIZACAO
e	O
do	O
PS	B-ORGANIZACAO
que	O
,	O
à	O
luz	O
de	O
um	O
,	O
não	O
se	O
vê	O
a	O
sombra	O
do	O
outro	O
.	O
E	O
nem	O
de	O
holofote	O
a	O
laser	O
,	O
banhado	O
no	O
mais	O
forte	O
néon	O
,	O
Diógenes	B-PESSOA
encontrará	O
qualquer	O
homem	O
na	O
cidade	O
.	O
George	B-PESSOA
Steiner	I-PESSOA
-	O
holocausto	O
ou	O
holocaustos	O
?	O
George	B-PESSOA
Steiner	I-PESSOA
esteve	O
recentemente	O
em	O
Portugal	B-LOCAL
e	O
de	O
acordo	O
com	O
notícia	O
no	O
Ciência	B-LOCAL
Hoje	O
o	O
ensaísta	O
vem	O
proferir	O
um	O
discurso	O
que	O
a	O
Europa	B-ORGANIZACAO
é	O
uma	O
civilização	O
decadente	O
e	O
que	O
aparecerão	O
outros	O
locais	O
do	O
planeta	O
como	O
a	O
China	B-ORGANIZACAO
e	O
a	O
Índia	B-LOCAL
?	O
.	O
Esta	O
afirmação	O
levantou-me	O
uma	O
série	O
de	O
inquitações	O
:	O
Ora	O
a	O
Índia	B-ORGANIZACAO
e	O
a	O
China	B-PESSOA
já	O
têm	O
o	O
seu	O
espaço	O
,	O
as	O
suas	O
incongruências	O
e	O
cometendo	O
os	O
piores	O
atentados	O
ecológicos	O
de	O
sempre	O
enquanto	O
hoje	B-TEMPO
há	O
uma	O
Europa	B-ORGANIZACAO
que	O
tem	O
feito	O
da	O
sustentabilidade	O
um	O
exemplo	O
a	O
este	O
planeta	O
...	O
exigir	O
mais	O
é	O
possível	O
,	O
concerteza	O
.	O
Mas	O
George	B-PESSOA
Steiner	I-PESSOA
-LRB-	O
G.S.	O
-RRB-	O
,	O
proferiu	O
uma	O
outra	O
barbaridade	O
ainda	O
mais	O
grave	O
uma	O
civilização	O
que	O
mata	O
os	O
seus	O
judeus	O
não	O
recupera	O
...	O
Não	O
visitou	O
o	O
memorial	O
em	O
Berlim	B-LOCAL
,	O
concerteza	O
...	O
ou	O
tão	O
aplaudido	O
sábio	O
terá	O
esquecido	O
de	O
Aristides	B-PESSOA
Sousa	I-PESSOA
Mendes	I-PESSOA
ou	O
de	O
Oskar	B-PESSOA
Schindler	I-PESSOA
?	O
Por	O
mim	O
G.S.	O
que	O
fique	O
pela	O
América	B-ORGANIZACAO
e	O
ataque	O
outros	O
holocaustos	O
que	O
não	O
criticou	O
:	O
Guantanamo	O
,	O
o	O
muro	O
internacional	O
no	O
México	B-LOCAL
,	O
que	O
ataque	O
a	O
administração	O
Bush	B-PESSOA
que	O
ainda	O
não	O
assinou	O
o	O
Protocolo	B-PESSOA
de	I-PESSOA
Quioto	I-PESSOA
,	O
que	O
ataque	O
um	O
país	O
que	O
mantem	O
a	O
pena	O
de	O
morte	O
,	O
que	O
ataque	O
um	O
país	O
onde	O
é	O
constitucional	O
o	O
uso	O
de	O
armas	O
...	O
e	O
lembrar-lhe	O
que	O
há	O
muitos	O
holocaustos	O
no	O
mundo	O
...	O
G.S.	O
,	O
enquanto	O
aufere	O
uns	O
bons	O
milhões	O
de	O
dólares	O
e	O
estará	O
num	O
gabinete	O
provavelmente	O
nada	O
ecológico	O
,	O
com	O
ar	O
condicionado	O
,	O
podia	O
sair	O
um	O
pouco	O
da	O
sua	O
aura	O
de	O
eterna	O
vítima	O
de	O
anti-semitismo	O
e	O
demonstar	O
mais	O
solidariedade	O
com	O
estas	O
irracionalidades	O
no	B-TEMPO
Mundo	I-TEMPO
de	I-TEMPO
hoje	I-TEMPO
como	O
Angola	B-LOCAL
e	O
que	O
são	O
também	O
holocautos	O
tão	O
ou	O
mais	O
graves	O
que	O
Kosovo	B-PESSOA
e/ou	O
Israel-Palestina	O
:	O
Darfur	O
,	O
Birmânia	B-LOCAL
,	O
Congo	B-LOCAL
,	O
Ruanda	B-LOCAL
,	O
Singapura	B-LOCAL
,	O
Indonésia	B-LOCAL
,	O
Tibete	B-PESSOA
,	O
povos	O
da	O
Amazónia	B-LOCAL
,	O
Curdos	B-PESSOA
e	O
Nações	B-PESSOA
sem	O
Estado	O
.	O
Doença	B-PESSOA
de	I-PESSOA
Chagas	I-PESSOA
1	O
.	O
NOÇÕES	O
GERAIS	O
.	O
Histórico	B-PESSOA
Carlos	I-PESSOA
Chagas	I-PESSOA
:	O
A	O
doença	O
de	O
Chagas	B-PESSOA
ou	O
tripanosomíase	O
americana	O
foi	O
descoberta	O
pelo	O
médico	O
sanitarista	O
Carlos	B-PESSOA
Justiniano	I-PESSOA
Ribeiro	I-PESSOA
das	I-PESSOA
Chagas	I-PESSOA
-	O
Carlos	B-PESSOA
Chagas	I-PESSOA
-	O
em	B-TEMPO
1909	I-TEMPO
.	O
Este	O
brasileiro	O
descobriu	O
a	O
doença	O
e	O
descreveu	O
praticamente	O
todos	O
os	O
seus	O
aspectos	O
.	O
Quando	O
Carlos	B-PESSOA
Chagas	I-PESSOA
realizava	O
uma	O
campanha	O
contra	O
a	O
malária	O
que	O
atingia	O
operários	O
na	O
construção	O
de	O
um	O
trecho	O
da	O
Estrada	B-ORGANIZACAO
de	I-ORGANIZACAO
Ferro	I-ORGANIZACAO
Central	I-ORGANIZACAO
do	O
Brasil	B-LOCAL
,	O
ao	O
norte	O
de	O
Minas	B-PESSOA
Gerais	I-PESSOA
,	O
ao	O
fazer	O
exames	O
de	O
uma	O
menina	O
doente	O
,	O
encontrou	O
tripanosomos	O
em	O
seu	O
sangue	O
.	O
Ao	O
examinar	O
posteriormente	O
as	O
fezes	O
de	O
insetos	O
existentes	O
na	O
região	O
e	O
o	O
sangue	O
de	O
animais	O
mamíferos	O
,	O
constatou	O
também	O
a	O
presença	O
dos	O
mesmos	O
parasitas	O
.	O
Desta	O
forma	O
,	O
Carlos	B-PESSOA
Chagas	I-PESSOA
pode	O
descrever	O
o	O
agente	O
causador	O
,	O
o	O
transmissor	O
e	O
o	O
modo	O
de	O
transmissão	O
da	O
doença	O
,	O
como	O
também	O
comprovar	O
a	O
existência	O
de	O
vertebrados	O
que	O
são	O
reservatórios	O
silvestres	O
e	O
domésticos	O
do	O
parasita	O
,	O
esclarecendo	O
assim	O
os	O
aspectos	O
básicos	O
da	O
epidemiologia	O
da	O
doença	O
.	O
Definição	O
da	O
doença	O
:	O
A	O
doença	O
de	O
Chagas	B-PESSOA
é	O
uma	O
infecção	O
transmissível	O
causada	O
por	O
um	O
parasita	O
que	O
circula	O
no	O
sangue	O
e	O
ataca	O
o	O
coração	O
,	O
bem	O
como	O
órgãos	O
do	O
aparelho	O
digestivo	O
-LRB-	O
esôfago	O
e	O
intestino	O
-RRB-	O
.	O
Sua	O
transmissão	O
exige	O
a	O
participação	O
de	O
um	O
vetor	O
,	O
o	O
triatomíneo	O
conhecido	O
pelo	O
nome	O
de	O
barbeiro	O
,	O
fincão	O
,	O
chupança	O
entre	O
outras	O
dependendo	O
da	O
região	O
.	O
É	O
uma	O
doença	O
do	O
continente	O
americano	O
-LRB-	O
sul	O
dos	O
Estados	B-ORGANIZACAO
Unidos	I-ORGANIZACAO
até	O
a	O
Argentina	B-LOCAL
-RRB-	O
.	O
Transmissores	O
:	O
São	O
artrópodes	O
da	O
classe	O
Insecta	B-LOCAL
,	O
ordem	O
Hemiptera	B-PESSOA
,	O
família	B-PESSOA
Reduviidae	I-PESSOA
e	O
subfamília	B-PESSOA
Triatominae	I-PESSOA
.	O
Sugam	O
sangue	O
-LRB-	O
hematofágos	O
-RRB-	O
em	O
todas	O
as	O
fases	O
de	O
seu	O
ciclo	O
evolutivo	O
.	O
Vivem	O
em	B-TEMPO
média	I-TEMPO
entre	I-TEMPO
um	I-TEMPO
a	I-TEMPO
dois	I-TEMPO
anos	I-TEMPO
,	O
com	O
evolução	O
de	O
ovo	O
,	O
ninfa	O
e	O
adulto	O
,	O
com	O
grande	O
capacidade	O
de	O
reprodução	O
e	O
,	O
dependendo	O
da	O
espécie	O
,	O
com	O
intensa	O
resistência	O
ao	O
jejum	O
.	O
Ecologia	O
e	O
distribuição	O
.	O
Os	O
triatomíneos	O
têm	O
ampla	O
distribuição	O
geográfica	O
no	O
Novo	B-LOCAL
Mundo	I-LOCAL
,	O
desde	O
os	O
Estados	B-ORGANIZACAO
Unidos	I-ORGANIZACAO
até	O
o	O
sul	O
do	O
Chile	B-LOCAL
e	O
Argentina	B-LOCAL
,	O
existindo	O
espécies	O
que	O
são	O
tipicamente	O
silvestres	O
;	O
e	O
das	O
118	O
espécies	O
conhecidas	O
,	O
105	O
são	O
do	O
Novo	B-LOCAL
Mundo	I-LOCAL
.	O
Todas	O
as	O
espécies	O
são	O
vetoras	O
em	O
potencial	O
para	O
o	O
Trypanosoma	B-LOCAL
cruzi	O
,	O
mas	O
seis	O
têm	O
importância	O
epidemiológica	O
na	O
América	B-LOCAL
do	I-LOCAL
Sul	I-LOCAL
:	O
Triatoma	O
infestans	O
,	O
T.	O
brasiliensis	O
,	O
T.	O
dimidiata	O
,	O
T.	O
sordida	O
,	O
P.	B-PESSOA
megistus	I-PESSOA
e	O
Rhodnius	B-PESSOA
prolixus	O
.	O
A	O
espécie	O
vetora	O
mais	O
importante	O
,	O
devido	O
ao	O
seu	O
hábito	O
quase	O
que	O
estritamente	O
doméstico	O
e	O
também	O
com	O
a	O
mais	O
extensa	O
área	O
de	O
distribuição	O
,	O
é	O
o	O
T.	O
infestans	O
,	O
encontrado	O
na	O
Argentina	B-LOCAL
,	O
Bolívia	B-LOCAL
,	O
Brasil	B-LOCAL
,	O
Chile	B-PESSOA
,	O
Paraguai	B-PESSOA
,	O
Peru	B-PESSOA
e	O
Uruguai	B-PESSOA
.	O
Em	O
algumas	O
localidades	O
do	O
sul	O
do	O
Brasil	B-LOCAL
-LRB-	O
Rio	B-LOCAL
Grande	I-LOCAL
do	I-LOCAL
Sul	I-LOCAL
-RRB-	O
,	O
sul	O
do	O
Peru	B-PESSOA
,	O
Bolívia	B-PESSOA
e	O
algumas	O
localidades	O
do	O
noroeste	O
da	O
Argentina	B-LOCAL
,	O
T.	O
infestans	O
também	O
tem	O
hábito	O
peridoméstico	O
,	O
ocupando	O
galinheiros	O
,	O
currais	O
etc.	O
.	O
As	O
colônias	O
em	O
ecótopos	O
artificias	O
têm	O
tendência	O
a	O
se	O
concentrarem	O
nas	O
partes	O
mais	O
altas	O
da	O
parede	O
.	O
Neste	O
gênero	O
,	O
Triatoma	B-LOCAL
,	O
um	O
exemplo	O
típico	O
é	O
dado	O
pelo	O
T.	O
arthurneivai	O
que	O
,	O
habita	O
fendas	O
de	O
pedras	O
e	O
está	O
associado	O
a	O
lagartos	O
e	O
roedores	O
.	O
É	O
encontrado	O
no	O
Brasil	B-LOCAL
nos	O
estados	O
da	O
Bahia	B-LOCAL
,	O
Minas	B-PESSOA
Gerais	I-PESSOA
e	O
São	B-PESSOA
Paulo	I-PESSOA
.	O
No	O
estado	O
de	O
São	B-LOCAL
Paulo	I-LOCAL
,	O
Rodrigues	B-PESSOA
et	O
al.	O
-LRB-	O
1992	B-TEMPO
-RRB-	O
encontraram	O
adultos	O
da	O
referida	O
espécie	O
em	O
ecótopos	O
artificiais	O
e	O
com	O
infecção	O
natural	O
pelo	O
T.	O
cruzi	O
.	O
Ainda	O
no	O
Brasil	B-LOCAL
,	O
no	O
estado	O
do	O
Rio	B-LOCAL
Grande	I-LOCAL
do	I-LOCAL
Sul	I-LOCAL
,	O
no	O
Uruguai	B-LOCAL
e	O
no	O
norte	O
da	O
Argentina	B-LOCAL
encontra-se	O
outra	O
espécie	O
T.	O
rubrovaria	O
,	O
tipicamente	O
silvestre	O
que	O
convive	O
com	O
roedores	O
em	O
ambientes	O
pedregosos	O
.	O
Apresenta	O
alto	O
índice	O
de	O
infecção	O
natural	O
e	O
invade	O
os	O
domicílios	O
principalmente	O
no	O
verão	O
.	O
Na	O
Argentina	O
temos	O
mais	O
duas	O
espécies	O
deste	O
grupo	O
que	O
são	O
T.	O
eratyrusiformis	O
e	O
T.	O
patagonica	O
:	O
criam-se	O
em	O
lugares	O
pedregosos	O
e	O
alimentam-se	O
de	O
pequenos	O
roedores	O
,	O
mas	O
atacam	O
o	O
homem	O
e	O
os	O
animais	O
domésticos	O
à	O
noite	O
.	O
T.	O
brasiliensis	O
com	O
altas	O
taxas	O
de	O
infecção	O
pelo	O
T.	O
cruzi	O
é	O
o	O
vetor	O
mais	O
importante	O
no	O
nordeste	B-LOCAL
do	I-LOCAL
Brasil	I-LOCAL
,	O
e	O
pode	O
ser	O
encontrado	O
com	O
alguma	O
freqüência	O
em	O
domicílios	O
.	O
Tem	O
hábitos	O
silvestres	O
e	O
peridomiciliares	O
,	O
onde	O
está	O
associado	O
com	O
abrigo	O
de	O
cabras	O
,	O
galinheiros	O
e	O
ecótopos	O
rochosos	O
;	O
no	O
peridomicílio	O
e	O
domicílio	O
tem	O
as	O
aves	O
como	O
principal	O
fonte	O
alimentar	O
,	O
seguidas	O
por	O
humanos	O
.	O
A	O
segunda	O
espécie	O
vetora	O
é	O
P.	O
megistus	O
,	O
sendo	O
domiciliada	O
em	O
algumas	O
regiões	O
,	O
peridomiciliar	O
e	O
silvestre	O
em	O
outras	O
.	O
Também	O
tem	O
vasta	O
distribuição	O
geográfica	O
,	O
distribui-se	O
desde	O
as	O
Guianas	B-LOCAL
até	O
a	O
Argentina	B-LOCAL
.	O
É	O
a	O
espécie	O
responsável	O
pelos	O
focos	O
mais	O
intensos	O
da	O
endemia	O
chagásica	O
em	O
Minas	B-LOCAL
Gerais	I-LOCAL
e	O
Bahia	B-LOCAL
-LRB-	O
Brasil	B-LOCAL
-RRB-	O
.	O
Tem	O
hábito	O
silvestre	O
no	O
centro	O
do	O
Brasil	B-LOCAL
e	O
