P	B-COISA
nos	O
assuntos	O
presidenciais.	O
Aliás	O
,	O
os	O
últimos	O
sete	O
presidentes	O
eleitos	O
vieram	O
de	O
regiões	O
no	O
Sul	B-LOCAL
ou	O
do	O
Oeste	O
,	O
e	O
ser	O
oriundo	O
do	O
Nordeste	O
americano	O
passou	O
a	O
ser	O
quase	O
considerado	O
uma	O
garantia	O
de	O
derrota	O
eleitoral	O
(	O
que	O
o	O
digam	O
Dukakis	O
ou	O
Kerry	O
)	O
.	O
Como	O
recordava	O
um	O
artigo	O
num	O
recente	O
número	O
da	O
revista	O
New	O
Yorker	O
,	O
Nova	B-PESSOA
Iorque	B-LOCAL
já	O
não	O
via	O
uma	O
coisa	O
assim	O
desde	O
1951	B-TEMPO
,	O
quando	O
,	O
no	O
campeonato	O
de	O
basebol	O
,	O
as	O
equipas	O
de	O
Brooklin	O
Dodgers	O
e	O
dos	O
New	O
York	O
Giants	O
disputaram	O
o	O
``	O
play	O
off	O
''	O
para	O
decidir	O
quem	O
iria	O
à	O
final	B-TEMPO
com	O
os	O
New	O
York	O
Yankees	O
(	O
que	O
acabaram	O
vencedores	O
da	O
``	O
World	B-LOCAL
Séries	O
``	O
)	O
.	O
Para	O
uma	O
eventual	O
candidatura	O
,	O
Bloomberg	O
nem	O
sequer	O
está	O
preocupado	O
com	O
o	O
facto	O
de	O
arrancar	O
tarde	B-TEMPO
,	O
numas	O
eleições	O
em	O
que	O
as	O
primárias	O
servem	O
para	O
angariar	O
fundos	O
(	O
em	O
anteriores	O
eleições	O
,	O
o	O
também	O
magnata	O
dos	O
``	O
media	O
''	O
já	O
gastou	O
mais	O
de	O
160	O
milhões	B-VALOR
de	O
dólares	B-VALOR
do	O
seu	O
bolso	O
,	O
e	O
tem	O
muitos	O
mais	O
para	O
gastar	O
)	O
.	O
Além	O
disso	O
,	O
Bloomberg	O
conta	O
com	O
o	O
efeito	O
de	O
subida	O
de	O
popularidade	O
dos	O
independentes	O
nos	O
EUA	B-LOCAL
.	O
Os	B-OBRA
estudos	O
dizem	O
que	O
cerca	B-TEMPO
de	I-TEMPO
40	B-VALOR
%	I-VALOR
dos	O
eleitores	O
não	O
tem	O
simpatia	O
por	O
nenhum	O
dos	O
partidos.	O
E	O
este	O
dado	O
torna	O
o	O
estatuto	O
de	O
independente	O
muito	O
atraente	O
--	O
um	O
fenómeno	O
semelhante	O
ao	O
verificado	O
com	O
a	O
candidatura	O
de	O
Manuel	B-PESSOA
Alegre	B-LOCAL
,	O
nas	O
últimas	O
presidenciais	O
portuguesas	O
,	O
ou	O
com	O
aquilo	O
que	O
esperam	O
conseguir	O
Helena	B-PESSOA
Roseta	O
e	O
Carmona	O
Rodrigues	B-PESSOA
nas	O
próximas	O
eleições	O
intercalares	O
para	O
a	O
Câmara	B-LOCAL
de	O
Lisboa	B-LOCAL
.	O
Lobotomia	O
História	B-COISA
Foi	O
desenvolvida	O
em	B-TEMPO
1935	I-TEMPO
pelo	O
médico	O
neurologista	O
português	O
António	B-PESSOA
Egas	O
Moniz	O
(	O
1874-1955	O
)	O
,	O
em	O
equipe	O
com	O
o	O
cirurgião	O
Almeida	B-COISA
Lima	B-LOCAL
,	O
na	O
Universidade	B-OBRA
de	I-OBRA
Lisboa	I-OBRA
.	O
Egas	O
Moniz	O
veio	O
a	O
receber	O
com	O
este	O
trabalho	O
o	O
prêmio	O
Nobel	B-OUTRO
da	O
Medicina	B-ABSTRACCAO
e	O
Fisiologia	O
em	O
1949	O
.	O
A	O
Leucotomia	O
foi	O
a	O
primeira	O
técnica	O
de	O
Psicocirurgia	O
ou	O
seja	O
,	O
a	O
utilização	O
de	O
manipulações	O
orgânicas	O
do	O
cérebro	O
para	O
curar	O
ou	O
melhorar	O
sintomas	O
de	O
uma	O
patologia	O
psiquiátrica	O
(	O
em	O
contrapartida	O
à	O
neurocirurgia	O
que	O
se	O
ocupa	O
de	O
doentes	O
com	O
patologia	O
orgânica	O
directa	O
ou	O
neurológica	O
)	O
.	O
Inicialmente	O
foi	O
usada	O
para	O
tratar	O
depressão	O
severa.	O
Egas	O
Moniz	O
sempre	O
defendeu	O
o	O
seu	O
uso	O
apenas	O
em	O
casos	O
graves	O
em	O
que	O
houvesse	O
risco	O
de	O
violência	O
ou	O
suicídio.	O
No	O
entanto	O
apesar	O
de	O
cerca	B-TEMPO
de	I-TEMPO
6	O
%	B-VALOR
dos	O
pacientes	O
não	O
sobreviverem	O
à	O
operação	O
,	O
e	O
de	O
vários	O
outros	O
ficarem	O
com	O
alterações	O
da	O
personalidade	O
muito	O
severos	O
,	O
foi	O
praticada	O
com	O
entusiasmo	O
excessivo	O
em	O
muitos	O
paises	O
,	O
nomeadamente	O
o	O
Japão	B-LOCAL
e	O
os	O
Estados	B-ORGANIZACAO
Unidos	B-PESSOA
.	O
Neste	O
último	O
país	O
foi	O
popularizada	O
pelo	O
cirurgião	O
Walter	B-PESSOA
Freeman	O
,	O
que	O
divulgou	O
a	O
técnica	O
por	O
todo	O
o	O
seu	O
país	O
,	O
percorrendo	O
o	O
no	O
seu	O
Lobotomobile	O
,	O
e	O
criando	O
inclusivamente	O
uma	O
variante	O
em	O
que	O
espetava	O
um	O
picador	O
de	O
gelo	O
directamente	O
no	O
crânio	O
do	O
doente	O
,	O
desde	O
um	O
ponto	O
logo	O
acima	O
do	O
canal	O
lacrimal	O
com	O
a	O
ajuda	O
de	O
um	O
martelo	O
,	O
rodando-se	O
depois	O
o	O
mesmo	O
para	O
destruir	O
as	O
vias	O
aí	O
localizadas.	O
Supostamente	O
a	O
atractividade	O
deste	O
procedimento	O
seria	O
o	O
seu	O
baixo	O
custo	O
e	O
o	O
desejo	O
social	O
de	O
silenciar	O
doentes	O
psiquiátricos	O
incómodos.	O
A	O
leucotomia	O
ganhou	O
tal	O
popularidade	O
que	O
foi	O
inclusivamente	O
praticada	O
em	O
crianças	O
com	O
mau	O
comportamento.	O
Cerca	B-VALOR
de	I-VALOR
50.000	B-VALOR
doentes	O
foram	O
tratados	O
só	O
nos	O
Estados	B-LOCAL
Unidos	B-PESSOA
.	O
Com	O
a	O
ajuda	O
destes	O
abusos	O
,	O
a	O
leucotomia	O
foi	O
abandonada	O
quando	O
surgiram	O
os	O
primeiros	O
fármacos	O
antipsicóticos.	O
Durante	B-TEMPO
muito	O
tempo	O
foi	O
considerada	O
algo	O
injustamente	O
como	O
um	O
episódio	O
barbárico	O
na	B-TEMPO
história	O
da	O
Psiquiatria	O
,	O
sendo	O
comum	O
a	O
comparação	O
à	O
técnica	O
da	O
flebotomia	O
(	O
ou	O
sangria	O
)	O
na	B-TEMPO
história	O
da	O
medicina	O
interna.	O
Team	O
Suzuki	O
Cepsa	O
-	O
Notícias	O
27	B-ORGANIZACAO
Março	B-TEMPO
de	I-TEMPO
2005	B-ACONTECIMENTO
Luís	B-PESSOA
Correia	O
domina	O
concorrência	O
em	O
Casais	B-PESSOA
S.Quintino	O
Luís	B-PESSOA
Correia	O
em	O
Suzuki	O
RMZ	O
250	B-VALOR
voltou	O
a	O
demonstrar	O
o	O
seu	O
excelente	O
momento	O
de	O
forma	O
ao	O
dominar	O
por	O
completo	O
a	O
classe	O
125cc	O
na	B-TEMPO
2ª	O
jornada	O
do	O
Campeonato	B-ACONTECIMENTO
Nacional	B-PESSOA
de	B-ORGANIZACAO
Motocross	O
,	O
que	O
se	O
realizou	O
este	O
domingo	B-TEMPO
em	O
Casais	B-PESSOA
de	O
S.Quintino	O
.	O
Numa	B-OBRA
pista	O
em	O
bom	O
estado	O
,	O
apesar	O
da	O
ameaça	O
de	O
chuva	O
que	O
pairou	O
na	B-TEMPO
região	O
durante	O
o	O
domingo	B-TEMPO
de	O
Páscoa	O
,	O
foram	O
muitos	O
os	O
espectadores	O
que	O
resolveram	O
ver	O
o	O
espectáculo	O
do	O
Motocross	O
.	O
E	O
o	O
piloto	O
a	O
dar	O
mais	O
espectáculo	O
foi	O
Luís	B-PESSOA
Correia	O
que	O
deu	O
um	O
recital	O
de	O
condução	O
aos	O
seus	O
mais	O
directos	O
adversários	O
,	O
averbando	O
uma	O
vitória	O
que	O
não	O
deixa	O
margens	O
para	O
dúvidas.	O
Para	O
o	O
piloto	O
do	O
Team	O
Suzuki	O
Cepsa	O
,	O
o	B-TEMPO
dia	I-TEMPO
até	O
começou	O
muito	O
bem	O
com	O
a	O
conquista	O
do	O
1º	O
lugar	O
na	B-TEMPO
grelha	O
de	O
partida.	O
Na	O
partida	O
não	O
conseguiu	O
chegar	O
à	O
primeira	O
curva	O
na	B-TEMPO
liderança	O
mas	O
após	O
algumas	O
voltas	O
,	O
cedo	O
instalou-se	O
no	O
comando	O
do	O
numeroso	O
pelotão	O
,	O
distanciando-se	O
a	O
partir	O
desse	O
momento	O
dos	O
seus	O
perseguidores.	O
Com	O
esta	O
vitória	O
cimentou	O
a	O
liderança	O
na	B-TEMPO
classificação	O
actual	O
do	O
Campeonato	B-ACONTECIMENTO
Nacional	B-PESSOA
de	B-ORGANIZACAO
Motocross	O
,	O
classe	O
125	O
.	O
Os	O
seus	O
companheiros	O
de	O
equipa	O
tiveram	O
prestações	O
diferentes	O
,	O
tendo	O
Ricardo	B-PESSOA
Pereira	I-PESSOA
alcançado	O
o	O
6º	O
lugar	O
e	O
Hugo	B-PESSOA
Basaula	O
o	O
15º	O
lugar.	O
Para	O
o	O
mais	O
jovem	O
membro	O
do	O
Team	O
Suzuki	O
Cepsa	O
,	O
Hugo	B-PESSOA
Basaula	O
,	O
esta	O
manga	O
começou	O
muito	O
bem	O
,	O
pois	O
o	O
piloto	O
fez	O
uma	O
partida	O
fenomenal	O
e	O
assumiu	O
a	O
3ª	O
posição	O
no	O
pelotão.	O
Mas	O
uma	O
queda	O
que	O
sofreu	O
num	O
salto	O
,	O
fez	O
com	O
que	O
tivesse	O
que	O
recuperar	O
da	O
última	B-TEMPO
posição	O
e	O
já	O
com	O
muito	O
tempo	O
de	O
atraso	O
para	O
os	O
seus	O
adversários.	O
Após	O
uma	O
recuperação	O
endiabrada	O
conseguiu	O
então	O
a	O
15º	O
posição	O
final.	O
Ricardo	B-PESSOA
Pereira	I-PESSOA
esteve	O
mais	O
uma	O
vez	O
muito	O
regular	O
e	O
rápido	O
terminando	O
no	O
6º	O
lugar	O
com	O
a	O
Suzuki	O
RMZ	O
250	B-VALOR
.	O
Na	O
classe	O
maior	O
,	O
Ricardo	B-PESSOA
Pazos	O
,	O
partiu	O
determinado	O
a	O
melhorar	O
a	O
sua	O
prestação	O
relativamente	O
à	O
Águeda	O
,	O
e	O
com	O
uma	O
condução	O
mais	O
adaptada	O
à	O
Suzuki	O
RMZ	O
450	O
,	O
alcançou	O
o	O
3º	O
lugar	O
,	O
muito	O
perto	O
de	O
Paulo	O
Gonçalves	O
que	O
secundou	O
Hugo	B-PESSOA
Santos	B-LOCAL
no	O
Podium	O
.	O
No	O
final	O
da	O
tarde	B-TEMPO
realizou-se	O
a	O
manga	O
do	O
Absoluto	O
,	O
e	O
mais	O
uma	O
vez	O
Luís	B-PESSOA
Correia	O
demonstrou	O
porque	O
é	O
o	O
piloto	O
mais	O
rápido	O
a	O
correr	O
em	O
Portugal	B-LOCAL
com	O
máquinas	O
da	O
classe	O
125	O
.	O
Alcançou	O
o	O
3º	O
lugar	O
em	O
termos	O
de	O
Absoluto	O
e	O
foi	O
o	O
melhor	O
piloto	O
da	O
classe	O
125	O
.	O
Para	O
Ricardo	B-PESSOA
Pazos	O
esta	O
manga	O
ficou	O
marcada	O
por	O
uma	O
queda	O
espectacular	O
que	O
sofreu	O
logo	O
na	B-TEMPO
volta	O
inicial	O
e	O
quando	O
tentava	O
assumir	O
a	O
liderança	O
,	O
numa	O
descida	O
em	O
que	O
os	O
pilotos	O
alcançam	O
velocidades	O
muito	O
elevadas.	O
Apesar	O
do	O
grande	O
aparato	O
da	O
queda	O
,	O
Ricardo	B-PESSOA
Pazos	O
pode	O
prosseguir	O
em	O
prova	O
,	O
pois	O
os	O
seus	O
equipamentos	O
protegeram-no	O
de	O
lesões	O
graves	O
,	O
nomeadamente	O
o	O
capacete	O
CMS	O
,	O
botas	O
Oxtar	O
e	O
equipamento	O
Shift	O
.	O
Apesar	O
de	O
ter	O
quase	O
uma	O
volta	O
de	O
atraso	O
para	O
os	O
seus	O
adversários	O
,	O
não	O
baixou	O
os	O
braços	O
e	O
realizou	O
uma	O
grande	O
recuperação	O
,	O
alcançando	O
o	O
12º	O
lugar.	O
Para	O
o	O
publico	O
presente	O
a	O
luta	O
travada	O
entre	B-OBRA
Hugo	B-PESSOA
Basaula	O
e	O
Ricardo	B-PESSOA
Pereira	I-PESSOA
foi	O
empolgante	O
,	O
pois	O
os	O
pilotos	O
trocavam	O
de	O
posições	O
em	O
todo	O
o	O
percurso	O
da	O
pista.	O
No	O
final	B-TEMPO
seria	O
Ricardo	B-PESSOA
Pereira	I-PESSOA
a	O
levar	O
a	O
melhor	O
sobre	O
o	O
colega	O
de	O
equipa	O
,	O
alcançando	O
o	O
11º	O
lugar	O
e	O
Hugo	B-PESSOA
Basaula	O
o	O
17º	O
lugar.	O
Esta	O
prova	O
também	O
contava	O
para	O
o	O
Troféu	O
Suzuki	O
Cepsa	O
Cetelem	O
Motojornal	O
,	O
e	O
o	O
lugar	O
mais	O
alto	O
do	O
Podium	O
voltou	O
a	O
ser	O
ocupado	O
por	O
Ricardo	B-PESSOA
Pereira	I-PESSOA
,	O
que	O
assim	O
permanece	O
invicto	O
deste	O
o	B-TEMPO
início	I-TEMPO
desta	O
iniciativa	O
em	B-TEMPO
2004	I-TEMPO
.	O
