Euro	B-COISA_CLASSE
silvestre	O
que	O
também	O
invade	O
ocasionalmente	B-TEMPO_FREQUENCIA
ecótopos	O
artificiais	O
e	O
tem	O
ampla	O
distribuição	O
geográfica	O
,	O
esta	O
associada	O
a	O
animais	O
com	O
hábitos	O
terrestres	O
(	O
buracos	O
)	O
,	O
como	O
é	O
o	O
caso	O
dos	O
tatus	O
.	O
Pode	O
-	O
se	O
citar	O
ainda	O
o	O
P.	B-COISA_CLASSE
diasi	I-COISA_CLASSE
com	O
distribuição	O
na	O
Bolívia	B-LOCAL_HUMANO
e	O
Brasil	B-LOCAL_HUMANO
nos	O
estados	O
de	O
Goiás	B-LOCAL_HUMANO
,	O
Minas	B-LOCAL_HUMANO
Gerais	I-LOCAL_HUMANO
,	O
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
e	O
Bahia	B-LOCAL_HUMANO
,	O
ocorrendo	O
neste	O
último	O
estado	O
na	O
região	O
da	O
caatinga	O
.	O
P	B-COISA_CLASSE
lutzi	I-COISA_CLASSE
no	O
nordeste	O
brasileiro	O
e	O
P.	B-COISA_CLASSE
tupynambai	I-COISA_CLASSE
no	O
Rio	B-LOCAL_HUMANO
Grande	I-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
e	O
Uruguai	B-LOCAL_HUMANO
são	O
espécies	O
que	O
nos	B-TEMPO_TEMPO_CALEND
últimos	I-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
têm	O
sido	O
encontradas	O
com	B-TEMPO_FREQUENCIA
freqüência	I-TEMPO_FREQUENCIA
nas	O
habitações	O
humanas	O
.	O
T.	B-COISA_CLASSE
sordida	I-COISA_CLASSE
geralmente	O
é	O
encontrada	O
em	O
ecótopos	O
silvestres	O
e	O
no	O
peridomicílio	O
,	O
invade	O
com	O
freqüência	O
o	O
domicílio	O
,	O
mas	O
é	O
considerada	O
espécie	O
secundária	O
.	O
Tem	O
distribuição	O
no	O
Brasil	B-LOCAL_HUMANO
Central	I-LOCAL_HUMANO
(	O
cerrado	O
)	O
,	O
partes	O
do	O
Paraguai	B-LOCAL_HUMANO
.	O
noroeste	O
da	O
Argentina	B-LOCAL_HUMANO
,	O
Uruguai	B-LOCAL_HUMANO
e	O
Bolívia	B-LOCAL_HUMANO
.	O
Tem	O
sido	O
encontrada	O
com	O
baixa	O
taxa	O
de	O
infecção	O
natural	O
,	O
a	O
qual	O
está	O
associada	O
a	O
roedores	O
.	O
T.	B-COISA_CLASSE
dimidiata	I-COISA_CLASSE
freqüenta	O
o	O
domicílio	O
e	O
é	O
encontrada	O
em	O
diversas	O
tocas	O
silvestres	O
,	O
tais	O
como	O
rocas	O
,	O
grutas	O
ocupadas	O
por	O
morcegos	O
e	O
ocos	O
de	O
arvores	O
,	O
sendo	O
um	O
importante	O
vetor	O
da	O
América	B-LOCAL_HUMANO
Central	I-LOCAL_HUMANO
,	O
México	B-LOCAL_HUMANO
,	O
Colômbia	B-LOCAL_HUMANO
,	O
Equador	B-LOCAL_HUMANO
e	O
norte	O
do	O
Peru	B-LOCAL_HUMANO
.	O
Outro	O
gênero	O
que	O
pertence	O
a	O
este	O
grupo	O
,	O
cujos	O
adultos	O
invadem	O
ecótopos	O
artificiais	O
,	O
são	O
algumas	O
espécies	O
de	O
Rhodnius	B-COISA_CLASSE
,	O
principalmente	O
R.	B-COISA_CLASSE
domesticus	I-COISA_CLASSE
,	O
que	O
é	O
encontrado	O
na	O
região	O
litorânea	O
do	O
Brasil	B-LOCAL_HUMANO
,	O
R.	B-COISA_CLASSE
pictipes	I-COISA_CLASSE
nas	O
regiões	O
norte	O
e	O
centro	O
-	O
oeste	O
do	O
Brasil	B-LOCAL_HUMANO
e	O
o	O
R.	B-COISA_CLASSE
brethesi	I-COISA_CLASSE
,	O
com	O
distribuição	O
no	O
norte	O
do	O
Brasil	B-LOCAL_HUMANO
e	O
Venezuela	B-LOCAL_HUMANO
,	O
tem	O
hábitos	O
silvestres	O
e	O
habita	O
palmeiras	O
de	O
piaçaba	O
(	O
Leopoldinia	B-COISA_CLASSE
piassaba	I-COISA_CLASSE
)	O
,	O
ataca	O
o	O
homem	O
com	O
avidez	O
e	O
,	O
nos	B-TEMPO_TEMPO_CALEND
últimos	I-TEMPO_TEMPO_CALEND
anos	I-TEMPO_TEMPO_CALEND
,	O
tem	O
invadido	O
com	B-TEMPO_FREQUENCIA
freqüência	I-TEMPO_FREQUENCIA
ecótopos	O
artificiais	O
.	O
R.	B-COISA_CLASSE
prolixus	I-COISA_CLASSE
é	O
a	O
espécie	O
vetora	O
mais	O
importante	O
da	O
Colômbia	B-LOCAL_HUMANO
e	O
Venezuela	B-LOCAL_HUMANO
,	O
onde	O
tem	O
hábito	O
doméstico	O
,	O
sendo	O
responsável	O
pela	O
transmissão	O
natural	O
da	O
Doença	B-ABSTRACCAO_ESTADO
de	I-ABSTRACCAO_ESTADO
Chagas	I-ABSTRACCAO_ESTADO
.	O
Também	O
é	O
importante	O
em	O
algumas	O
partes	O
da	O
América	B-LOCAL_HUMANO
Central	I-LOCAL_HUMANO
,	O
particularmente	O
em	O
El	B-LOCAL_HUMANO
Salvador	I-LOCAL_HUMANO
,	O
Guatemala	B-LOCAL_HUMANO
e	O
Honduras	B-LOCAL_HUMANO
.	O
No	O
ambiente	O
domiciliar	O
,	O
R.	B-COISA_CLASSE
prolixus	I-COISA_CLASSE
alimenta	O
-	O
se	O
principalmente	O
de	O
sangue	O
humano	O
e	O
de	O
aves	O
,	O
embora	O
utilize	O
também	O
,	O
como	O
fonte	O
alimentar	O
,	O
cães	O
e	O
gatos	O
.	O
No	O
ambiente	O
silvestre	O
,	O
faz	O
uso	O
de	O
marsupiais	O
e	O
roedores	O
como	O
fonte	O
de	O
alimento	O
.	O
R.	B-COISA_CLASSE
pallescens	I-COISA_CLASSE
é	O
importante	O
vetora	O
no	O
Panamá	B-LOCAL_HUMANO
,	O
invade	O
casas	O
com	B-TEMPO_FREQUENCIA
freqüência	I-TEMPO_FREQUENCIA
formando	O
colônias	O
e	O
é	O
encontrada	O
também	O
no	O
peridomicílio	O
e	O
em	O
ambientes	O
silvestres	O
em	O
palmeiras	O
.	O
As	O
populações	O
domésticas	O
na	O
área	O
central	O
do	O
Panamá	B-LOCAL_HUMANO
têm	O
como	O
fonte	O
alimentar	O
o	O
homem	O
(	O
59%	B-VALOR_QUANTIDADE
)	O
,	O
seguido	O
por	O
marsupiais	O
e	O
aves	O
domésticas	O
.	O
No	O
Velho	B-LOCAL_HUMANO
Mundo	I-LOCAL_HUMANO
,	O
são	O
13	B-VALOR_QUANTIDADE
as	O
espécies	O
descritas	O
,	O
necessitando	O
de	O
esclarecimentos	O
epidemiológicos	O
.	O
Não	O
se	O
encontrou	O
nenhuma	O
infectada	O
pelo	O
T.	B-COISA_CLASSE
cruzi	I-COISA_CLASSE
.	O
A	O
espécie	O
mais	O
conhecida	O
dentre	O
estas	O
é	O
Triatoma	B-COISA_CLASSE
rubrofasciata	I-COISA_CLASSE
,	O
que	O
é	O
cosmopolita	O
e	O
encontrada	O
em	O
regiões	O
portuárias	O
.	O
Uma	O
nação	O
de	O
pedintes	O
O	O
PRESIDENTE	B-PESSOA_INDIVIDUAL
Sarkozy	I-PESSOA_INDIVIDUAL
abriu	O
a	O
Conferência	B-ACONTECIMENTO_EVENTO
de	I-ACONTECIMENTO_EVENTO
Dadores	I-ACONTECIMENTO_EVENTO
realizada	O
em	O
Paris	B-LOCAL_HUMANO
com	O
uma	O
frase	O
grandiloquente	O
sobre	O
a	O
necessidade	O
urgente	O
de	O
criar	O
um	O
Estado	B-ORGANIZACAO_ADMINISTRACAO
palestiniano	O
no	B-TEMPO_TEMPO_CALEND
fim	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2008	I-TEMPO_TEMPO_CALEND
.	O
O	O
Presidente	B-PESSOA_CARGO
ou	O
é	O
mentiroso	O
ou	O
finge	O
-	O
se	O
ignorante	O
,	O
ou	O
as	O
duas	O
coisas	O
.	O
Depois	O
do	O
falhanço	O
esperado	O
da	O
cimeira	O
de	O
Annapolis	B-LOCAL_HUMANO
,	O
um	O
modo	O
de	O
Condoleezza	B-PESSOA_INDIVIDUAL
Rice	I-PESSOA_INDIVIDUAL
salvar	O
a	O
face	O
e	O
de	O
a	O
Administração	B-ORGANIZACAO_ADMINISTRACAO
americana	O
e	O
a	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
continuarem	O
a	O
fingir	O
que	O
estão	O
interessadas	O
em	O
resolver	O
o	O
conflito	O
israelo	O
-	O
palestiniano	O
e	O
de	O
lavarem	O
as	O
mãos	O
de	O
tudo	O
o	O
resto	O
,	O
Sarkozy	B-PESSOA_INDIVIDUAL
não	O
pode	O
ignorar	O
que	O
o	O
momento	O
para	O
pronunciamentos	O
débeis	O
é	O
o	O
menos	O
adequado	O
.	O
Tony	B-PESSOA_INDIVIDUAL
Blair	I-PESSOA_INDIVIDUAL
,	O
depois	O
de	O
ter	O
minado	O
todo	O
o	O
processo	O
de	O
paz	O
do	O
Médio	B-LOCAL_HUMANO
Oriente	I-LOCAL_HUMANO
ao	O
ordenar	O
a	O
invasão	O
do	O
Iraque	B-LOCAL_HUMANO
de	O
braço	O
dado	O
com	O
Bush	B-PESSOA_INDIVIDUAL
,	O
continua	O
a	O
emitir	O
piedades	O
deste	O
género	O
,	O
e	O
diz	O
que	O
está	O
na	B-TEMPO_GENERICO
altura	I-TEMPO_GENERICO
de	O
resolver	O
o	O
problema	O
e	O
que	O
ele	O
pode	O
ser	O
resolvido	O
.	O
Blair	B-PESSOA_INDIVIDUAL
não	O
sabe	O
o	O
que	O
diz	O
.	O
A	O
verdade	O
é	O
que	O
não	O
pode	O
ser	O
resolvido	O
,	O
já	O
não	O
pode	O
,	O
e	O
não	O
pode	O
justamente	O
nesta	O
fase	O
,	O
quando	O
os	O
palestinianos	O
têm	O
não	O
um	O
mas	O
dois	O
governos	O
e	O
dois	O
territórios	O
,	O
um	O
ocupado	O
pelos	O
israelitas	O
,	O
a	O
Cisjordânia	B-LOCAL_HUMANO
,	O
outro	O
abandonado	O
pelos	O
israelitas	O
e	O
bombardeado	O
pelos	O
israelitas	O
,	O
Gaza	B-LOCAL_HUMANO
.	O
Anos	B-TEMPO_DURACAO
e	I-TEMPO_DURACAO
anos	I-TEMPO_DURACAO
de	O
destruição	O
compulsiva	O
de	O
interlocutores	O
,	O
alguns	O
moderados	O
,	O
e	O
de	O
opressão	O
,	O
fizeram	O
do	O
povo	O
palestiniano	O
uma	O
nação	O
de	O
pedintes	O
.	O
Gaza	B-ORGANIZACAO_ADMINISTRACAO
subvive	O
das	O
esmolas	O
iranianas	O
,	O
sauditas	O
e	O
dos	O
Emiratos	B-ORGANIZACAO_ADMINISTRACAO
,	O
e	O
a	O
Cisjordânia	B-ORGANIZACAO_ADMINISTRACAO
subvive	O
de	O
doações	O
da	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
,	O
da	O
América	B-ORGANIZACAO_ADMINISTRACAO
,	O
de	O
Estados	O
árabes	O
e	O
das	O
Nações	B-ORGANIZACAO_ADMINISTRACAO
Unidas	I-ORGANIZACAO_ADMINISTRACAO
.	O
Nenhuma	O
nação	O
palestiniana	O
pode	O
aspirar	O
a	O
ser	O
um	O
Estado	B-ORGANIZACAO_ADMINISTRACAO
palestiniano	O
,	O
e	O
um	O
país	O
viável	O
,	O
sem	O
unidade	O
do	O
território	O
e	O
do	O
povo	O
,	O
e	O
sem	O
soberania	O
sobre	O
esse	O
povo	O
e	O
esse	O
território	O
.	O
No	O
terreno	O
,	O
temos	O
a	O
pior	O
situação	O
de	O
sempre	O
.	O
O	O
Hamas	B-ORGANIZACAO_INSTITUICAO
a	O
mandar	O
em	O
Gaza	B-ORGANIZACAO_ADMINISTRACAO
,	O
e	O
a	O
OLP	B-ORGANIZACAO_INSTITUICAO
a	O
fingir	O
que	O
manda	O
na	O
Cisjordânia	B-ORGANIZACAO_ADMINISTRACAO
.	O
Sarkozy	B-PESSOA_INDIVIDUAL
,	O
e	O
Blair	B-PESSOA_INDIVIDUAL
,	O
e	O
os	O
europeus	O
,	O
sendo	O
a	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
o	O
maior	O
dador	O
de	O
dinheiro	O
para	O
os	O
palestinianos	O
e	O
já	O
vamos	O
ver	O
porquê	O
,	O
não	O
podem	O
desconhecer	O
que	O
nem	O
Mahmoud	B-PESSOA_INDIVIDUAL
Abbas	I-PESSOA_INDIVIDUAL
é	O
um	O
chefe	O
com	O
apoio	O
popular	O
na	O
Cisjordânia	B-LOCAL_HUMANO
nem	O
a	O
OLP	B-ORGANIZACAO_INSTITUICAO
,	O
dominada	O
pela	O
Fatah	B-ORGANIZACAO_INSTITUICAO
,	O
tem	O
apoio	O
popular	O
em	O
Gaza	B-LOCAL_HUMANO
.	O
Se	O
realizassem	O
eleições	O
na	O
Cisjordânia	B-LOCAL_HUMANO
,	O
Abbas	B-PESSOA_INDIVIDUAL
e	O
um	O
grupo	O
de	O
agentes	O
corruptos	O
disfarçados	O
de	O
"	O
moderados	O
"	O
não	O
as	O
ganhariam	O
,	O
e	O
não	O
as	O
ganhariam	O
nas	O
cidades	O
onde	O
o	O
Hamas	B-ORGANIZACAO_INSTITUICAO
ganhou	O
.	O
Abbas	B-PESSOA_INDIVIDUAL
pode	O
fingir	O
mandar	O
em	O
Ramallah	B-ORGANIZACAO_INSTITUICAO
e	O
na	O
clientela	O
privilegiada	O
de	O
uma	O
organização	O
que	O
não	O
soube	O
constituir	O
-	O
se	O
como	O
fonte	O
legítima	O
do	O
poder	O
palestiniano	O
,	O
não	O
pode	O
fingir	O
que	O
é	O
considerado	O
em	O
Jenin	B-LOCAL_HUMANO
e	O
Hebron	B-LOCAL_HUMANO
,	O
em	O
Nablus	B-LOCAL_HUMANO
e	O
Tulkarem	B-LOCAL_HUMANO
,	O
em	O
Jericó	B-LOCAL_HUMANO
e	O
Jerusalém	B-LOCAL_HUMANO
Oriental	I-LOCAL_HUMANO
.	O
Abbas	B-PESSOA_INDIVIDUAL
,	O
arrastando	O
-	O
se	O
aos	O
pés	O
dos	O
chefes	O
europeus	O
a	O
mendigar	O
uns	O
milhares	O
de	O
milhões	O
de	O
dólares	O
enquanto	O
insulta	O
o	O
Hamas	B-ORGANIZACAO_INSTITUICAO
e	O
aceita	O
que	O
os	O
palestinianos	O
de	O
Gaza	B-LOCAL_HUMANO
sejam	O
colectivamente	O
punidos	O
pelo	O
embargo	O
israelita	O
e	O
pela	O
recusa	O
americana	O
e	O
europeia	O
de	O
incluir	O
o	O
Hamas	B-ORGANIZACAO_INSTITUICAO
no	O
processo	O
de	O
paz	O
é	O
visto	O
como	O
uma	O
marioneta	O
do	O
Ocidente	B-ORGANIZACAO_ADMINISTRACAO
e	O
um	O
traidor	O
.	O
Os	O
israelitas	O
sabem	O
isto	O
melhor	O
do	O
que	O
ninguém	O
porque	O
são	O
os	O
que	O
melhor	O
conhecem	O
a	O
quimera	O
do	O
road	O
map	O
.	O
Israel	B-ORGANIZACAO_ADMINISTRACAO
,	O
sabendo	O
que	O
não	O
pode	O
devolver	O
a	O
Cisjordânia	B-LOCAL_HUMANO
,	O
desmantelar	O
os	O
colonatos	O
,	O
prescindir	O
da	O
Ocupação	B-ACONTECIMENTO_EFEMERIDE
sem	O
comprometer	O
a	O
sua	O
segurança	O
,	O
dividir	O
Jerusalém	B-LOCAL_HUMANO
ou	O
ceder	O
a	O
pretensões	O
sobre	O
o	O
regresso	O
de	O
milhões	O
de	O
refugiados	O
(	O
que	O
nunca	O
poderão	O
regressar	O
)	O
,	O
está	O
interessado	O
em	O
manter	O
as	O
ficções	O
americanas	O
e	O
europeias	O
e	O
administrar	O
a	O
Ocupação	B-ACONTECIMENTO_EFEMERIDE
e	O
a	O
relação	O
de	O
forças	O
,	O
como	O
a	O
sua	O
supremacia	O
militar	O
assegura	O
.	O
O	O
Hamas	B-ORGANIZACAO_INSTITUICAO
está	O
interessado	O
,	O
simetricamente	O
,	O
em	O
administrar	O
a	O
resistência	O
.	O
Israel	B-ORGANIZACAO_ADMINISTRACAO
só	O
seria	O
obrigado	O
a	O
ceder	O
se	O
os	O
Estados	B-ORGANIZACAO_ADMINISTRACAO
Unidos	I-ORGANIZACAO_ADMINISTRACAO
deixassem	O
de	O
apoiar	O
e	O
de	O
vender	O
milhares	O
de	O
milhões	O
de	O
dólares	O
de	O
armas	O
aos	O
israelitas	O
,	O
e	O
Israel	B-ORGANIZACAO_ADMINISTRACAO
sabe	O
que	O
isso	O
nunca	O
acontecerá	O
,	O
por	O
razões	O
da	O
política	O
interna	O
americana	O
e	O
da	O
força	O
do	O
lobby	O
judeu	O
.	O
Nenhum	O
candidato	O
democrata	O
,	O
nem	O
mesmo	O
o	O
utópico	O
Obama	B-PESSOA_INDIVIDUAL
,	O
ousariam	O
modificar	O
este	O
estado	O
de	O
coisas	O
.	O
A	O
posição	O
da	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
,	O
dando	O
milhares	O
de	O
milhões	O
que	O
a	O
dispensem	O
de	O
contribuir	O
para	O
uma	O
resolução	O
política	O
,	O
é	O
a	O
mais	O
contraproducente	O
.	O
A	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
prefere	O
pagar	O
para	O
não	O
ser	O
incomodada	O
,	O
e	O
prefere	O
transformar	O
,	O
como	O
transformou	O
,	O
os	O
palestinianos	O
numa	O
nação	O
de	O
pedintes	O
.	O
A	O
velha	O
e	O
cínica	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
,	O
origem	O
de	O
todo	O
este	O
problema	O
,	O
a	O
assassina	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
como	O
lhe	O
chama	O
o	O
escritor	O
israelita	O
Amos	B-PESSOA_INDIVIDUAL
Oz	I-PESSOA_INDIVIDUAL
,	O
sabe	O
que	O
não	O
pode	O
contrariar	O
os	O
Estados	B-ORGANIZACAO_ADMINISTRACAO
Unidos	I-ORGANIZACAO_ADMINISTRACAO
e	O
não	O
quer	O
contrariar	O
os	O
israelitas	O
por	O
má	O
consciência	O
.	O
Sabe	O
também	O
que	O
os	O
palestinianos	O
são	O
um	O
povo	O
espoliado	O
,	O
banido	O
,	O
revoltado	O
e	O
oprimido	O
,	O
e	O
que	O
parte	O
da	O
responsabilidade	O
histórica	O
dessa	O
opressão	O
lhe	O
pertence	O
.	O
Como	O
contribui	O
para	O
o	O
problema	O
sem	O
contribuir	O
para	O
a	O
solução	O
,	O
a	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
adoptou	O
um	O
discurso	O
de	O
duplicidades	O
e	O
subentendidos	O
,	O
de	O
fraquezas	O
e	O
recuos	O
,	O
de	O
que	O
o	O
senhor	B-PESSOA_INDIVIDUAL
Javier	I-PESSOA_INDIVIDUAL
Solanas	I-PESSOA_INDIVIDUAL
é	O
o	O
exemplo	O
acabado	O
.	O
A	O
rematar	O
o	O
discurso	O
,	O
a	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
passa	O
cheques	O
.	O
Os	O
palestinianos	O
habituaram	O
-	O
se	O
a	O
explorar	O
esta	O
fraqueza	O
a	O
seu	O
favor	O
e	O
transformaram	O
a	O
sua	O
reivindicação	O
numa	O
vitimização	O
que	O
lhes	O
dá	O
direito	O
,	O
de	B-TEMPO_FREQUENCIA
tanto	I-TEMPO_FREQUENCIA
em	I-TEMPO_FREQUENCIA
tanto	I-TEMPO_FREQUENCIA
tempo	I-TEMPO_FREQUENCIA
,	O
a	O
uma	O
compensação	O
monetária	O
.	O
Muitos	O
milhões	O
acabam	O
,	O
como	O
no	B-TEMPO_TEMPO_CALEND
tempo	I-TEMPO_TEMPO_CALEND
de	O
Arafat	B-PESSOA_INDIVIDUAL
,	O
em	O
contas	O
secretas	O
e	O
nos	O
bolsos	O
de	O
uma	O
oligarquia	O
.	O
Tanto	O
dinheiro	O
não	O
chega	O
para	O
comprar	O
os	O
palestinianos	O
que	O
não	O
estão	O
à	O
venda	O
.	O
Os	O
palestinianos	O
vêem	O
o	O
Muro	B-ABSTRACCAO_IDEIA
entrar	O
-	O
lhes	O
pelas	O
vidas	O
dentro	O
,	O
vêem	O
a	O
sua	O
destituição	O
transformada	O
em	O
humilhação	O
,	O
e	O
votam	O
Hamas	B-ORGANIZACAO_INSTITUICAO
ou	O
Jihad	B-ORGANIZACAO_INSTITUICAO
Islâmica	I-ORGANIZACAO_INSTITUICAO
.	O
Em	O
Gaza	B-LOCAL_HUMANO
,	O
as	O
crianças	O
querem	O
ser	O
mártires	O
.	O
E	O
sem	O
Gaza	B-LOCAL_HUMANO
,	O
não	O
haverá	O
Palestina	B-LOCAL_HUMANO
.	O
Clara	B-PESSOA_INDIVIDUAL
Ferreira	I-PESSOA_INDIVIDUAL
Alves	I-PESSOA_INDIVIDUAL
«	O
PolivalênciaVacas	O
-	O
Para	O
o	O
BCE	B-ORGANIZACAO_INSTITUICAO
somos	O
vacas	O
!	O
!	O
Para	O
o	O
Banco	B-ORGANIZACAO_INSTITUICAO
Central	I-ORGANIZACAO_INSTITUICAO
Europeu	I-ORGANIZACAO_INSTITUICAO
somos	O
gado	O
!	O
!	O
Os	O
politicos	O
comprados	O
por	O
Bruxelas	B-ORGANIZACAO_ADMINISTRACAO
gerem	O
as	O
manadas	O
nacionais	O
.	O
Se	O
somos	O
mais	O
caros	O
do	O
que	O
produzimos	O
,	O
mais	O
vale	O
abater	O
.	O
Esta	O
é	O
a	O
politica	O
de	O
saude	O
deste	O
admiravel	O
mundo	O
novo	O
.	O
-	O
-	O
Fui	O
ontem	B-TEMPO_TEMPO_CALEND
(	O
terça	B-TEMPO_TEMPO_CALEND
)	O
às	O
urgencias	O
pediátricas	O
de	O
cascais	O
com	O
a	O
minmha	O
filhiha	O
de	O
4	B-VALOR_QUANTIDADE
anos	I-VALOR_QUANTIDADE
e	O
...	O
"	O
Vai	O
ter	O
que	O
voltar	O
,	O
porque	O
só	O
funciona	O
das	B-TEMPO_TEMPO_CALEND
08h00	I-TEMPO_TEMPO_CALEND
às	I-TEMPO_TEMPO_CALEND
09h00	I-TEMPO_TEMPO_CALEND
"	O
Desculpem	O
?	O
?	O
Que	O
M	O
...	O
é	O
esta	O
?	O
?	O
!	O
Que	O
grande	O
M	O
...	O
é	O
esta	O
?	O
?	O
!	O
Este	O
é	O
o	O
país	O
real	O
,	O
mas	O
a	O
situação	O
é	O
surreal	O
.	O
Não	O
aconteceu	O
com	O
um	O
amigo	O
,	O
conhecido	O
,	O
ou	O
familiar	O
.	O
Aconteceu	O
COMIGO	O
!	O
!	O
Em	O
primeira	O
mão	O
.	O
Que	O
é	O
que	O
eles	O
querem	O
?	O
Vamos	O
reagir	O
eficaz	O
e	O
eficientemente	O
.	O
1º	O
-	O
Assinar	O
a	O
petição	O
contra	O
o	O
desmembramento	O
,	O
só	O
possivel	O
pela	O
cegueira	O
provocada	O
pela	O
rentabilidade	O
que	O
enche	O
os	O
bolsos	O
de	O
alguns	O
e	O
lixa	O
todos	O
,	O
dos	O
cuidados	O
INDISPENSAVEIS	O
de	O
saude	O
em	O
Portugal	B-LOCAL_HUMANO
.	O
Petição	O
contra	O
esta	O
abominavel	O
realidade	O
2º	O
-	O
Arranjar	O
uma	O
petição	O
de	O
cidadãos	O
a	O
exigir	O
a	O
extinção	O
do	O
BCE	B-ORGANIZACAO_INSTITUICAO
.	O
Quero	O
lá	O
saber	O
se	O
é	O
impossível	O
,	O
retrógrado	O
,	O
ou	O
excessivo	O
.	O
Eles	O
que	O
se	O
cuidem	O
.	O
Tem	O
que	O
ser	O
possível	O
domesticá	O
-	O
los	O
,	O
e	O
se	O
não	O
for	O
,	O
exterminá	O
-	O
los	O
.	O
Que	O
se	O
vão	O
encher	O
para	O
outro	O
planeta	O
.	O
Quem	O
paga	O
os	O
ordenados	O
exorbitantes	O
que	O
eles	O
ganham	O
?	O
Nós	O
!	O
!	O
Para	O
quê	O
!	O
?	O
?	O
Só	O
que	O
não	O
somos	O
gado	O
.	O
Somos	O
cidadão	O
e	O
temos	O
que	O
nos	O
saber	O
fazer	O
respeitar	O
.	O
Portanto	O
,	O
toca	O
a	O
fazer	O
esta	O
petição	O
,	O
para	O
os	O
por	O
em	O
sentido	O
e	O
sentirem	O
cagufa	O
no	O
rabinho	O
!	O
Ali	O
,	O
só	O
me	O
lembro	O
de	O
ser	O
eu	O
.	O
Mas	O
talvez	O
houvesse	O
outros	O
,	O
da	O
família	O
Xara	B-PESSOA_GRUPOIND
Brasil	I-PESSOA_GRUPOIND
,	O
que	O
eram	O
as	O
pessoas	O
ali	O
principais	O
,	O
e	O
eram	O
realmente	O
...	O
não	O
me	O
lembro	O
.	O
Agora	O
outros	O
meninos	O
em	O
Lisboa	B-LOCAL_HUMANO
,	O
ou	O
iam	O
para	O
as	O
piscinas	O
,	O
de	O
Algés	B-LOCAL_HUMANO
e	O
Dafundo	B-LOCAL_HUMANO
,	O
e	O
outras	O
coisas	O
assim	O
.	O
D	O
:	O
Mas	O
conta	O
lá	O
...	O
como	O
é	O
que	O
aprendeste	O
a	O
nadar	O
,	O
que	O
é	O
engraçado	O
Aprendi	O
a	O
nadar	O
,	O
como	O
digo	O
,	O
com	O
esse	O
velho	O
lobo	O
do	O
mar	O
que	O
se	O
tinha	O
tornado	O
banheiro	O
da	O
praia	O
de	O
S.	B-LOCAL_FISICO
Bernardino	I-LOCAL_FISICO
;	O
tinha	O
um	O
chapéu	O
mole	O
assim	O
amachucado	O
,	O
um	O
fato	O
de	O
macaco	O
,	O
e	O
uma	O
cabaça	O
à	O
cintura	O
e	O
ele	O
puxav	O
...	O
agarrava	O
-	O
me	O
assim	O
no	O
queixo	O
,	O
com	O
a	O
mão	O
,	O
e	O
depois	O
dizia	O
-	O
me	O
os	O
movimentos	O
que	O
eu	O
devia	O
fazer	O
,	O
nadar	O
é	O
claro	O
,	O
os	O
bálticos	O
,	O
não	O
é	O
?	O
E	O
foi	O
assim	O
que	O
eu	O
aprendi	O
.	O
D	O
:	O
ele	O
atirava	O
-	O
te	O
para	O
a	O
água	O
com	O
a	O
cabaça	O
?	O
Como	O
?	O
Não	O
,	O
a	O
cabaça	O
ele	O
andava	O
ali	O
sempre	O
com	O
ela	O
,	O
como	O
banheiro	O
...	O
era	O
bóia	O
,	O
a	O
cabaça	O
servia	O
de	O
bóia	O
D	O
:	O
então	O
ele	O
atirava	O
-	O
te	O
à	O
água	O
...	O
Não	O
,	O
ali	O
à	O
borda	O
de	O
água	O
!	O
à	O
borda	O
,	O
primeiro	O
começava	O
-	O
se	O
à	O
borda	O
de	O
água	O
...	O
mas	O
com	O
altura	O
suficiente	O
para	O
eu	O
já	O
poder	O
nadar	O
.	O
E	O
ele	O
pegava	O
-	O
me	O
assim	O
pelo	O
queixo	O
para	O
me	O
ajudar	O
,	O
e	O
nadava	O
de	O
bruços	O
,	O
claro	O
!	O
nadava	O
de	O
bruços	O
D	O
:	O
Mas	O
depois	B-TEMPO_TEMPO_CALEND
...	O
depois	B-TEMPO_TEMPO_CALEND
...	O
tornaste	O
-	O
te	O
uma	O
grande	O
nadadora	O
Depois	B-TEMPO_TEMPO_CALEND
...	O
na	O
dita	O
praia	O
de	O
S.	B-LOCAL_FISICO
Bernardino	I-LOCAL_FISICO
,	O
e	O
depois	O
na	O
Praia	B-LOCAL_FISICO
das	I-LOCAL_FISICO
Maçãs	I-LOCAL_FISICO
,	O
tornei	O
-	O
me	O
uma	O
grande	O
nadadora	O
é	O
uma	O
maneira	O
um	O
bocadinho	O
...	O
como	O
hei	O
-	O
de	O
dizer	O
?	O
pouco	O
rigorosa	O
